SAMPLE	AIM2
1	C1_72h	0.310000
2	C1_PMA	1.668000
3	C1_SEB	1.302000
4	C10_72h	0.167000
5	C10_PMA	NA
6	C10_SEB	0.345000
7	C11_72h	0.482000
8	C11_PMA	5.587000
9	C11_SEB	1.391000
10	C12_72h	0.108000
11	C12_PMA	1.287000
12	C12_SEB	0.929000
13	C13_72h	0.080381
14	C13_PMA	0.748000
15	C13_SEB	0.386000
16	C14_72h	NA
17	C14_PMA	NA
18	C14_SEB	0.393000
19	C15_72h	0.130000
20	C15_PMA	0.738000
21	C15_SEB	0.562000
22	C16_72h	0.076556
23	C16_PMA	0.913000
24	C16_SEB	0.687000
25	C17_72h	NA
26	C17_PMA	0.159000
27	C17_SEB	0.823000
28	C18_72h	NA
29	C18_PMA	1.438000
30	C18_SEB	0.659000
31	C19_72h	0.316000
32	C19_PMA	1.721000
33	C19_SEB	1.267000
34	C2_72h	0.425000
35	C2_PMA	1.841000
36	C2_SEB	1.361000
37	C20_72h	0.199000
38	C20_PMA	1.939000
39	C20_SEB	1.109000
40	C21_72h	0.023057
41	C21_PMA	0.548000
42	C21_SEB	0.727000
43	C22_72h	0.107000
44	C22_PMA	0.832000
45	C22_SEB	0.497000
46	C23_72h	0.047961
47	C23_PMA	NA
48	C23_SEB	0.639000
52	C25_72h	0.087900
53	C25_PMA	0.538000
54	C25_SEB	0.306000
55	C3_72h	0.937000
56	C3_PMA	3.563000
57	C3_SEB	0.956000
58	C4_72h	0.116000
59	C4_PMA	1.144000
60	C4_SEB	1.094000
61	C5_72h	0.070267
62	C5_PMA	0.858000
63	C5_SEB	0.972000
64	C6_72h	0.116000
65	C6_PMA	1.948000
66	C6_SEB	0.846000
67	C7_72h	0.037996
68	C7_PMA	0.367000
69	C7_SEB	0.891000
70	C8_72h	0.162000
71	C8_PMA	1.438000
72	C8_SEB	0.857000
73	C9_72h	0.153000
74	C9_PMA	2.403000
75	C9_SEB	2.104000
