SAMPLE	AIM2	CTLA4	EOMES	FOXP3	IFIH1	IL10	IL17A	IL17F	IL22	IL4	INFG	OAS2	PI3	PYCARD	TIGIT2
1	C1_72h	0.310000	 0.142000	 5.688	 1.753000	NA	 0.867	NA	NA	NA	NA	0.000104	 1.108	NA	136.807	2.643
2	C1_PMA	1.668000	 1.682000	 4.523	 0.979000	NA	 4.536	8.608	0.552	0.888	16.180	NA	 0.538	NA	  1.370	1.819
3	C1_SEB	1.302000	10.093000	11.808	21.215000	3.065	25.363	9.156	42.297	6.123	7.711	0.624000	 2.638	NA	 54.154	4.123
4	C10_72h	0.167000	 0.067608	 2.251	 1.485000	1.155	 3.931	NA	NA	NA	NA	NA	 0.975	NA	132.913	0.861
5	C10_PMA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.263000	NA	NA	NA	NA
6	C10_SEB	0.345000	 3.855000	 3.783	19.364000	2.743	 5.229	6.397	25.200	16.093	3.473	0.206000	 1.962	NA	 36.277	3.269
7	C11_72h	0.482000	 0.320000	 7.190	 2.865000	1.457	 9.678	NA	NA	NA	NA	NA	 1.855	NA	104.934	3.023
8	C11_PMA	5.587000	 8.505000	 7.301	 3.737000	NA	 5.944	32.877	8.085	35.449	17.266	1.215000	 0.684	NA	  1.092	2.402
9	C11_SEB	1.391000	12.882000	 9.147	31.970000	2.781	54.468	5.012	28.051	13.138	2.824	1.022000	 4.678	NA	 49.431	4.322
10	C12_72h	0.108000	 0.132000	 3.192	 2.263000	NA	 2.441	NA	NA	NA	NA	NA	 0.870	NA	200.066	1.052
11	C12_PMA	1.287000	 2.894000	 3.548	 2.160000	0.602	10.336	5.378	0.127	2.589	9.850	0.361000	 0.610	0.109	  1.233	1.388
12	C12_SEB	0.929000	27.404000	 7.044	39.433000	1.832	18.498	5.580	NA	3.605	3.677	0.228000	 3.488	NA	 81.065	3.204
13	C13_72h	0.080381	NA	 1.650	 0.489000	0.641	 1.540	0.00035	NA	NA	NA	NA	 0.730	NA	121.600	0.867
14	C13_PMA	0.748000	 1.790000	 1.341	 2.340000	NA	 2.773	62.473	NA	19.999	17.802	NA	 0.577	NA	  1.284	1.003
15	C13_SEB	0.386000	 3.263000	 2.977	 8.830000	NA	 4.779	0.595	80.775	NA	3.943	NA	 2.461	NA	 60.548	2.881
16	C14_72h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	C14_PMA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	C14_SEB	0.393000	 3.786000	 2.621	14.195000	NA	42.244	3.975	71.738	7.306	8.444	0.289000	 2.043	0.088042	 34.503	4.792
19	C15_72h	0.130000	 0.039300	 1.157	 0.278000	NA	 0.892	NA	NA	NA	NA	NA	 0.621	NA	 83.132	1.001
20	C15_PMA	0.738000	 1.336000	 1.712	 1.084000	NA	 1.656	22.497	6.616	12.188	19.983	NA	 0.470	NA	  0.894	2.210
21	C15_SEB	0.562000	 4.289000	 2.550	 8.286000	NA	 5.493	2.384	34.321	4.006	1.592	0.435000	 2.132	NA	 69.182	4.226
22	C16_72h	0.076556	 0.062558	 1.731	 0.622000	0.387	 4.683	NA	NA	NA	NA	NA	 0.780	NA	118.823	0.741
23	C16_PMA	0.913000	 2.427000	 3.135	 1.939000	NA	 5.056	NA	NA	NA	NA	NA	NA	NA	  0.812	1.833
24	C16_SEB	0.687000	 6.215000	 4.834	19.526000	1.328	18.563	1.535	44.601	1.519	2.433	1.050000	 2.969	NA	 55.922	2.541
25	C17_72h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	C17_PMA	0.159000	 0.131000	 0.125	 0.084338	NA	NA	2.755	NA	NA	NA	NA	 0.396	NA	  0.506	0.273
27	C17_SEB	0.823000	 5.020000	 2.815	12.101000	NA	 2.212	0.725	129.159	NA	8.714	0.309000	 0.826	NA	114.537	5.401
28	C18_72h	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	C18_PMA	1.438000	 1.391000	 0.775	 0.748000	NA	 2.483	NA	NA	NA	NA	NA	 0.217	NA	  1.381	2.503
30	C18_SEB	0.659000	 2.631000	 1.617	 5.986000	NA	21.176	0.566	123.954	NA	7.945	NA	 1.296	NA	 72.488	2.885
31	C19_72h	0.316000	 0.164000	 1.899	 1.974000	0.381	 1.262	NA	NA	NA	NA	NA	 1.363	NA	169.170	0.930
32	C19_PMA	1.721000	 3.388000	 2.339	 2.373000	NA	 2.708	4.652	1.862	0.468	0.842	NA	 0.946	NA	  0.692	0.920
33	C19_SEB	1.267000	15.260000	 0.658	77.708000	NA	 5.957	1.027	13.392	NA	0.218	NA	 9.750	NA	 69.873	2.138
34	C2_72h	0.425000	 0.172000	 7.683	 1.720000	2.056	 0.490	NA	NA	NA	NA	1.543000	 1.349	NA	 92.625	4.893
35	C2_PMA	1.841000	 2.248000	 5.583	 1.664000	0.497	 3.139	NA	NA	NA	NA	2.243000	 0.531	NA	  0.704	1.984
36	C2_SEB	1.361000	14.123000	14.350	35.115000	5.695	26.112	5.470	29.774	11.458	12.166	0.287000	 6.004	0.012235	100.079	7.915
37	C20_72h	0.199000	 0.084358	 2.889	 0.660000	NA	 3.229	NA	NA	NA	NA	NA	 0.907	NA	165.689	2.389
38	C20_PMA	1.939000	 1.933000	 1.650	 1.204000	NA	 2.957	35.245	21.786	11.778	10.051	NA	 0.413	NA	  0.928	1.929
39	C20_SEB	1.109000	 8.288000	 3.361	25.352000	NA	14.016	1.779	39.115	1.260	3.102	NA	 2.606	NA	 61.379	4.034
40	C21_72h	0.023057	 0.013914	 1.180	 0.226000	NA	 4.642	NA	NA	NA	NA	NA	 0.380	NA	200.529	0.539
41	C21_PMA	0.548000	 0.617000	 1.561	 0.563000	NA	 0.811	1.108	0.244	1.329	13.181	NA	 0.517	NA	  3.513	1.837
42	C21_SEB	0.727000	 3.793000	 6.223	11.710000	0.609	10.798	0.886	24.137	1.336	4.550	NA	 2.826	NA	 61.166	3.968
43	C22_72h	0.107000	 0.065729	 1.308	 1.058000	NA	 1.961	NA	NA	NA	NA	NA	 0.804	0.00531	111.843	0.969
44	C22_PMA	0.832000	 1.323000	 1.006	 1.157000	NA	 2.143	2.558	3.181	2.588	7.279	0.412000	 0.409	NA	  0.889	0.806
45	C22_SEB	0.497000	 6.068000	 2.582	26.822000	1.200	 9.707	2.737	32.680	1.255	7.801	NA	 2.935	NA	 56.781	1.557
46	C23_72h	0.047961	 0.029117	 0.843	 0.270000	0.459	 2.649	0.000392	0.000923	NA	NA	NA	 0.621	NA	202.484	0.473
47	C23_PMA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
48	C23_SEB	0.639000	 6.485000	 2.587	26.004000	0.918	14.026	4.736	103.417	6.605	4.152	NA	 3.405	NA	 58.499	3.262
52	C25_72h	0.087900	 0.109000	 1.032	 0.680000	NA	 5.629	NA	NA	NA	NA	NA	 0.566	0.133	157.041	0.556
53	C25_PMA	0.538000	 1.319000	 0.602	 0.901000	NA	 3.055	0.516	0.097418	0.207	6.050	NA	 0.253	NA	  1.477	1.010
54	C25_SEB	0.306000	 7.382000	 2.931	27.557000	1.180	 4.338	1.637	11.732	0.128	1.188	0.142000	 2.683	NA	 68.325	2.394
55	C3_72h	0.937000	 5.326000	 4.186	 8.035000	NA	 2.421	NA	NA	NA	NA	0.002101	 3.270	NA	113.300	4.386
56	C3_PMA	3.563000	 7.003000	 8.652	 3.198000	1.090	15.370	16.703	3.272	9.046	8.653	0.751000	 1.161	NA	NA	2.213
57	C3_SEB	0.956000	10.201000	10.449	22.533000	NA	14.638	4.416	21.986	NA	5.961	NA	 3.172	0.013273	 50.726	NA
58	C4_72h	0.116000	 0.074497	 5.403	 0.801000	1.270	 0.890	NA	0.000835	NA	NA	0.000054	 0.901	NA	134.488	2.390
59	C4_PMA	1.144000	 4.131000	 5.342	 1.834000	0.866	 4.031	13.371	1.000	8.142	18.711	1.000000	 0.593	NA	  0.953	3.104
60	C4_SEB	1.094000	12.990000	18.059	18.970000	3.391	23.626	7.225	9.674	3.001	10.424	0.484000	 2.884	NA	 68.848	5.635
61	C5_72h	0.070267	 0.054347	 1.505	 0.354000	0.812	 4.269	NA	NA	NA	NA	0.000010	 0.710	NA	111.122	0.635
62	C5_PMA	0.858000	 2.273000	 1.706	 2.130000	0.686	 3.941	4.348	0.440	3.068	10.567	0.652000	 0.457	NA	  1.096	1.329
63	C5_SEB	0.972000	11.737000	10.943	26.094000	3.659	29.919	8.580	NA	5.101	2.044	0.836000	 4.058	0.005363	 58.946	3.018
64	C6_72h	0.116000	 0.095833	 6.149	 0.411000	0.956	 6.870	NA	NA	NA	NA	NA	 0.873	NA	140.199	0.975
65	C6_PMA	1.948000	 5.758000	 7.026	 1.817000	1.056	 8.276	25.890	1.230	13.922	11.354	0.974000	 1.437	NA	  1.328	2.629
66	C6_SEB	0.846000	17.655000	21.481	44.109000	NA	45.717	2.706	NA	2.302	7.263	0.288000	10.035	NA	 61.934	4.283
67	C7_72h	0.037996	 0.067514	 1.572	 0.321000	1.194	 8.978	NA	0.000186	NA	NA	0.000023	 0.652	0.001193	147.442	0.351
68	C7_PMA	0.367000	 1.662000	 0.425	 1.038000	0.820	 0.783	0.135	NA	0.275	2.715	0.039968	 0.819	NA	  3.758	0.541
69	C7_SEB	0.891000	34.352000	 6.548	62.178000	2.768	22.586	9.415	9.745	2.237	4.389	0.332000	 4.262	0.008752	 68.340	2.494
70	C8_72h	0.162000	 0.185000	 4.743	 1.478000	1.256	 6.386	NA	NA	NA	NA	0.000044	 1.535	NA	123.497	1.361
71	C8_PMA	1.438000	 4.408000	 4.569	 2.540000	0.738	 4.264	29.088	3.826	14.301	30.375	0.666000	 0.617	NA	  0.631	1.518
72	C8_SEB	0.857000	 9.720000	 6.513	31.190000	2.730	51.233	7.692	30.141	8.336	8.192	0.472000	 3.889	NA	 32.305	3.137
73	C9_72h	0.153000	 0.190000	 1.028	 1.118000	0.736	 1.840	NA	0.003612	NA	NA	0.000039	 0.998	NA	177.458	0.755
74	C9_PMA	2.403000	 4.341000	 4.574	 1.900000	0.690	 7.045	5.334	0.541	9.804	11.897	0.677000	 0.949	NA	  1.242	1.698
75	C9_SEB	2.104000	27.108000	10.813	50.961000	2.233	21.711	11.122	11.909	6.431	4.053	0.514000	 6.744	NA	 73.568	4.345
