SAMPLE	AIM2	CTLA4	EOMES	FOXP3	IFIH1	IL10	IL17A	IL17F	IL22	IL4	INFG	OAS2	PI3	PYCARD	TIGIT2
1	V1_72h	0.525000	 0.330000	 6.785	 2.285000	 1.050000	 2.737	NA	NA	NA	NA	NA	2.740	NA	100.706	2.703000
2	V1_PMA	4.012000	 6.873000	 1.548	 7.663000	NA	 0.259	15.580	3.088	NA	NA	2.010000	1.285	NA	  0.878	2.092000
3	V1_SEB	2.181000	23.162000	10.971	73.738000	NA	76.497	7.362	NA	NA	2.255	NA	NA	NA	 76.994	5.445000
4	V10_72h	0.113000	 0.013549	 1.915	 0.401000	 2.723000	20.229	NA	NA	NA	NA	NA	0.523	NA	192.049	0.514000
5	V10_PMA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	V10_SEB	0.316000	 5.222000	 7.619	52.966000	 3.843000	 7.053	0.602	3.481	1.136	1.500	0.843000	2.839	0.029154	 58.946	3.697000
7	V11_72h	0.230000	 0.167000	 1.980	 1.327000	NA	13.251	0.001977	NA	NA	NA	NA	0.778	NA	241.799	NA
8	V11_PMA	1.247000	 2.169000	 1.873	 2.036000	 1.033000	 4.519	2.442	0.483	1.352	6.506	0.157000	0.470	NA	  1.968	1.787000
9	V11_SEB	1.159000	37.366000	 5.228	71.440000	 3.774000	 9.283	6.581	27.392	5.999	2.552	0.359000	3.682	NA	114.457	4.069000
10	V12_72h	0.056120	 0.048172	 0.985	 0.339000	NA	 7.604	NA	NA	NA	NA	0.000025	0.657	NA	166.149	0.474000
11	V12_PMA	0.544000	 1.539000	 0.673	 1.945000	 0.176000	 1.503	5.632	4.510	1.245	NA	0.196000	0.415	NA	  2.054	1.256000
12	V12_SEB	0.413000	 4.086000	 1.989	12.611000	 0.970000	 7.423	2.100	38.178	0.593	3.961	0.068354	2.672	NA	 54.506	1.351000
13	V13_72h	NA	 0.027892	 0.794	 0.336000	NA	 2.457	NA	NA	NA	NA	NA	0.645	NA	NA	0.474000
14	V13_PMA	0.317000	 0.585000	 0.309	 1.457000	 0.139000	 0.775	NA	4.904	1.945	NA	0.251000	0.205	NA	NA	0.541000
15	V13_SEB	0.324000	 3.077000	 1.916	18.358000	NA	 7.456	5.786	57.176	4.017	1.649	NA	3.684	NA	 50.574	2.015000
16	V14_72h	0.054121	 0.056043	 1.516	 0.597000	NA	 2.229	NA	NA	NA	NA	NA	0.674	NA	124.529	0.815000
17	V14_PMA	0.929000	 2.084000	 1.616	 2.044000	NA	 3.389	NA	3.830	NA	12.106	NA	0.320	NA	NA	0.951000
18	V14_SEB	0.699000	 5.288000	 5.877	14.061000	NA	16.253	3.816	86.004	2.314	4.807	NA	2.595	NA	 74.319	2.020000
19	V15_72h	0.033741	 0.038705	 0.248	 0.477000	NA	 3.149	NA	NA	NA	NA	NA	0.481	NA	130.810	0.374000
20	V15_PMA	0.688000	 0.917000	 0.345	 1.995000	NA	 2.294	6.627	1.709	0.863	2.440	0.174000	0.296	NA	  1.037	0.631000
21	V15_SEB	0.346000	 5.013000	 0.643	17.256000	NA	 6.290	1.896	36.152	2.292	0.790	0.542000	2.719	NA	 44.601	1.425000
22	V16_72h	0.086150	 0.026633	 1.757	 0.398000	NA	 2.029	NA	NA	NA	NA	NA	0.515	NA	122.022	1.577000
23	V16_PMA	0.658000	 0.366000	 1.729	 0.879000	NA	 1.808	2.918	0.352	0.632	9.833	0.481000	0.252	NA	  2.917	2.044000
24	V16_SEB	0.620000	 2.501000	 3.660	 8.955000	NA	 9.732	0.113	41.908	NA	7.983	NA	1.214	NA	 47.560	3.501000
25	V17_72h	0.047180	 0.027394	 0.951	 0.207000	 0.280000	 5.057	NA	NA	NA	NA	NA	0.483	NA	268.976	0.521000
26	V17_PMA	0.627000	 1.235000	 1.344	 1.057000	NA	 3.075	1.243	1.718	1.120	11.702	0.332000	0.516	NA	  2.490	1.226000
27	V17_SEB	0.730000	 8.134000	 3.500	22.157000	NA	12.087	2.068	39.597	0.878	3.755	0.308000	3.297	NA	 63.734	2.786000
28	V18_72h	0.241000	 0.147000	 3.059	 0.801000	NA	 1.174	NA	NA	NA	NA	0.000039	1.093	NA	 90.635	1.184000
29	V18_PMA	1.156000	 3.472000	 2.206	 0.896000	 0.325000	 6.807	25.206	9.365	17.529	8.969	2.424000	0.542	NA	  0.992	1.980000
30	V18_SEB	0.528000	 8.666000	 3.704	14.107000	NA	 7.306	2.771	46.786	2.065	0.804	0.243000	3.204	NA	 40.373	2.614000
31	V2_72h	0.194000	 0.046920	 4.912	 0.113000	 1.400000	 3.308	NA	NA	NA	NA	0.000065	0.927	NA	123.469	NA
32	V2_PMA	1.537000	 0.962000	 2.312	 0.651000	 1.179000	 1.971	0.363	0.105	0.050936	13.450	0.369000	0.989	NA	  5.243	1.735000
33	V2_SEB	1.082000	 6.223000	23.895	13.171000	 2.782000	29.885	0.915	8.909	1.077	12.971	0.254000	3.589	NA	 63.177	5.219000
34	V3_72h	0.179000	 0.174000	 5.526	 0.950000	 1.362000	 8.714	NA	NA	NA	NA	NA	1.296	NA	218.931	NA
35	V3_PMA	1.552000	 3.629000	 2.542	 1.153000	 0.758000	 1.919	0.450	0.693	NA	4.087	0.378000	0.871	NA	  1.226	1.629000
36	V3_SEB	1.425000	17.951000	19.580	25.551000	 2.995000	42.068	3.880	39.565	3.270	7.136	NA	NA	NA	 50.773	5.421000
37	V4_72h	0.117000	 0.038759	 2.008	 0.203000	 1.096000	 7.921	NA	NA	NA	NA	0.000038	0.570	NA	146.898	0.697000
38	V4_PMA	NA	 3.305000	 4.000	 1.790000	NA	18.961	NA	NA	NA	11.239	NA	0.629	NA	NA	2.320000
39	V4_SEB	1.054000	10.140000	 6.865	24.330000	 3.534000	23.539	1.323	13.412	1.414	8.508	0.324000	3.542	NA	 51.221	4.650000
40	V5_72h	0.312000	 0.165000	 4.355	 1.265000	 2.166000	 3.826	NA	NA	NA	NA	0.000044	0.989	NA	186.410	1.405000
41	V5_PMA	0.846000	 3.299000	 3.223	 3.066000	 0.738000	 4.821	16.583	1.920	3.066	8.374	0.430000	0.481	NA	  1.233	2.280000
42	V5_SEB	1.050000	16.761000	 7.993	42.982000	 3.569000	24.184	1.261	15.469	4.842	1.612	0.751000	3.496	0.013832	 47.384	3.439000
43	V6_72h	0.014945	NA	 0.128	 0.049532	NA	 1.227	NA	NA	NA	NA	NA	NA	NA	 32.100	1.474000
44	V6_PMA	2.132000	 1.868000	 0.287	 1.192000	 0.871000	 3.817	6.249	1.772	2.207	16.953	6.853000	0.250	NA	  0.839	1.720000
45	V6_SEB	0.990000	10.923000	 3.754	13.346000	 4.712000	 6.125	1.988	NA	NA	18.981	2.124000	NA	NA	 79.451	3.619000
46	V7_72h	0.760000	 0.067063	 1.113	 0.748000	 2.424000	 1.509	NA	NA	0.013282	NA	0.000980	0.439	NA	472.990	2.433000
47	V7_PMA	3.010000	 6.056000	 4.412	 1.679000	NA	 3.913	6.018	4.528	NA	96.280	5.159000	0.245	NA	  1.957	3.909000
