SAMPLE	AIM2	CTLA4	EOMES	FOXP3	IFIH1	IL10	IL17A	IL17F	IL22	IL4	INFG	OAS2	PYCARD	TIGIT2
1	C1_72h	0.050090	0.022972	0.920000	 0.284000	NA	 0.140	NA	NA	NA	NA	0.000037	0.179	 46.678	0.428
2	C1_PMA	0.829000	0.835000	2.246000	 0.486000	NA	 2.253	4.275	0.601	0.441	8.036	NA	0.267	  1.435	0.904
3	C1_SEB	0.064094	0.497000	0.581000	 1.044000	0.151000	 1.248	0.451	4.566	0.301	0.379	0.067382	0.130	  5.622	0.203
4	C10_72h	0.048529	0.019650	0.654000	 0.431000	0.336000	 1.143	NA	NA	NA	NA	NA	0.283	 81.478	0.250
5	C10_PMA	0.945000	0.867000	2.198000	 2.416000	0.352000	 1.713	14.534	2.201	8.978	11.177	0.529000	0.375	NA	1.074
6	C10_SEB	0.035264	0.394000	0.387000	 1.979000	0.280000	 0.534	0.654	5.648	1.645	0.355	0.046135	0.200	  7.819	0.334
7	C11_72h	0.089622	0.059554	1.338000	 0.533000	0.271000	 1.801	NA	NA	NA	NA	NA	0.345	 41.184	0.563
8	C11_PMA	2.885000	4.392000	3.770000	 1.930000	NA	 3.069	16.979	9.158	18.307	8.917	1.376000	0.353	  1.190	1.241
9	C11_SEB	0.080288	0.744000	0.528000	 1.846000	0.161000	 3.145	0.289	3.552	0.759	0.163	0.129000	0.270	  6.020	0.250
10	C12_72h	0.022771	0.027808	0.673000	 0.478000	NA	 0.515	NA	NA	NA	NA	NA	0.184	 89.037	0.222
11	C12_PMA	0.674000	1.515000	1.857000	 1.131000	0.315000	 5.411	2.815	0.146	1.356	5.157	0.415000	0.320	  1.361	0.726
12	C12_SEB	0.061540	1.816000	0.467000	 2.613000	0.121000	 1.226	0.370	NA	0.239	0.244	0.033085	0.231	 11.329	0.212
13	C13_72h	0.053679	NA	1.102000	 0.327000	0.428000	 1.028	NA	NA	NA	NA	NA	0.488	 81.205	0.579
14	C13_PMA	0.985000	2.359000	1.767000	 3.083000	NA	 3.654	82.320	NA	26.352	23.458	NA	0.760	  1.692	1.322
