SAMPLE	AIM2	CTLA4	EOMES	FOXP3	IFIH1	IL10	IL17A	IL17F	IL22	IL4	INFG	OAS2	PYCARD	TIGIT2
1	P018_72h	0.040172	0.031730	 0.829000	0.590000	0.403000	0.628000	NA	NA	NA	NA	0.000066	0.305000	 78.720	0.585000
2	P018_PMA	0.442000	0.816000	 0.706000	0.931000	0.691000	0.750000	0.407	2.486	0.618	2.543	0.753000	0.697000	  6.126	2.838000
3	P018_SEB	0.063872	0.985000	 0.589000	2.818000	0.309000	4.532000	0.631	14.716	0.245	1.333	0.054712	0.484000	  9.556	0.590000
4	P019_72h	0.164000	0.013362	 0.512000	0.196000	0.952000	NA	NA	NA	NA	NA	0.000134	0.278000	 54.948	1.219000
5	P019_PMA	2.352000	2.153000	 2.688000	0.003968	1.373000	2.113000	3.878	10.758	4.760	150.923	2.453000	0.415000	  2.555	5.244000
6	P019_SEB	0.078057	0.180000	 0.210000	0.568000	0.270000	0.746000	0.015872	5.372	0.368	2.696	0.033827	0.138000	  7.637	0.575000
7	P020_72h	0.051665	0.040536	 1.090000	0.389000	0.611000	0.903000	NA	NA	NA	NA	0.000053	0.504000	 84.098	0.850000
8	P020_PMA	1.074000	3.146000	 2.635000	2.068000	0.497000	1.718000	15.776	13.997	18.852	15.667	1.630000	0.808000	  2.228	1.592000
9	P020_SEB	0.101000	0.810000	 0.503000	2.137000	0.222000	2.340000	0.626	16.971	1.007	0.533	0.056550	0.460000	  8.791	0.665000
10	P021_72h	0.196000	0.044584	 5.498000	0.183000	1.087000	0.698000	NA	NA	NA	NA	0.000346	0.825000	 98.224	3.608000
11	P021_PMA	1.334000	2.141000	 8.361000	3.191000	0.786000	2.854000	61.649	102.277	38.550	26.221	6.976000	0.687000	  1.896	4.551000
12	P021_SEB	0.091379	0.259000	 2.212000	0.752000	0.415000	0.175000	0.169	7.096	1.239	1.532	0.071413	0.709000	 10.885	2.831000
13	P022_72h	0.099949	0.033485	 1.159000	0.805000	0.647000	0.702000	NA	NA	NA	NA	0.000012	0.687000	109.592	0.968000
14	P022_PMA	1.079000	0.790000	 1.741000	2.794000	0.493000	3.445000	15.519	10.375	8.760	3.205	0.648000	0.432000	NA	1.526000
15	P022_SEB	0.078690	0.897000	 0.394000	1.899000	0.243000	0.020174	1.097	12.343	0.530	0.321	0.072931	0.373000	 17.729	0.425000
16	P023_72h	0.069685	0.019290	 0.539000	0.192000	0.431000	1.847000	NA	NA	NA	NA	NA	0.612000	 61.692	0.494000
17	P023_PMA	1.176000	1.954000	 0.967000	1.502000	0.405000	4.530000	19.329	7.711	5.472	3.198	0.652000	0.638000	NA	1.389000
18	P023_SEB	0.065835	0.442000	 0.226000	1.228000	0.202000	0.453000	0.289	8.448	0.737	0.088695	0.087333	0.380000	  7.607	0.283000
19	P024_72h	0.013571	0.010766	 0.619000	0.094187	0.248000	1.340000	NA	NA	NA	NA	0.000074	0.227000	103.250	0.326000
20	P024_PMA	0.409000	0.550000	 0.558000	1.482000	0.885000	0.350000	1.494	1.019	0.497	5.202	1.233000	0.988000	  5.111	1.545000
21	P024_SEB	0.099833	0.658000	 0.798000	2.224000	0.312000	1.561000	0.638	8.493	0.075016	2.046	0.029626	0.456000	 14.403	0.462000
22	P025_72h	0.059595	0.075102	 1.193000	1.280000	0.440000	0.798000	0.000275	0.000439	NA	NA	0.000049	0.392000	 79.195	0.646000
23	P025_PMA	0.631000	1.659000	 1.513000	0.882000	0.281000	2.359000	2.845	4.004	1.070	6.008	0.874000	0.338000	  1.346	1.118000
24	P025_SEB	0.121000	1.375000	 0.570000	3.359000	0.170000	1.023000	0.477	4.970	0.132	0.722	0.026805	0.417000	 11.873	0.367000
25	P026_72h	0.020527	0.012703	 0.507000	NA	0.216000	0.767000	NA	NA	NA	NA	0.000034	0.262000	 72.237	0.346000
26	P026_PMA	0.641000	0.919000	 0.897000	0.533000	0.706000	0.744000	1.657	2.549	0.402	3.876	0.807000	0.812000	  2.101	1.002000
27	P026_SEB	0.058288	0.901000	 0.623000	1.378000	0.284000	3.529000	0.535	16.393	0.294	0.404	0.136000	0.455000	  8.303	0.339000
28	P027_72h	0.017673	0.012054	 0.119000	0.117000	0.163000	0.999000	NA	NA	NA	NA	0.000023	0.172000	118.960	0.221000
29	P027_PMA	1.117000	1.481000	 1.614000	1.818000	0.559000	2.280000	4.410	4.522	NA	15.901	0.480000	0.816000	  3.226	1.404000
