Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
PI3	9.23307965150116	2.24689408351363	-27.9025384524714	1.25322722987618e-35	4.38629530456663e-34	70.4259406041099
S100A9	8.37290920242603	6.82277171431869	-19.6909421264283	2.52599964507638e-27	4.42049937888366e-26	51.893615253208
S100A8	7.07034346558857	6.93356946504687	-17.1147086773008	4.27787854694362e-24	4.99085830476756e-23	44.5817096625289
IL1F6	5.64000479811477	8.41860252338425	-13.8201970280788	3.93171145721893e-20	3.44024752506657e-19	35.5368535962072
LCN2	5.16435335496696	-4.83249083649024	-12.9202595491874	1.56350143614334e-17	1.09445100530034e-16	29.7097203069962
CCL20	4.37876092787993	-1.81868151113691	-10.930776679285	1.00626535293859e-14	5.86988122547509e-14	23.3215739133802
CXCL10	3.07517975152068	3.10724113694539	-10.4655063793964	1.73182464419619e-14	7.57673281835833e-14	22.7186487379502
IFNG	3.07517975152068	3.10724113694539	-10.4655063793964	1.73182464419619e-14	7.57673281835833e-14	22.7186487379502
CXCL1	4.31241753697396	-7.18577161042587	-9.76182298000746	3.71153518407571e-13	1.44337479380722e-12	19.7356830929028
CTLA4	3.24560491164881	4.16048587911001	-8.47520462690819	3.16269206705090e-11	9.22451852889847e-11	15.2988255275621
CXCL8	6.13740785569698	-4.69627248486289	-8.65962210185008	3.96525091044723e-11	1.06756755281272e-10	15.2305628597003
IL1RN	1.82629934558848	6.10830586209074	-8.16233309323959	2.9612338320239e-11	9.22451852889847e-11	15.2092638011721
CCL2	1.33689471055008	4.16014904085695	-7.17592023964272	1.3798620077756e-09	3.44965501943901e-09	11.3987208535131
CXCL2	2.0195756457364	-5.79008338210874	-6.84264183143802	1.07289691573141e-08	2.50342613670662e-08	9.52091485318572
FOXP3	2.01491176014396	5.07703444679849	-6.26413629858884	5.3417924081035e-08	1.16851708927264e-07	7.81917199718849
IL1b	2.75953540956579	-1.48503889669154	-6.12512525901875	1.31878056245846e-07	2.71513645212035e-07	7.01376990185327
AIM2	1.91371442554312	2.62213447619981	-5.86011309886854	3.42538818387139e-07	6.66047702419438e-07	6.06285756717595
IFIH1	1.41105161886537	3.65188523229709	-5.2050473777986	2.87666876049496e-06	5.25764173792774e-06	3.90795354599135
IL22RA1	1.75260801746511	3.6883029801994	-5.17336645980745	3.00436670738728e-06	5.25764173792774e-06	3.83880640620671
TNF	1.17580615588229	4.00135507610229	-4.46056296590068	3.82354960155174e-05	6.0829198206505e-05	1.36422662290001
CCL5	1.2004415048186	3.23538764747787	-4.30505757113462	6.40530487547107e-05	9.74720307136901e-05	0.856164702500497
MICB	1.0849971340999	-2.92106600056726	-3.78650446270189	0.000370405800223383	0.000540175125325767	-0.796806025462849
EOMES	1.26997760136922	1.12432178618416	-2.91487827409805	0.0054872883272759	0.00711315153535764	-3.12087662254056
