SAMPLE	AIM2	CTLA4	EOMES	FOXP3	IFIH1	IL10	IL17A	IL17F	IL22	IL4	INFG	OAS2	PI3	PYCARD	TIGIT2
1	P018_72h	0.075120	 0.059334	 1.551	 1.104000	0.753000	 1.175000	NA	NA	NA	NA	0.000142	0.570	NA	147.203	 1.095
2	P018_PMA	0.469000	 0.867000	 0.751	 0.989000	0.734000	 0.797000	0.432	3.038	0.656	2.703	0.920000	0.741	NA	  6.512	 3.016
3	P018_SEB	0.380000	 5.856000	 3.503	16.753000	1.837000	26.940000	3.754	100.589	1.458	7.923	0.374000	2.879	NA	 56.807	 3.505
4	P019_72h	0.412000	 0.033508	 1.283	 0.491000	2.386000	NA	NA	NA	NA	NA	0.000385	0.696	NA	137.791	 3.057
5	P019_PMA	1.505000	 1.378000	 1.720	 0.002539	0.879000	 1.352000	2.482	7.915	3.046	96.581	1.805000	0.265	NA	  1.635	 3.356
6	P019_SEB	0.728000	 1.676000	 1.959	 5.298000	2.516000	 6.960000	0.148	57.613	3.437	25.147	0.363000	1.287	NA	 71.243	 5.365
7	P020_72h	0.082336	 0.064600	 1.737	 0.621000	0.974000	 1.439000	NA	NA	NA	NA	0.000098	0.804	NA	134.023	 1.355
8	P020_PMA	0.849000	 2.488000	 2.083	 1.635000	0.393000	 1.359000	12.475	12.726	14.908	12.389	1.482000	0.639	NA	  1.762	 1.259
9	P020_SEB	0.698000	 5.611000	 3.485	14.805000	1.536000	16.216000	4.338	135.205	6.979	3.694	0.451000	3.190	NA	 60.913	 4.610
10	P021_72h	0.296000	 0.067218	 8.290	 0.276000	1.638000	 1.052000	NA	NA	NA	NA	0.000601	1.243	NA	148.090	 5.440
11	P021_PMA	0.904000	 1.452000	 5.670	 2.164000	0.533000	 1.935000	41.807	79.746	26.143	17.782	5.439000	0.466	NA	  1.286	 3.087
12	P021_SEB	0.397000	 1.124000	 9.600	 3.265000	1.800000	 0.758000	0.734	35.408	5.376	6.647	0.356000	3.075	NA	 47.242	12.286
13	P022_72h	0.132000	 0.044194	 1.530	 1.062000	0.854000	 0.927000	NA	NA	NA	NA	0.000018	0.906	NA	144.641	 1.278
14	P022_PMA	1.089000	 0.797000	 1.757	 2.820000	0.497000	 3.477000	15.663	12.039	8.842	3.235	0.752000	0.436	NA	NA	 1.540
15	P022_SEB	0.414000	 4.721000	 2.071	 9.996000	1.277000	 0.106000	5.774	74.698	2.792	1.688	0.441000	1.961	NA	 93.313	 2.235
16	P023_72h	0.146000	 0.040367	 1.127	 0.402000	0.902000	 3.865000	NA	NA	NA	NA	NA	1.281	NA	129.099	 1.033
17	P023_PMA	0.979000	 1.627000	 0.805	 1.250000	0.338000	 3.772000	16.093	7.382	4.556	2.663	0.625000	0.531	0.510	  0.486	 1.157
18	P023_SEB	0.526000	 3.530000	 1.808	 9.811000	1.617000	 3.619000	2.305	77.583	5.885	0.708	0.802000	3.031	NA	 60.758	 2.257
