,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,,
,,AIM2,,,,B2mg,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,22.385000228881836,,,,14.984999656677246,,,,,,,,,,,
,Kalibraator,22.398000717163086,,,,14.845000267028809,,,,,,,,,,,
,,22.455999374389648,0.037802,22.41,,14.800999641418457,0.096083,14.88,,7.54,0.00,0.10,,1.000,0.048673,,
,,,,,,,,,,,,,,,,,
,V1_PMA,21.945999145507813,,,,16.426000595092773,,,,,,,,,,,
,V1_PMA,21.593000411987305,,,,15.982999801635742,,,,,,,,,,,
,V1_PMA,21.86400032043457,0.18,21.80,,16.39900016784668,0.25,16.27,,5.53,-2.00,0.31,,4.012,0.15,,
,V1_SEB,21.340999603271484,,,,14.675000190734863,,,,,,,,,,,
,V1_SEB,21.375,,,,15.111000061035156,,,,,,,,,,,
,V1_SEB,21.427999496459961,0.043844,21.38,,15.12399959564209,0.26,14.97,,6.41,-1.12,0.26,,2.181,0.12,,
,V1_72h,25.58799934387207,,,,17.183000564575195,,,,,,,,,,,
,V1_72h,25.488000869750977,,,,17.163000106811523,,,,,,,,,,,
,V1_72h,25.788000106811523,0.15,25.62,,17.124000549316406,0.030006,17.16,,8.46,0.93,0.16,,0.525,0.073384,
,V2_PMA,23.398000717163086,,,,16.527000427246094,,,,,,,,,,
,V2_PMA,23.485000610351563,,,,16.534999847412109,,,,,,,,,,
,V2_PMA,23.506000518798828,0.057262,23.46,,16.577999114990234,0.027428,16.55,,6.92,-0.62,0.063492,,1.537,0.029931,
,V2_SEB,23.875999450683594,,,,16.558000564575195,,,,,,,,,,
,V2_SEB,23.999000549316406,,,,16.51300048828125,,,,,,,,,,
,V2_SEB,23.972000122070313,0.064646,23.95,,16.51099967956543,0.026577,16.53,,7.42,-0.11,0.069896,,1.082,0.032949,
,V2_72h,25.21299934387207,,,,15.581000328063965,,,,,,,,,,
,V2_72h,25.437000274658203,,,,15.083999633789063,,,,,,,,,,
,V2_72h,25.12700080871582,0.16,25.26,,15.404000282287598,0.25,15.36,,9.90,2.37,0.30,,0.194,0.14,
,V3_PMA,23.992000579833984,,,,17.160999298095703,,,,,,,,,,
,V3_PMA,23.954999923706055,,,,16.996999740600586,,,,,,,,,,
,V3_PMA,23.923999786376953,0.034044,23.96,,17.006000518798828,0.092197,17.05,,6.90,-0.63,0.098282,,1.552,0.04633,
,V3_SEB,22.676000595092773,,,,15.60200023651123,,,,,,,,,,
,V3_SEB,22.656999588012695,,,,15.583000183105469,,,,,,,,,,
,V3_SEB,22.554000854492188,0.065643,22.63,,15.628000259399414,0.022591,15.60,,7.02,-0.51,0.069421,,1.425,0.032725,
,V3_72h,26.334999084472656,,,,16.302000045776367,,,,,,,,,,,
,V3_72h,26.535999298095703,,,,16.615999221801758,,,,,,,,,,,
,V3_72h,26.461999893188477,0.10,26.44,,16.367000579833984,0.17,16.43,,10.02,2.48,0.19,,0.179,0.091657,,
,V4_PMA,22.12700080871582,,,,15.154999732971191,,,,,,,,,,,
,V4_PMA,22.131999969482422,,,,15.123000144958496,,,,,,,,,,,
,V4_PMA,,0.003535,22.13,,14.49899959564209,0.37,14.93,,7.20,-0.33,0.37,,1.259,0.20,,
,V4_SEB,22.375999450683594,,,,15.034999847412109,,,,,,,,,,,
,V4_SEB,22.601999282836914,,,,14.88700008392334,,,,,,,,,,,
,V4_SEB,22.278999328613281,0.17,22.42,,14.954000473022461,0.07411,14.96,,7.46,-0.075668,0.18,,1.054,0.085585,,
,V4_72h,25.201999664306641,,,,14.548000335693359,,,,,,,,,,,
,V4_72h,25.03700065612793,,,,14.616999626159668,,,,,,,,,,,
,V4_72h,25.472999572753906,0.22,25.24,,14.640999794006348,0.04828,14.60,,10.64,3.10,0.23,,0.117,0.11,,
,V5_PMA,24.743999481201172,,,,16.941999435424805,,,,,,,,,,,
,V5_PMA,24.742000579833984,,,,16.993000030517578,,,,,,,,,,,
,V5_PMA,24.854999542236328,0.064671,24.78,,17.076000213623047,0.067634,17.00,,7.78,0.24,0.093577,,0.846,0.044113,,
,V5_SEB,22.974000930786133,,,,15.496999740600586,,,,,,,,,,,
,V5_SEB,22.922000885009766,,,,15.515999794006348,,,,,,,,,,,
,V5_SEB,23.006999969482422,0.042852,22.97,,15.491999626159668,0.012662,15.50,,7.47,-0.069999,0.044684,,1.050,0.021064,,
,V5_72h,25.798999786376953,,,,16.674999237060547,,,,,,,,,,,
,V5_72h,25.899999618530273,,,,16.690999984741211,,,,,,,,,,,
,V5_72h,25.993999481201172,0.097521,25.90,,16.676000595092773,0.008963,16.68,,9.22,1.68,0.097932,,0.312,0.046165,,
,V6_PMA,24.090999603271484,,,,17.648000717163086,,,,,,,,,,,
,V6_PMA,23.892000198364258,,,,17.618000030517578,,,,,,,,,,,
,V6_PMA,24.195999145507813,0.15,24.06,,17.582000732421875,0.033045,17.62,,6.44,-1.09,0.16,,2.132,0.074434,,
,V6_SEB,22.368999481201172,,,,14.892999649047852,,,,,,,,,,,
,V6_SEB,22.350000381469727,,,,14.829999923706055,,,,,,,,,,,
,V6_SEB,22.518999099731445,0.092576,22.41,,14.864999771118164,0.031565,14.86,,7.55,0.014,0.097809,,0.990,0.046108,,
,V6_72h,29.886999130249023,,,,16.545000076293945,,,,,,,,,,,
,V6_72h,30.430999755859375,,,,16.555999755859375,,,,,,,,,,,
,V6_72h,30.134000778198242,0.27,30.15,,,0.007778,16.55,,13.60,6.06,0.27,,0.014945,0.14,,
,V7_PMA,23.242000579833984,,,,17.350000381469727,,,,,,,,,,,
,V7_PMA,23.257999420166016,,,,17.312999725341797,,,,,,,,,,,
,V7_PMA,23.229999542236328,0.014047,23.24,,17.228000640869141,0.062554,17.30,,5.95,-1.59,0.064112,,3.010,0.030223,,
,V7_SEB,20.670999526977539,,,,13.895000457763672,,,,,,,,,,,
,V7_SEB,20.745000839233398,,,,13.946999549865723,,,,,,,,,,,
,V7_SEB,20.768999099731445,0.051082,20.73,,13.942999839782715,0.028936,13.93,,6.80,-0.74,0.058708,,1.666,0.027675,,
,V7_72h,24.766000747680664,,,,16.951999664306641,,,,,,,,,,,
,V7_72h,24.965999603271484,,,,16.98699951171875,,,,,,,,,,,
,V7_72h,24.990999221801758,0.12,24.91,,16.986000061035156,0.019925,16.97,,7.93,0.40,0.12,,0.760,0.058888,,
,V8_PMA,24.096000671386719,,,,16.339000701904297,,,,,,,,,,,
,V8_PMA,24.006000518798828,,,,16.431999206542969,,,,,,,,,,,
,V8_PMA,24.030000686645508,0.046605,24.04,,16.552999496459961,0.11,16.44,,7.60,0.066667,0.12,,0.955,0.055149,,
,V8_SEB,22.028999328613281,,,,14.925999641418457,,,,,,,,,,,
,V8_SEB,22.062000274658203,,,,14.953000068664551,,,,,,,,,,,
,V8_SEB,22.070999145507813,0.022113,22.05,,14.859999656677246,0.047844,14.91,,7.14,-0.40,0.052707,,1.315,0.024846,,
,V8_72h,25.98699951171875,,,,14.272000312805176,,,,,,,,,,,
,V8_72h,26.066999435424805,,,,14.22700023651123,,,,,,,,,,,
,V8_72h,26.018999099731445,0.040266,26.02,,14.071000099182129,0.11,14.19,,11.83,4.30,0.11,,0.050824,0.053226,,
,V9_PMA,25.048000335693359,,,,16.83799934387207,,,,,,,,,,,
,V9_PMA,25.202999114990234,,,,16.738000869750977,,,,,,,,,,,
,V9_PMA,25.194000244140625,0.087007,25.15,,16.820999145507813,0.053506,16.80,,8.35,0.81,0.10,,0.569,0.048151,,
,V9_SEB,24.629999160766602,,,,16.388999938964844,,,,,,,,,,,
,V9_SEB,24.742000579833984,,,,15.923999786376953,,,,,,,,,,,
,V9_SEB,24.670999526977539,0.056666,24.68,,16.405000686645508,0.27,16.24,,8.44,0.91,0.28,,0.534,0.13,,
,V9_72h,28.49799919128418,,,,17.948999404907227,,,,,,,,,,,
,V9_72h,28.347000122070313,,,,17.944000244140625,,,,,,,,,,,
,V9_72h,27.943000793457031,0.29,28.26,,17.992000579833984,0.026389,17.96,,10.30,2.76,0.29,,0.147,0.14,,
,V10_PMA,28.138999938964844,,,,19.680000305175781,,,,,,,,,,,
,V10_PMA,27.701000213623047,,,,19.75200080871582,,,,,,,,,,,
,V10_PMA,28.024999618530273,0.23,27.95,,19.819000244140625,0.069515,19.75,,8.20,0.67,0.24,,0.629,0.11,,
