,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,,
,,CTLA4,,,,B2mg,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,23.225000381469727,,,,14.984999656677246,,,,,,,,,,,
,Kalibraator,23.273000717163086,,,,14.845000267028809,,,,,,,,,,,
,,23.259000778198242,0.024685,23.25,,14.800999641418457,0.096083,14.88,,8.38,0.00,0.099203,,1.000,0.046765,,
,,,,,,,,,,,,,,,,,
,V1_PMA,21.948999404907227,,,,16.426000595092773,,,,,,,,,,,
,V1_PMA,21.652000427246094,,,,15.982999801635742,,,,,,,,,,,
,V1_PMA,21.989999771118164,0.18,21.86,,16.39900016784668,0.25,16.27,,5.59,-2.78,0.31,,6.873,0.15,,
,V1_SEB,18.916000366210938,,,,14.675000190734863,,,,,,,,,,,
,V1_SEB,18.910999298095703,,,,15.111000061035156,,,,,,,,,,,
,V1_SEB,18.607999801635742,0.18,18.81,,15.12399959564209,0.26,14.97,,3.84,-4.53,0.31,,23.162,0.15,,
,V1_72h,27.027000427246094,,,,17.183000564575195,,,,,,,,,,,
,V1_72h,27.288000106811523,,,,17.163000106811523,,,,,,,,,,,
,V1_72h,27.072999954223633,0.14,27.13,,17.124000549316406,0.030006,17.16,,9.97,1.60,0.14,,0.330,0.067182,
,V2_PMA,24.715999603271484,,,,16.527000427246094,,,,,,,,,,
,V2_PMA,25.136999130249023,,,,16.534999847412109,,,,,,,,,,
,V2_PMA,25.079999923706055,0.23,24.98,,16.577999114990234,0.027428,16.55,,8.43,0.055666,0.23,,0.962,0.11,
,V2_SEB,22.236000061035156,,,,16.558000564575195,,,,,,,,,,
,V2_SEB,22.25,,,,16.51300048828125,,,,,,,,,,
,V2_SEB,22.309000015258789,0.038743,22.27,,16.51099967956543,0.026577,16.53,,5.74,-2.64,0.046982,,6.223,0.022148,
,V2_72h,27.91200065612793,,,,15.581000328063965,,,,,,,,,,
,V2_72h,28.239999771118164,,,,15.083999633789063,,,,,,,,,,
,V2_72h,28.284000396728516,0.20,28.15,,15.404000282287598,0.25,15.36,,12.79,4.41,0.32,,0.04692,0.15,
,V3_PMA,23.582000732421875,,,,17.160999298095703,,,,,,,,,,
,V3_PMA,23.593000411987305,,,,16.996999740600586,,,,,,,,,,
,V3_PMA,23.535999298095703,0.030239,23.57,,17.006000518798828,0.092197,17.05,,6.52,-1.86,0.097029,,3.629,0.04574,
,V3_SEB,19.813999176025391,,,,15.60200023651123,,,,,,,,,,
,V3_SEB,19.815999984741211,,,,15.583000183105469,,,,,,,,,,
,V3_SEB,19.811000823974609,0.002516,19.81,,15.628000259399414,0.022591,15.60,,4.21,-4.17,0.02273,,17.951,0.010715,
,V3_72h,27.533000946044922,,,,16.302000045776367,,,,,,,,,,,
,V3_72h,27.125,,,,16.615999221801758,,,,,,,,,,,
,V3_72h,27.319999694824219,0.20,27.33,,16.367000579833984,0.17,16.43,,10.90,2.52,0.26,,0.174,0.12,,
,V4_PMA,21.672000885009766,,,,15.154999732971191,,,,,,,,,,,
,V4_PMA,21.458000183105469,,,,15.123000144958496,,,,,,,,,,,
,V4_PMA,21.599000930786133,0.11,21.58,,14.49899959564209,0.37,14.93,,6.65,-1.72,0.39,,3.305,0.18,,
,V4_SEB,20.017999649047852,,,,15.034999847412109,,,,,,,,,,,
,V4_SEB,19.902000427246094,,,,14.88700008392334,,,,,,,,,,,
,V4_SEB,20.055999755859375,0.080224,19.99,,14.954000473022461,0.07411,14.96,,5.03,-3.34,0.11,,10.140,0.051485,,
,V4_72h,27.62700080871582,,,,14.548000335693359,,,,,,,,,,,
,V4_72h,27.738000869750977,,,,14.616999626159668,,,,,,,,,,,
,V4_72h,27.635000228881836,0.061906,27.67,,14.640999794006348,0.04828,14.60,,13.06,4.69,0.078507,,0.038759,0.037008,,
,V5_PMA,23.638999938964844,,,,16.941999435424805,,,,,,,,,,,
,V5_PMA,23.638999938964844,,,,16.993000030517578,,,,,,,,,,,
,V5_PMA,23.693000793457031,0.031177,23.66,,17.076000213623047,0.067634,17.00,,6.65,-1.72,0.074474,,3.299,0.035107,,
,V5_SEB,19.777000427246094,,,,15.496999740600586,,,,,,,,,,,
,V5_SEB,19.851999282836914,,,,15.515999794006348,,,,,,,,,,,
,V5_SEB,19.801000595092773,0.038301,19.81,,15.491999626159668,0.012662,15.50,,4.31,-4.07,0.04034,,16.761,0.019016,,
,V5_72h,27.320999145507813,,,,16.674999237060547,,,,,,,,,,,
,V5_72h,27.972999572753906,,,,16.690999984741211,,,,,,,,,,,
,V5_72h,27.663999557495117,0.33,27.65,,16.676000595092773,0.008963,16.68,,10.97,2.60,0.33,,0.165,0.15,,
,V6_PMA,25.086999893188477,,,,17.648000717163086,,,,,,,,,,,
,V6_PMA,25.077999114990234,,,,17.618000030517578,,,,,,,,,,,
,V6_PMA,25.104999542236328,0.013748,25.09,,17.582000732421875,0.033045,17.62,,7.47,-0.90,0.035791,,1.868,0.016872,,
,V6_SEB,19.642999649047852,,,,14.892999649047852,,,,,,,,,,,
,V6_SEB,19.756000518798828,,,,14.829999923706055,,,,,,,,,,,
,V6_SEB,19.966999053955078,0.16,19.79,,14.864999771118164,0.031565,14.86,,4.93,-3.45,0.17,,10.923,0.078938,,
,V6_72h,32.464000701904297,,,,16.545000076293945,,,,,,,,,,,
,V6_72h,,,,,16.555999755859375,,,,,,,,,,,
,V6_72h,33.173000335693359,0.50,32.82,,,0.007778,16.55,,16.27,7.89,0.50,,0.004208,0.29,,
,V7_PMA,23.142000198364258,,,,17.350000381469727,,,,,,,,,,,
,V7_PMA,23.027999877929688,,,,17.312999725341797,,,,,,,,,,,
,V7_PMA,23.052000045776367,0.0601,23.07,,17.228000640869141,0.062554,17.30,,5.78,-2.60,0.086747,,6.056,0.040893,,
,V7_SEB,19.561000823974609,,,,13.895000457763672,,,,,,,,,,,
,V7_SEB,19.714000701904297,,,,13.946999549865723,,,,,,,,,,,
,V7_SEB,19.666999816894531,0.078373,19.65,,13.942999839782715,0.028936,13.93,,5.72,-2.66,0.083544,,6.304,0.039383,,
,V7_72h,29.179000854492188,,,,16.951999664306641,,,,,,,,,,,
,V7_72h,29.496000289916992,,,,16.98699951171875,,,,,,,,,,,
,V7_72h,29.070999145507812,0.22,29.25,,16.986000061035156,0.019925,16.97,,12.27,3.90,0.22,,0.067063,0.10,,
,V8_PMA,23.965999603271484,,,,16.339000701904297,,,,,,,,,,,
,V8_PMA,23.947000503540039,,,,16.431999206542969,,,,,,,,,,,
,V8_PMA,23.856000900268555,0.058796,23.92,,16.552999496459961,0.11,16.44,,7.48,-0.89,0.12,,1.858,0.057679,,
,V8_SEB,19.040000915527344,,,,14.925999641418457,,,,,,,,,,,
,V8_SEB,19.03700065612793,,,,14.953000068664551,,,,,,,,,,,
,V8_SEB,19.056999206542969,0.010785,19.04,,14.859999656677246,0.047844,14.91,,4.13,-4.24,0.049044,,18.944,0.02312,,
,V8_72h,26.357999801635742,,,,14.272000312805176,,,,,,,,,,,
,V8_72h,26.294000625610352,,,,14.22700023651123,,,,,,,,,,,
,V8_72h,26.677000045776367,0.21,26.44,,14.071000099182129,0.11,14.19,,12.25,3.88,0.23,,0.068031,0.11,,
,V9_PMA,25.14900016784668,,,,16.83799934387207,,,,,,,,,,,
,V9_PMA,25.294000625610352,,,,16.738000869750977,,,,,,,,,,,
