,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,,
,,EOMES,,,,B2mg,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,24.545999526977539,,,,14.984999656677246,,,,,,,,,,,
,Kalibraator,24.639999389648438,,,,14.845000267028809,,,,,,,,,,,
,,24.636999130249023,0.053426,24.61,,14.800999641418457,0.096083,14.88,,9.73,0.00,0.11,,1.000,0.051825,,
,,,,,,,,,,,,,,,,,
,V1_PMA,25.531000137329102,,,,16.426000595092773,,,,,,,,,,,
,V1_PMA,25.200000762939453,,,,15.982999801635742,,,,,,,,,,,
,V1_PMA,25.378000259399414,0.17,25.37,,16.39900016784668,0.25,16.27,,9.10,-0.63,0.30,,1.548,0.14,,
,V1_SEB,21.179000854492188,,,,14.675000190734863,,,,,,,,,,,
,V1_SEB,21.518999099731445,,,,15.111000061035156,,,,,,,,,,,
,V1_SEB,21.03700065612793,0.25,21.25,,15.12399959564209,0.26,14.97,,6.28,-3.46,0.36,,10.971,0.17,,
,V1_72h,24.13800048828125,,,,17.183000564575195,,,,,,,,,,,
,V1_72h,24.048999786376953,,,,17.163000106811523,,,,,,,,,,,
,V1_72h,24.187999725341797,0.070406,24.12,,17.124000549316406,0.030006,17.16,,6.97,-2.76,0.076533,,6.785,0.036078,
,V2_PMA,25.020000457763672,,,,16.527000427246094,,,,,,,,,,
,V2_PMA,24.99799919128418,,,,16.534999847412109,,,,,,,,,,
,V2_PMA,25.187000274658203,0.10,25.07,,16.577999114990234,0.027428,16.55,,8.52,-1.21,0.11,,2.312,0.050409,
,V2_SEB,21.670999526977539,,,,16.558000564575195,,,,,,,,,,
,V2_SEB,21.642999649047852,,,,16.51300048828125,,,,,,,,,,
,V2_SEB,21.724000930786133,0.041139,21.68,,16.51099967956543,0.026577,16.53,,5.15,-4.58,0.048977,,23.895,0.023088,
,V2_72h,22.819000244140625,,,,15.581000328063965,,,,,,,,,,
,V2_72h,22.797000885009766,,,,15.083999633789063,,,,,,,,,,
,V2_72h,22.756000518798828,0.031974,22.79,,15.404000282287598,0.25,15.36,,7.43,-2.30,0.25,,4.912,0.12,
,V3_PMA,25.216999053955078,,,,17.160999298095703,,,,,,,,,,
,V3_PMA,25.645000457763672,,,,16.996999740600586,,,,,,,,,,
,V3_PMA,25.455999374389648,0.21,25.44,,17.006000518798828,0.092197,17.05,,8.38,-1.35,0.23,,2.542,0.11,
,V3_SEB,21.066999435424805,,,,15.60200023651123,,,,,,,,,,
,V3_SEB,21.073999404907227,,,,15.583000183105469,,,,,,,,,,
,V3_SEB,20.989999771118164,0.046608,21.04,,15.628000259399414,0.022591,15.60,,5.44,-4.29,0.051794,,19.580,0.024416,
,V3_72h,23.690999984741211,,,,16.302000045776367,,,,,,,,,,,
,V3_72h,23.795000076293945,,,,16.615999221801758,,,,,,,,,,,
,V3_72h,23.591999053955078,0.10,23.69,,16.367000579833984,0.17,16.43,,7.26,-2.47,0.19,,5.526,0.091621,,
,V4_PMA,22.749000549316406,,,,15.154999732971191,,,,,,,,,,,
,V4_PMA,22.726999282836914,,,,15.123000144958496,,,,,,,,,,,
,V4_PMA,22.493000030517578,0.14,22.66,,14.49899959564209,0.37,14.93,,7.73,-2.00,0.40,,4.000,0.19,,
,V4_SEB,21.89900016784668,,,,15.034999847412109,,,,,,,,,,,
,V4_SEB,21.91200065612793,,,,14.88700008392334,,,,,,,,,,,
,V4_SEB,21.919000625610352,0.010149,21.91,,14.954000473022461,0.07411,14.96,,6.95,-2.78,0.074802,,6.865,0.035262,,
,V4_72h,23.305999755859375,,,,14.548000335693359,,,,,,,,,,,
,V4_72h,23.257999420166016,,,,14.616999626159668,,,,,,,,,,,
,V4_72h,23.416999816894531,0.081554,23.33,,14.640999794006348,0.04828,14.60,,8.72,-1.01,0.094773,,2.008,0.044677,,
