,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,
,,IFIH1,,,,B2mg,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,24.222000122070313,,,,16.01099967956543,,,,,,,,,,
,Kalibraator,23.447000503540039,,,,15.942000389099121,,,,,,,,,,
,,23.722999572753906,0.39,23.80,,15.907999992370605,0.052482,15.95,,7.84,0.00,0.40,,1.000,0.19,
,,,,,,,,,,,,,,,,
,P018_PMA,26.280000686645508,,,,18.096000671386719,,,,,,,,,,
,P018_PMA,26.416999816894531,,,,17.941999435424805,,,,,,,,,,
,P018_PMA,26.128000259399414,0.14,26.28,,17.920000076293945,0.095896,17.99,,8.29,0.45,0.17,,0.734,0.081779,
,P018_SEB,23.794000625610352,,,,16.795999526977539,,,,,,,,,,
,P018_SEB,23.746999740600586,,,,16.778999328613281,,,,,,,,,,
,P018_SEB,23.617000579833984,0.091686,23.72,,16.684000015258789,0.060357,16.75,,6.97,-0.88,0.11,,1.837,0.051746,
,P018_72h,25.231000900268555,,,,16.995000839233398,,,,,,,,,,
,P018_72h,25.306999206542969,,,,16.990999221801758,,,,,,,,,,
,P018_72h,25.194000244140625,0.05761,25.24,,16.986000061035156,0.00451,16.99,,8.25,0.41,0.057786,,0.753,0.027241,
,P019_PMA,25.368999481201172,,,,17.16200065612793,,,,,,,,,,
,P019_PMA,25.228000640869141,,,,17.180999755859375,,,,,,,,,,
,P019_PMA,24.993999481201172,0.19,25.20,,17.158000946044922,0.012288,17.17,,8.03,0.19,0.19,,0.879,0.089478,
,P019_SEB,22.290000915527344,,,,15.75100040435791,,,,,,,,,,
,P019_SEB,22.268999099731445,,,,15.788000106811523,,,,,,,,,,
,P019_SEB,22.280000686645508,0.010505,22.28,,15.76200008392334,0.019,15.77,,6.51,-1.33,0.021711,,2.516,0.010234,
,P019_72h,26.104999542236328,,,,19.597000122070313,,,,,,,,,,
,P019_72h,26.103000640869141,,,,19.597999572753906,,,,,,,,,,
,P019_72h,26.318000793457031,0.12,26.18,,19.563999176025391,0.019348,19.59,,6.59,-1.25,0.13,,2.386,0.058955,
,P020_PMA,25.552999496459961,,,,16.055000305175781,,,,,,,,,,
,P020_PMA,25.209999084472656,,,,16.08799934387207,,,,,,,,,,
,P020_PMA,25.003999710083008,0.28,25.26,,16.048999786376953,0.021,16.06,,9.19,1.35,0.28,,0.393,0.13,
,P020_SEB,22.028999328613281,,,,14.729000091552734,,,,,,,,,,
,P020_SEB,21.971000671386719,,,,14.763999938964844,,,,,,,,,,
,P020_SEB,22.072999954223633,0.051159,22.02,,14.906999588012695,0.094302,14.80,,7.22,-0.62,0.11,,1.536,0.050575,
,P020_72h,23.364999771118164,,,,15.50100040435791,,,,,,,,,,
,P020_72h,23.298999786376953,,,,15.484000205993652,,,,,,,,,,
,P020_72h,23.423000335693359,0.062043,23.36,,15.458999633789063,0.021127,15.48,,7.88,0.037333,0.065542,,0.974,0.030897,
,P021_PMA,25.645000457763672,,,,16.849000930786133,,,,,,,,,,
,P021_PMA,25.548000335693359,,,,16.863000869750977,,,,,,,,,,
,P021_PMA,25.614999771118164,0.049662,25.60,,16.840000152587891,0.011591,16.85,,8.75,0.91,0.050997,,0.533,0.02404,
,P021_SEB,21.909000396728516,,,,14.845000267028809,,,,,,,,,,
,P021_SEB,21.809999465942383,,,,14.828000068664551,,,,,,,,,,
,P021_SEB,21.784000396728516,0.065957,21.83,,14.843000411987305,0.009292,14.84,,7.00,-0.85,0.066608,,1.800,0.0314,
