,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,,
,,IFIH1,,,,B2mg,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,24.416000366210937,,,,14.984999656677246,,,,,,,,,,,
,Kalibraator,24.120000839233398,,,,14.845000267028809,,,,,,,,,,,
,,24.284999847412109,0.15,24.27,,14.800999641418457,0.096083,14.88,,9.40,0.00,0.18,,1.000,0.08331,,
,,,,,,,,,,,,,,,,,
,V1_PMA,26.294000625610352,,,,16.426000595092773,,,,,,,,,,,
,V1_PMA,27.41200065612793,,,,15.982999801635742,,,,,,,,,,,
,V1_PMA,,0.79,26.85,,16.39900016784668,0.25,16.27,,10.58,1.19,0.83,,0.439,0.44,,
,V1_SEB,22.476999282836914,,,,14.675000190734863,,,,,,,,,,,
,V1_SEB,,,,,15.111000061035156,,,,,,,,,,,
,V1_SEB,23.849000930786133,0.97,23.16,,15.12399959564209,0.26,14.97,,8.19,-1.20,1.00,,2.303,0.54,,
,V1_72h,26.541999816894531,,,,17.183000564575195,,,,,,,,,,,
,V1_72h,,,,,17.163000106811523,,,,,,,,,,,
,V1_72h,26.423000335693359,0.084145,26.48,,17.124000549316406,0.030006,17.16,,9.33,-0.070834,0.089335,,1.050,0.047752,
,V2_PMA,25.549999237060547,,,,16.527000427246094,,,,,,,,,,
,V2_PMA,,,,,16.534999847412109,,,,,,,,,,
,V2_PMA,25.86199951171875,0.22,25.71,,16.577999114990234,0.027428,16.55,,9.16,-0.24,0.22,,1.179,0.12,
,V2_SEB,24.232999801635742,,,,16.558000564575195,,,,,,,,,,
,V2_SEB,24.757999420166016,,,,16.51300048828125,,,,,,,,,,
,V2_SEB,24.353000640869141,0.28,24.45,,16.51099967956543,0.026577,16.53,,7.92,-1.48,0.28,,2.782,0.13,
,V2_72h,24.184999465942383,,,,15.581000328063965,,,,,,,,,,
,V2_72h,24.267000198364258,,,,15.083999633789063,,,,,,,,,,
,V2_72h,24.35099983215332,0.083002,24.27,,15.404000282287598,0.25,15.36,,8.91,-0.49,0.27,,1.400,0.13,
,V3_PMA,27.229999542236328,,,,17.160999298095703,,,,,,,,,,
,V3_PMA,26.791999816894531,,,,16.996999740600586,,,,,,,,,,
,V3_PMA,26.530000686645508,0.35,26.85,,17.006000518798828,0.092197,17.05,,9.80,0.40,0.37,,0.758,0.17,
,V3_SEB,23.635000228881836,,,,15.60200023651123,,,,,,,,,,
,V3_SEB,23.229000091552734,,,,15.583000183105469,,,,,,,,,,
,V3_SEB,23.391000747680664,0.20,23.42,,15.628000259399414,0.022591,15.60,,7.81,-1.58,0.21,,2.995,0.09693,
,V3_72h,25.281999588012695,,,,16.302000045776367,,,,,,,,,,,
,V3_72h,25.476999282836914,,,,16.615999221801758,,,,,,,,,,,
,V3_72h,,0.14,25.38,,16.367000579833984,0.17,16.43,,8.95,-0.45,0.22,,1.362,0.12,,
,V4_PMA,33.639999389648438,,,,15.154999732971191,,,,,,,,,,,
,V4_PMA,30.250999450683594,,,,15.123000144958496,,,,,,,,,,,
,V4_PMA,,2.40,31.95,,14.49899959564209,0.37,14.93,,17.02,7.62,2.42,,0.005072,1.30,,
,V4_SEB,,,,,15.034999847412109,,,,,,,,,,,
,V4_SEB,22.745000839233398,,,,14.88700008392334,,,,,,,,,,,
,V4_SEB,22.322999954223633,0.30,22.53,,14.954000473022461,0.07411,14.96,,7.58,-1.82,0.31,,3.534,0.16,,
,V4_72h,24.020000457763672,,,,14.548000335693359,,,,,,,,,,,
