,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,
,,IL10,,,,B2mg,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,27.687000274658203,,,,16.01099967956543,,,,,,,,,,
,Kalibraator,27.211999893188477,,,,15.942000389099121,,,,,,,,,,
,,27.438999176025391,0.24,27.45,,15.907999992370605,0.052482,15.95,,11.49,0.00,0.24,,1.000,0.11,
,,,,,,,,,,,,,,,,
,P018_PMA,29.785999298095703,,,,18.096000671386719,,,,,,,,,,
,P018_PMA,30.121000289916992,,,,17.941999435424805,,,,,,,,,,
,P018_PMA,29.51099967956543,0.31,29.81,,17.920000076293945,0.095896,17.99,,11.82,0.33,0.32,,0.797,0.15,
,P018_SEB,23.506999969482422,,,,16.795999526977539,,,,,,,,,,
,P018_SEB,23.461000442504883,,,,16.778999328613281,,,,,,,,,,
,P018_SEB,23.51300048828125,0.028449,23.49,,16.684000015258789,0.060357,16.75,,6.74,-4.75,0.066725,,26.940,0.031455,
,P018_72h,28.108999252319336,,,,16.995000839233398,,,,,,,,,,
,P018_72h,28.434000015258789,,,,16.990999221801758,,,,,,,,,,
,P018_72h,28.208999633789063,0.17,28.25,,16.986000061035156,0.00451,16.99,,11.26,-0.23,0.17,,1.175,0.078498,
,P019_PMA,28.24799919128418,,,,17.16200065612793,,,,,,,,,,
,P019_PMA,28.219999313354492,,,,17.180999755859375,,,,,,,,,,
,P019_PMA,28.204999923706055,0.021825,28.22,,17.158000946044922,0.012288,17.17,,11.06,-0.44,0.025046,,1.352,0.011807,
,P019_SEB,24.479000091552734,,,,15.75100040435791,,,,,,,,,,
,P019_SEB,24.437999725341797,,,,15.788000106811523,,,,,,,,,,
,P019_SEB,24.464000701904297,0.020745,24.46,,15.76200008392334,0.019,15.77,,8.69,-2.80,0.028131,,6.960,0.013261,
,P019_72h,35.159000396728516,,,,19.597000122070313,,,,,,,,,,
,P019_72h,Undetermined,,,,19.597999572753906,,,,,,,,,,
,P019_72h,34.422000885009766,0.52,34.79,,19.563999176025391,0.019348,19.59,,15.20,3.71,0.52,,0.076318,0.28,
,P020_PMA,26.958000183105469,,,,16.055000305175781,,,,,,,,,,
,P020_PMA,27.129999160766602,,,,16.08799934387207,,,,,,,,,,
,P020_PMA,27.253999710083008,0.15,27.11,,16.048999786376953,0.021,16.06,,11.05,-0.44,0.15,,1.359,0.070769,
,P020_SEB,22.208000183105469,,,,14.729000091552734,,,,,,,,,,
,P020_SEB,22.183000564575195,,,,14.763999938964844,,,,,,,,,,
,P020_SEB,22.427999496459961,0.13,22.27,,14.906999588012695,0.094302,14.80,,7.47,-4.02,0.16,,16.216,0.077557,
,P020_72h,26.378000259399414,,,,15.50100040435791,,,,,,,,,,
,P020_72h,26.410999298095703,,,,15.484000205993652,,,,,,,,,,
,P020_72h,26.558000564575195,0.095828,26.45,,15.458999633789063,0.021127,15.48,,10.97,-0.52,0.09813,,1.439,0.046259,
,P021_PMA,27.292999267578125,,,,16.849000930786133,,,,,,,,,,
,P021_PMA,27.326000213623047,,,,16.863000869750977,,,,,,,,,,
,P021_PMA,27.552000045776367,0.14,27.39,,16.840000152587891,0.011591,16.85,,10.54,-0.95,0.14,,1.935,0.066681,
,P021_SEB,26.791000366210938,,,,14.845000267028809,,,,,,,,,,
,P021_SEB,26.701000213623047,,,,14.828000068664551,,,,,,,,,,
,P021_SEB,26.698999404907227,0.052549,26.73,,14.843000411987305,0.009292,14.84,,11.89,0.40,0.053364,,0.758,0.025156,
,P021_72h,27.680000305175781,,,,16.427000045776367,,,,,,,,,,
,P021_72h,27.795000076293945,,,,16.451999664306641,,,,,,,,,,
,P021_72h,28.145000457763672,0.24,27.87,,16.483999252319336,0.028571,16.45,,11.42,-0.073332,0.24,,1.052,0.11,
,P022_PMA,28.370000839233398,,,,18.266000747680664,,,,,,,,,,
,P022_PMA,27.75,,,,18.292999267578125,,,,,,,,,,
,P022_PMA,27.851999282836914,0.33,27.99,,18.329999923706055,0.03213,18.30,,9.69,-1.80,0.33,,3.477,0.16,
,P022_SEB,29,,,,14.35099983215332,,,,,,,,,,
,P022_SEB,28.881999969482422,,,,14.378999710083008,,,,,,,,,,
,P022_SEB,29.413000106811523,0.28,29.10,,14.381999969482422,0.017098,14.37,,14.73,3.24,0.28,,0.106,0.13,
,P022_72h,28.409000396728516,,,,16.580999374389648,,,,,,,,,,
,P022_72h,28.142000198364258,,,,16.621000289916992,,,,,,,,,,
,P022_72h,28.061000823974609,0.18,28.20,,16.604999542236328,0.020133,16.60,,11.60,0.11,0.18,,0.927,0.086364,
,P023_PMA,25.492000579833984,,,,15.755000114440918,,,,,,,,,,
,P023_PMA,25.403999328613281,,,,16.181999206542969,,,,,,,,,,
,P023_PMA,25.607999801635742,0.10,25.50,,15.836000442504883,0.23,15.92,,9.58,-1.92,0.25,,3.772,0.12,
,P023_SEB,23.461999893188477,,,,13.894000053405762,,,,,,,,,,
,P023_SEB,23.533000946044922,,,,13.847000122070313,,,,,,,,,,
,P023_SEB,23.472000122070312,0.038432,23.49,,13.815999984741211,0.039273,13.85,,9.64,-1.86,0.054949,,3.619,0.025903,
,P023_72h,25.63599967956543,,,,16.080999374389648,,,,,,,,,,
,P023_72h,25.569000244140625,,,,16.111000061035156,,,,,,,,,,
,P023_72h,25.66200065612793,0.047983,25.62,,16.048999786376953,0.031006,16.08,,9.54,-1.95,0.057129,,3.865,0.026931,
,P024_PMA,,,,,17.87700080871582,,,,,,,,,,
,P024_PMA,30.896999359130859,,,,17.843999862670898,,,,,,,,,,
,P024_PMA,31.021999359130859,0.088388,30.96,,17.83799934387207,0.021001,17.85,,13.11,1.61,0.090849,,0.327,0.048561,
,P024_SEB,24.111000061035156,,,,15.611000061035156,,,,,,,,,,
,P024_SEB,23.968000411987305,,,,15.605999946594238,,,,,,,,,,
,P024_SEB,24.211000442504883,0.12,24.10,,15.701000213623047,0.053464,15.64,,8.46,-3.03,0.13,,8.196,0.062848,
,P024_72h,24.943000793457031,,,,14.800000190734863,,,,,,,,,,
,P024_72h,24.808000564575195,,,,14.782999992370605,,,,,,,,,,
,P024_72h,24.909999847412109,0.070378,24.89,,14.833000183105469,0.025423,14.81,,10.08,-1.41,0.074829,,2.659,0.035275,
,P025_PMA,24.981000900268555,,,,15.314000129699707,,,,,,,,,,
,P025_PMA,24.922000885009766,,,,15.404000282287598,,,,,,,,,,
,P025_PMA,25.038999557495117,0.0585,24.98,,15.439999580383301,0.0649,15.39,,9.59,-1.90,0.087374,,3.726,0.041189,
,P025_SEB,22.985000610351563,,,,14.657999992370605,,,,,,,,,,
,P025_SEB,23.017999649047852,,,,14.637999534606934,,,,,,,,,,
,P025_SEB,23.097000122070313,0.057553,23.03,,14.633000373840332,0.013229,14.64,,8.39,-3.10,0.059053,,8.586,0.027838,
,P025_72h,26.66200065612793,,,,15.288000106811523,,,,,,,,,,
,P025_72h,26.554000854492188,,,,15.324999809265137,,,,,,,,,,
,P025_72h,26.422000885009766,0.12,26.55,,15.326999664306641,0.021962,15.31,,11.23,-0.26,0.12,,1.197,0.057601,
,P026_PMA,27.061000823974609,,,,14.951000213623047,,,,,,,,,,
,P026_PMA,27.513999938964844,,,,14.991999626159668,,,,,,,,,,
,P026_PMA,27.173999786376953,0.24,27.25,,14.852999687194824,0.071421,14.93,,12.32,0.83,0.25,,0.564,0.12,
,P026_SEB,21.683000564575195,,,,14.649999618530273,,,,,,,,,,
,P026_SEB,21.684999465942383,,,,14.635000228881836,,,,,,,,,,
,P026_SEB,21.631000518798828,0.030616,21.67,,14.651000022888184,0.008963,14.65,,7.02,-4.47,0.031901,,22.182,0.015038,
,P026_72h,25.909000396728516,,,,15.303000450134277,,,,,,,,,,
,P026_72h,25.947000503540039,,,,15.288000106811523,,,,,,,,,,
,P026_72h,25.811000823974609,0.070171,25.89,,15.33899974822998,0.02621,15.31,,10.58,-0.91,0.074906,,1.883,0.035311,
,P027_PMA,25.406000137329102,,,,14.781000137329102,,,,,,,,,,
,P027_PMA,25.326999664306641,,,,14.74899959564209,,,,,,,,,,
,P027_PMA,25.552000045776367,0.11,25.43,,14.786999702453613,0.020429,14.77,,10.66,-0.84,0.12,,1.786,0.054666,
,P027_SEB,22.26099967956543,,,,15.347999572753906,,,,,,,,,,
,P027_SEB,22.813999176025391,,,,15.338000297546387,,,,,,,,,,
,P027_SEB,22.297000885009766,0.31,22.46,,15.381999969482422,0.023065,15.36,,7.10,-4.39,0.31,,20.981,0.15,
,P027_72h,25.643999099731445,,,,15.776000022888184,,,,,,,,,,
,P027_72h,25.517000198364258,,,,15.781999588012695,,,,,,,,,,
,P027_72h,25.479999542236328,0.086017,25.55,,15.781000137329102,0.003214,15.78,,9.77,-1.73,0.086077,,3.306,0.040577,
,P028_PMA,25.981000900268555,,,,15.760000228881836,,,,,,,,,,
,P028_PMA,25.770999908447266,,,,15.793999671936035,,,,,,,,,,
,P028_PMA,25.993000030517578,0.12,25.92,,15.791999816894531,0.019079,15.78,,10.13,-1.36,0.13,,2.566,0.059539,
,P028_SEB,22.23900032043457,,,,14.819999694824219,,,,,,,,,,
,P028_SEB,22.152999877929687,,,,14.99899959564209,,,,,,,,,,
,P028_SEB,22.283000946044922,0.066122,22.23,,14.993000030517578,0.10,14.94,,7.29,-4.20,0.12,,18.439,0.057167,
,P028_72h,29.128000259399414,,,,17.110000610351563,,,,,,,,,,
,P028_72h,28.625,,,,17.104999542236328,,,,,,,,,,
,P028_72h,29.315999984741211,0.36,29.02,,17.068000793457031,0.022942,17.09,,11.93,0.44,0.36,,0.739,0.17,
,P029_PMA,26.732999801635742,,,,17.416000366210938,,,,,,,,,,
,P029_PMA,26.297000885009766,,,,17.447999954223633,,,,,,,,,,
,P029_PMA,26.628999710083008,0.23,26.55,,17.398000717163086,0.025324,17.42,,9.13,-2.36,0.23,,5.134,0.11,
,P029_SEB,23.922000885009766,,,,15.378000259399414,,,,,,,,,,
,P029_SEB,23.902999877929688,,,,15.37399959564209,,,,,,,,,,
,P029_SEB,23.851999282836914,0.036199,23.89,,15.329000473022461,0.027209,15.36,,8.53,-2.96,0.045285,,7.783,0.021347,,
,P029_72h,25.947999954223633,,,,15.934000015258789,,,,,,,,,,,
,P029_72h,25.742000579833984,,,,15.928000450134277,,,,,,,,,,,
,P029_72h,25.700000762939453,0.13,25.80,,15.928999900817871,0.003214,15.93,,9.87,-1.63,0.13,,3.087,0.062588,,
,P030_PMA,25.068000793457031,,,,15.524999618530273,,,,,,,,,,,
,P030_PMA,25.091999053955078,,,,15.663000106811523,,,,,,,,,,,
,P030_PMA,25.125999450683594,0.029143,25.10,,15.557000160217285,0.072231,15.58,,9.51,-1.98,0.077889,,3.941,0.036717,,
,P030_SEB,22.382999420166016,,,,14.536999702453613,,,,,,,,,,,
,P030_SEB,22.541000366210937,,,,14.557999610900879,,,,,,,,,,,
,P030_SEB,22.488000869750977,0.080414,22.47,,14.531000137329102,0.014177,14.54,,7.93,-3.56,0.081654,,11.824,0.038492,,
,P030_72h,25.277999877929687,,,,15.654999732971191,,,,,,,,,,,
,P030_72h,25.5,,,,15.61400032043457,,,,,,,,,,,
,P030_72h,25.436000823974609,0.11,25.40,,15.644000053405762,0.021221,15.64,,9.77,-1.73,0.12,,3.307,0.054788,,
,P031_PMA,26.618999481201172,,,,16.620000839233398,,,,,,,,,,,
,P031_PMA,26.974000930786133,,,,16.625,,,,,,,,,,,
,P031_PMA,27.091999053955078,0.25,26.89,,16.63599967956543,0.008185,16.63,,10.27,-1.22,0.25,,2.336,0.12,,
,P031_SEB,23.24799919128418,,,,14.657999992370605,,,,,,,,,,
,P031_SEB,23.068000793457031,,,,14.701000213623047,,,,,,,,,,
