,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,,
,,IL10,,,,B2mg,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,27.708000183105469,,,,14.984999656677246,,,,,,,,,,,
,Kalibraator,27.618999481201172,,,,14.845000267028809,,,,,,,,,,,
,,27.481000900268555,0.11,27.60,,14.800999641418457,0.096083,14.88,,12.73,0.00,0.15,,1.000,0.070418,,
,,,,,,,,,,,,,,,,,
,V1_PMA,31.118999481201172,,,,16.426000595092773,,,,,,,,,,,
,V1_PMA,30.764999389648438,,,,15.982999801635742,,,,,,,,,,,
,V1_PMA,,0.25,30.94,,16.39900016784668,0.25,16.27,,14.67,1.95,0.35,,0.259,0.19,,
,V1_SEB,21.461999893188477,,,,14.675000190734863,,,,,,,,,,,
,V1_SEB,21.381999969482422,,,,15.111000061035156,,,,,,,,,,,
,V1_SEB,21.471000671386719,0.048993,21.44,,15.12399959564209,0.26,14.97,,6.47,-6.26,0.26,,76.497,0.12,,
,V1_72h,28.424999237060547,,,,17.183000564575195,,,,,,,,,,,
,V1_72h,28.490999221801758,,,,17.163000106811523,,,,,,,,,,,
,V1_72h,28.37299919128418,0.059138,28.43,,17.124000549316406,0.030006,17.16,,11.27,-1.45,0.066315,,2.737,0.031261,
,V2_PMA,28.246999740600586,,,,16.527000427246094,,,,,,,,,,
,V2_PMA,28.197000503540039,,,,16.534999847412109,,,,,,,,,,
,V2_PMA,28.436000823974609,0.13,28.29,,16.577999114990234,0.027428,16.55,,11.75,-0.98,0.13,,1.971,0.060814,
,V2_SEB,24.283000946044922,,,,16.558000564575195,,,,,,,,,,
,V2_SEB,24.356000900268555,,,,16.51300048828125,,,,,,,,,,
,V2_SEB,24.416000366210937,0.066606,24.35,,16.51099967956543,0.026577,16.53,,7.82,-4.90,0.071712,,29.885,0.033805,
,V2_72h,26.374000549316406,,,,15.581000328063965,,,,,,,,,,
,V2_72h,26.204999923706055,,,,15.083999633789063,,,,,,,,,,
,V2_72h,26.48900032043457,0.14,26.36,,15.404000282287598,0.25,15.36,,11.00,-1.73,0.29,,3.308,0.14,
,V3_PMA,29.149999618530273,,,,17.160999298095703,,,,,,,,,,
,V3_PMA,28.620000839233398,,,,16.996999740600586,,,,,,,,,,
,V3_PMA,28.75,0.28,28.84,,17.006000518798828,0.092197,17.05,,11.79,-0.94,0.29,,1.919,0.14,
,V3_SEB,22.945999145507813,,,,15.60200023651123,,,,,,,,,,
,V3_SEB,22.940999984741211,,,,15.583000183105469,,,,,,,,,,
,V3_SEB,22.919000625610352,0.014364,22.94,,15.628000259399414,0.022591,15.60,,7.33,-5.39,0.02677,,42.068,0.01262,
,V3_72h,25.783000946044922,,,,16.302000045776367,,,,,,,,,,,
,V3_72h,26.354999542236328,,,,16.615999221801758,,,,,,,,,,,
,V3_72h,25.954000473022461,0.29,26.03,,16.367000579833984,0.17,16.43,,9.60,-3.12,0.34,,8.714,0.16,,
,V4_PMA,23.51300048828125,,,,15.154999732971191,,,,,,,,,,,
,V4_PMA,23.402999877929688,,,,15.123000144958496,,,,,,,,,,,
,V4_PMA,23.302999496459961,0.11,23.41,,14.49899959564209,0.37,14.93,,8.48,-4.25,0.38,,18.961,0.18,,
,V4_SEB,23.118000030517578,,,,15.034999847412109,,,,,,,,,,,
,V4_SEB,23.11199951171875,,,,14.88700008392334,,,,,,,,,,,
,V4_SEB,23.152000427246094,0.021572,23.13,,14.954000473022461,0.07411,14.96,,8.17,-4.56,0.077186,,23.539,0.036386,,
,V4_72h,24.288999557495117,,,,14.548000335693359,,,,,,,,,,,
,V4_72h,24.391000747680664,,,,14.616999626159668,,,,,,,,,,,
,V4_72h,24.346000671386719,0.051118,24.34,,14.640999794006348,0.04828,14.60,,9.74,-2.99,0.070314,,7.921,0.033146,,
,V5_PMA,27.448999404907227,,,,16.941999435424805,,,,,,,,,,,
,V5_PMA,27.471000671386719,,,,16.993000030517578,,,,,,,,,,,
,V5_PMA,,0.015557,27.46,,17.076000213623047,0.067634,17.00,,10.46,-2.27,0.0694,,4.821,0.037096,,
,V5_SEB,23.625,,,,15.496999740600586,,,,,,,,,,,
,V5_SEB,23.618999481201172,,,,15.515999794006348,,,,,,,,,,,
,V5_SEB,23.649999618530273,0.016442,23.63,,15.491999626159668,0.012662,15.50,,8.13,-4.60,0.020753,,24.184,0.009783,,
,V5_72h,27.600000381469727,,,,16.674999237060547,,,,,,,,,,,
,V5_72h,27.371999740600586,,,,16.690999984741211,,,,,,,,,,,
,V5_72h,27.440000534057617,0.12,27.47,,16.676000595092773,0.008963,16.68,,10.79,-1.94,0.12,,3.826,0.055341,,
,V6_PMA,28.674999237060547,,,,17.648000717163086,,,,,,,,,,,
,V6_PMA,28.395999908447266,,,,17.618000030517578,,,,,,,,,,,
,V6_PMA,28.156999588012695,0.26,28.41,,17.582000732421875,0.033045,17.62,,10.79,-1.93,0.26,,3.817,0.12,,
,V6_SEB,24.982000350952148,,,,14.892999649047852,,,,,,,,,,,
,V6_SEB,25.01300048828125,,,,14.829999923706055,,,,,,,,,,,
,V6_SEB,24.926000595092773,0.044095,24.97,,14.864999771118164,0.031565,14.86,,10.11,-2.61,0.054228,,6.125,0.025563,,
,V6_72h,,,,,16.545000076293945,,,,,,,,,,,
,V6_72h,29.160999298095703,,,,16.555999755859375,,,,,,,,,,,
,V6_72h,28.799999237060547,0.26,28.98,,,0.007778,16.55,,12.43,-0.30,0.26,,1.227,0.15,,
,V7_PMA,28.017999649047852,,,,17.350000381469727,,,,,,,,,,,
,V7_PMA,28.063999176025391,,,,17.312999725341797,,,,,,,,,,,
,V7_PMA,28.080999374389648,0.032593,28.05,,17.228000640869141,0.062554,17.30,,10.76,-1.97,0.070536,,3.913,0.033251,,
,V7_SEB,22.361000061035156,,,,13.895000457763672,,,,,,,,,,,
,V7_SEB,22.409999847412109,,,,13.946999549865723,,,,,,,,,,,
,V7_SEB,22.353000640869141,0.03086,22.37,,13.942999839782715,0.028936,13.93,,8.45,-4.28,0.042304,,19.418,0.019942,,
,V7_72h,29.10099983215332,,,,16.951999664306641,,,,,,,,,,,
,V7_72h,29.003000259399414,,,,16.98699951171875,,,,,,,,,,,
,V7_72h,29.216999053955078,0.11,29.11,,16.986000061035156,0.019925,16.97,,12.13,-0.59,0.11,,1.509,0.051366,,
,V8_PMA,28.583000183105469,,,,16.339000701904297,,,,,,,,,,,
,V8_PMA,28.575000762939453,,,,16.431999206542969,,,,,,,,,,,
,V8_PMA,28.402999877929687,0.10,28.52,,16.552999496459961,0.11,16.44,,12.08,-0.65,0.15,,1.566,0.069691,,
,V8_SEB,22.881000518798828,,,,14.925999641418457,,,,,,,,,,,
,V8_SEB,22.989999771118164,,,,14.953000068664551,,,,,,,,,,,
,V8_SEB,22.986000061035156,0.061808,22.95,,14.859999656677246,0.047844,14.91,,8.04,-4.69,0.078162,,25.747,0.036846,,
,V8_72h,23.006000518798828,,,,14.272000312805176,,,,,,,,,,,
,V8_72h,22.989999771118164,,,,14.22700023651123,,,,,,,,,,,
,V8_72h,23.004999160766602,0.008963,23.00,,14.071000099182129,0.11,14.19,,8.81,-3.92,0.11,,15.088,0.049905,,
,V9_PMA,28.589000701904297,,,,16.83799934387207,,,,,,,,,,,
,V9_PMA,28.343000411987305,,,,16.738000869750977,,,,,,,,,,,
,V9_PMA,28.48699951171875,0.12,28.47,,16.820999145507813,0.053506,16.80,,11.67,-1.05,0.13,,2.073,0.063489,,
,V9_SEB,24.163999557495117,,,,16.388999938964844,,,,,,,,,,,
,V9_SEB,24.277999877929688,,,,15.923999786376953,,,,,,,,,,,
,V9_SEB,24.200000762939453,0.058275,24.21,,16.405000686645508,0.27,16.24,,7.97,-4.75,0.28,,26.927,0.13,,
,V9_72h,29.031999588012695,,,,17.948999404907227,,,,,,,,,,,
,V9_72h,28.816999435424805,,,,17.944000244140625,,,,,,,,,,,
,V9_72h,29.179000854492188,0.18,29.01,,17.992000579833984,0.026389,17.96,,11.05,-1.68,0.18,,3.200,0.086722,,
,V10_PMA,30.097000122070313,,,,19.680000305175781,,,,,,,,,,,
,V10_PMA,29.641000747680664,,,,19.75200080871582,,,,,,,,,,,
,V10_PMA,30.246999740600586,0.32,30.00,,19.819000244140625,0.069515,19.75,,10.24,-2.48,0.32,,5.583,0.15,,
,V10_SEB,25.60099983215332,,,,15.680000305175781,,,,,,,,,,,
,V10_SEB,25.554000854492187,,,,15.696999549865723,,,,,,,,,,,
,V10_SEB,25.673000335693359,0.059936,25.61,,15.729000091552734,0.02488,15.70,,9.91,-2.82,0.064895,,7.053,0.030592,,
,V10_72h,23.993999481201172,,,,15.557999610900879,,,,,,,,,,,
,V10_72h,23.947999954223633,,,,15.628000259399414,,,,,,,,,,,
,V10_72h,23.952999114990234,0.025239,23.96,,15.546999931335449,0.043936,15.58,,8.39,-4.34,0.050669,,20.229,0.023886,,
,V11_PMA,26.340999603271484,,,,15.906999588012695,,,,,,,,,,,
,V11_PMA,26.597000122070313,,,,15.85099983215332,,,,,,,,,,,
,V11_PMA,26.329000473022461,0.15,26.42,,15.859999656677246,0.030072,15.87,,10.55,-2.18,0.15,,4.519,0.072758,,
,V11_SEB,24.743000030517578,,,,15.253999710083008,,,,,,,,,,,
,V11_SEB,24.805000305175781,,,,15.25100040435791,,,,,,,,,,,
,V11_SEB,24.743999481201172,0.035511,24.76,,15.253999710083008,0.001732,15.25,,9.51,-3.21,0.035553,,9.283,0.01676,,
,V11_72h,23.680000305175781,,,,14.444999694824219,,,,,,,,,,,
,V11_72h,23.474000930786133,,,,14.814000129699707,,,,,,,,,,,
,V11_72h,23.518999099731445,0.11,23.56,,14.420999526977539,0.22,14.56,,9.00,-3.73,0.25,,13.251,0.12,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
