,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,,
,,IL17F,,,,B2mg,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,15.480999946594238,,,,,,,,,,,
,Kalibraator,26.562999725341797,,,,15.559000015258789,,,,,,,,,,,
,,26.604999542236328,0.029698,26.58,,15.569999694824219,0.048521,15.54,,11.05,0.00,0.056889,,1.000,0.030408,,
,,,,,,,,,,,,,,,,,
,C1_PMA,27.188999176025391,,,,14.89900016784668,,,,,,,,,,,
,C1_PMA,26.521999359130859,,,,14.781000137329102,,,,,,,,,,,
,C1_PMA,26.593000411987305,0.37,26.77,,14.907999992370605,0.070868,14.86,,11.91,0.86,0.37,,0.552,0.18,,
,C1_SEB,,,,,14.199000358581543,,,,,,,,,,,
,C1_SEB,20.079999923706055,,,,14.520000457763672,,,,,,,,,,,
,C1_SEB,20.027000427246094,0.037476,20.05,,14.506999969482422,0.18,14.41,,5.64,-5.40,0.19,,42.297,0.099163,,
,C1_72h,35.863998413085938,,,,16.781000137329102,,,,,,,,,,,
,C1_72h,37.307998657226563,,,,16.791999816894531,,,,,,,,,,,
,C1_72h,Undetermined,1.02,36.59,,16.778999328613281,0.007,16.78,,19.80,8.75,1.02,,0.002315,0.55,,
,C2_PMA,25.936000823974609,,,,17.610000610351563,,,,,,,,,,,
,C2_PMA,25.882999420166016,,,,17.600000381469727,,,,,,,,,,,
,C2_PMA,25.847000122070313,0.04477,25.89,,17.707000732421875,0.059102,17.64,,8.25,-2.80,0.074144,,6.953,0.034952,,
,C2_SEB,20.511999130249023,,,,14.324999809265137,,,,,,,,,,,
,C2_SEB,20.440000534057617,,,,14.182999610900879,,,,,,,,,,,
,C2_SEB,20.221000671386719,0.15,20.39,,14.211000442504883,0.075215,14.24,,6.15,-4.90,0.17,,29.774,0.079761,,
,C2_72h,Undetermined,,,,17.267000198364258,,,,,,,,,,,
,C2_72h,37.193000793457031,,,,17.283000946044922,,,,,,,,,,,
,C2_72h,Undetermined,#DIV/0!,37.19,,17.264999389648438,0.009866,17.27,,19.92,8.87,#DIV/0!,,0.002131,#DIV/0!,,
,C3_PMA,26.430999755859375,,,,16.948999404907227,,,,,,,,,,,
,C3_PMA,26.48699951171875,,,,16.924999237060547,,,,,,,,,,,
,C3_PMA,25.951000213623047,0.29,26.29,,16.983999252319336,0.02967,16.95,,9.34,-1.71,0.30,,3.272,0.14,,
,C3_SEB,21.399999618530273,,,,14.682999610900879,,,,,,,,,,,
,C3_SEB,,,,,14.746999740600586,,,,,,,,,,,
,C3_SEB,21.246999740600586,0.11,21.32,,14.77400016784668,0.046737,14.73,,6.59,-4.46,0.12,,21.986,0.062994,,
,C3_72h,32.466999053955078,,,,17.749000549316406,,,,,,,,,,
,C3_72h,32.915000915527344,,,,17.802000045776367,,,,,,,,,,
,C3_72h,,0.32,32.69,,17.756999969482422,0.028571,17.77,,14.92,3.87,0.32,,0.068188,0.17,
,C4_PMA,,,,,15.480999946594238,,,,,,,,,,
,C4_PMA,26.562999725341797,,,,15.559000015258789,,,,,,,,,,
,C4_PMA,26.604999542236328,0.029698,26.58,,15.569999694824219,0.048521,15.54,,11.05,0.00,0.056889,,1.000,0.030408,
,C4_SEB,21.729999542236328,,,,13.746000289916992,,,,,,,,,,
,C4_SEB,21.371000289916992,,,,13.732999801635742,,,,,,,,,,
,C4_SEB,,0.25,21.55,,13.852999687194824,0.065851,13.78,,7.77,-3.27,0.26,,9.674,0.14,
,C4_72h,36.139999389648438,,,,14.734999656677246,,,,,,,,,,
,C4_72h,35.854999542236328,,,,14.711999893188477,,,,,,,,,,
