,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,,
,,OAS2,,,,B2mg,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,22.319999694824219,,,,14.984999656677246,,,,,,,,,,,
,Kalibraator,22.336999893188477,,,,14.845000267028809,,,,,,,,,,,
,,22.254999160766602,0.043279,22.30,,14.800999641418457,0.096083,14.88,,7.43,0.00,0.11,,1.000,0.049677,,
,,,,,,,,,,,,,,,,,
,V1_PMA,23.384000778198242,,,,16.426000595092773,,,,,,,,,,,
,V1_PMA,,,,,15.982999801635742,,,,,,,,,,,
,V1_PMA,23.285999298095703,0.069298,23.34,,16.39900016784668,0.25,16.27,,7.07,-0.36,0.26,,1.285,0.14,,
,V1_SEB,20.493000030517578,,,,14.675000190734863,,,,,,,,,,,
,V1_SEB,,,,,15.111000061035156,,,,,,,,,,,
,V1_SEB,19.996999740600586,0.35,20.24,,15.12399959564209,0.26,14.97,,5.27,-2.15,0.43,,4.444,0.23,,
,V1_72h,23.183000564575195,,,,17.183000564575195,,,,,,,,,,,
,V1_72h,23.146999359130859,,,,17.163000106811523,,,,,,,,,,,
,V1_72h,23.059000015258789,0.063791,23.13,,17.124000549316406,0.030006,17.16,,5.97,-1.45,0.070496,,2.740,0.033232,,
,V2_PMA,23.930000305175781,,,,16.527000427246094,,,,,,,,,,,
,V2_PMA,23.972999572753906,,,,16.534999847412109,,,,,,,,,,,
,V2_PMA,24.068000793457031,0.070614,23.99,,16.577999114990234,0.027428,16.55,,7.44,0.016667,0.075754,,0.989,0.035711,,
,V2_SEB,22.090000152587891,,,,16.558000564575195,,,,,,,,,,,
,V2_SEB,22.117000579833984,,,,16.51300048828125,,,,,,,,,,,
,V2_SEB,22.125,0.018339,22.11,,16.51099967956543,0.026577,16.53,,5.58,-1.84,0.032291,,3.589,0.015222,,
,V2_72h,22.927000045776367,,,,15.581000328063965,,,,,,,,,,,
,V2_72h,22.898000717163086,,,,15.083999633789063,,,,,,,,,,,
,V2_72h,22.85099983215332,0.038354,22.89,,15.404000282287598,0.25,15.36,,7.54,0.11,0.25,,0.927,0.12,,
,V3_PMA,24.739999771118164,,,,17.160999298095703,,,,,,,,,,,
,V3_PMA,24.607999801635742,,,,16.996999740600586,,,,,,,,,,,
,V3_PMA,24.693000793457031,0.066905,24.68,,17.006000518798828,0.092197,17.05,,7.63,0.20,0.11,,0.871,0.0537,,
,V3_SEB,21.742000579833984,,,,15.60200023651123,,,,,,,,,,,
,V3_SEB,,,,,15.583000183105469,,,,,,,,,,,
,V3_SEB,21.14900016784668,0.42,21.45,,15.628000259399414,0.022591,15.60,,5.84,-1.59,0.42,,3.002,0.22,,
,V3_72h,23.562999725341797,,,,16.302000045776367,,,,,,,,,,,
,V3_72h,23.680000305175781,,,,16.615999221801758,,,,,,,,,,,
,V3_72h,23.201000213623047,0.25,23.48,,16.367000579833984,0.17,16.43,,7.05,-0.37,0.30,,1.296,0.14,,
,V4_PMA,22.902999877929688,,,,15.154999732971191,,,,,,,,,,,
,V4_PMA,23.555000305175781,,,,15.123000144958496,,,,,,,,,,,
,V4_PMA,23.246999740600586,0.33,23.23,,,0.022627,15.14,,8.10,0.67,0.33,,0.629,0.16,,
,V4_SEB,,,,,15.034999847412109,,,,,,,,,,,
,V4_SEB,20.365999221801758,,,,14.88700008392334,,,,,,,,,,,
,V4_SEB,20.756000518798828,0.28,20.56,,14.954000473022461,0.07411,14.96,,5.60,-1.82,0.29,,3.542,0.15,,
,V4_72h,22.763999938964844,,,,14.548000335693359,,,,,,,,,,,
,V4_72h,22.934000015258789,,,,14.616999626159668,,,,,,,,,,,
,V4_72h,22.819999694824219,0.086633,22.84,,14.640999794006348,0.04828,14.60,,8.24,0.81,0.099178,,0.570,0.046753,,
,V5_PMA,25.395000457763672,,,,16.941999435424805,,,,,,,,,,,
,V5_PMA,25.524999618530273,,,,16.993000030517578,,,,,,,,,,,
,V5_PMA,25.538000106811523,0.079076,25.49,,17.076000213623047,0.067634,17.00,,8.48,1.06,0.10,,0.481,0.049052,,
,V5_SEB,21.149999618530273,,,,15.496999740600586,,,,,,,,,,,
,V5_SEB,21.146999359130859,,,,15.515999794006348,,,,,,,,,,,
,V5_SEB,21.072000503540039,0.044192,21.12,,15.491999626159668,0.012662,15.50,,5.62,-1.81,0.04597,,3.496,0.021671,,
,V5_72h,24.044000625610352,,,,16.674999237060547,,,,,,,,,,,
,V5_72h,24.238000869750977,,,,16.690999984741211,,,,,,,,,,,
,V5_72h,24.089000701904297,0.10,24.12,,16.676000595092773,0.008963,16.68,,7.44,0.016001,0.10,,0.989,0.048053,,
,V6_PMA,26.891000747680664,,,,17.648000717163086,,,,,,,,,,,
,V6_PMA,27.395999908447266,,,,17.618000030517578,,,,,,,,,,,
,V6_PMA,26.850000381469727,0.30,27.05,,17.582000732421875,0.033045,17.62,,9.43,2.00,0.31,,0.250,0.14,,
,V6_SEB,21.805000305175781,,,,14.892999649047852,,,,,,,,,,,
,V6_SEB,,,,,14.829999923706055,,,,,,,,,,,
,V6_SEB,23.881999969482422,1.47,22.84,,14.864999771118164,0.031565,14.86,,7.98,0.55,1.47,,0.681,0.79,,
,V6_72h,,,,,16.545000076293945,,,,,,,,,,,
,V6_72h,24.780000686645508,,,,16.555999755859375,,,,,,,,,,,
,V6_72h,24.261999130249023,0.37,24.52,,,0.007778,16.55,,7.97,0.54,0.37,,0.686,0.21,,
,V7_PMA,26.916999816894531,,,,17.350000381469727,,,,,,,,,,,
,V7_PMA,26.708999633789063,,,,17.312999725341797,,,,,,,,,,,
,V7_PMA,26.638999938964844,0.14,26.75,,17.228000640869141,0.062554,17.30,,9.46,2.03,0.16,,0.245,0.074268,,
,V7_SEB,21.101999282836914,,,,13.895000457763672,,,,,,,,,,,
,V7_SEB,21.197000503540039,,,,13.946999549865723,,,,,,,,,,,
,V7_SEB,21.187999725341797,0.052444,21.16,,13.942999839782715,0.028936,13.93,,7.23,-0.19,0.059897,,1.143,0.028236,,
,V7_72h,25.430999755859375,,,,16.951999664306641,,,,,,,,,,,
,V7_72h,25.658000946044922,,,,16.98699951171875,,,,,,,,,,,
,V7_72h,25.684000015258789,0.14,25.59,,16.986000061035156,0.019925,16.97,,8.62,1.19,0.14,,0.439,0.066276,,
,V8_PMA,24.940999984741211,,,,16.339000701904297,,,,,,,,,,,
,V8_PMA,24.906999588012695,,,,16.431999206542969,,,,,,,,,,,
,V8_PMA,24.966999053955078,0.030089,24.94,,16.552999496459961,0.11,16.44,,8.50,1.07,0.11,,0.476,0.052535,,
,V8_SEB,20.527000427246094,,,,14.925999641418457,,,,,,,,,,,
,V8_SEB,20.591999053955078,,,,14.953000068664551,,,,,,,,,,,
,V8_SEB,20.656999588012695,0.065,20.59,,14.859999656677246,0.047844,14.91,,5.68,-1.75,0.080709,,3.359,0.038047,,
,V8_72h,21.733999252319336,,,,14.272000312805176,,,,,,,,,,,
,V8_72h,21.562999725341797,,,,14.22700023651123,,,,,,,,,,,
,V8_72h,,0.12,21.65,,14.071000099182129,0.11,14.19,,7.46,0.0315,0.16,,0.978,0.08577,,
,V9_PMA,24.750999450683594,,,,16.83799934387207,,,,,,,,,,,
,V9_PMA,,,,,16.738000869750977,,,,,,,,,,,
,V9_PMA,25.360000610351563,0.43,25.06,,16.820999145507813,0.053506,16.80,,8.26,0.83,0.43,,0.563,0.23,,
,V9_SEB,22.635000228881836,,,,16.388999938964844,,,,,,,,,,,
,V9_SEB,22.49799919128418,,,,15.923999786376953,,,,,,,,,,,
,V9_SEB,22.017999649047852,0.32,22.38,,16.405000686645508,0.27,16.24,,6.14,-1.28,0.42,,2.433,0.20,,
,V9_72h,24.909999847412109,,,,17.948999404907227,,,,,,,,,,,
,V9_72h,24.919000625610352,,,,17.944000244140625,,,,,,,,,,,
,V9_72h,25.030000686645508,0.066836,24.95,,17.992000579833984,0.026389,17.96,,6.99,-0.44,0.071857,,1.353,0.033874,,
,V10_PMA,28.083000183105469,,,,19.680000305175781,,,,,,,,,,,
,V10_PMA,27.77400016784668,,,,19.75200080871582,,,,,,,,,,,
,V10_PMA,27.635000228881836,0.23,27.83,,19.819000244140625,0.069515,19.75,,8.08,0.65,0.24,,0.636,0.11,,
,V10_SEB,21.583999633789063,,,,15.680000305175781,,,,,,,,,,,
,V10_SEB,21.642999649047852,,,,15.696999549865723,,,,,,,,,,,
,V10_SEB,21.643999099731445,0.034356,21.62,,15.729000091552734,0.02488,15.70,,5.92,-1.51,0.042418,,2.839,0.019996,,
,V10_72h,23.881000518798828,,,,15.557999610900879,,,,,,,,,,,
,V10_72h,23.906000137329102,,,,15.628000259399414,,,,,,,,,,,
,V10_72h,24.030000686645508,0.079794,23.94,,15.546999931335449,0.043936,15.58,,8.36,0.93,0.09109,,0.523,0.04294,,
,V11_PMA,24.370000839233398,,,,15.906999588012695,,,,,,,,,,,
,V11_PMA,24.402999877929688,,,,15.85099983215332,,,,,,,,,,,
,V11_PMA,24.395999908447266,0.017387,24.39,,15.859999656677246,0.030072,15.87,,8.52,1.09,0.034737,,0.470,0.016375,,
,V11_SEB,20.792999267578125,,,,15.253999710083008,,,,,,,,,,,
,V11_SEB,20.726999282836914,,,,15.25100040435791,,,,,,,,,,,
,V11_SEB,20.878999710083008,0.076219,20.80,,15.253999710083008,0.001732,15.25,,5.55,-1.88,0.076239,,3.682,0.035939,,
,V11_72h,22.459999084472656,,,,14.444999694824219,,,,,,,,,,,
,V11_72h,22.294000625610352,,,,14.814000129699707,,,,,,,,,,,
,V11_72h,22.291999816894531,0.096422,22.35,,14.420999526977539,0.22,14.56,,7.79,0.36,0.24,,0.778,0.11,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
