,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,
,,PI3,,,,Bact,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,31.100000381469727,,,,17.930999755859375,,,,,,,,,,
,Kalibraator,33.605998992919922,,,,18.006000518798828,,,,,,,,,,
,,31.923999786376953,1.28,32.21,,17.895999908447266,0.056199,17.94,,14.27,0.00,1.28,,1.000,0.60,
,,,,,,,,,,,,,,,,
,P018_PMA,Undetermined,,,,19.851999282836914,,,,,,,,,,
,P018_PMA,Undetermined,,,,19.89900016784668,,,,,,,,,,
,P018_PMA,Undetermined,#DIV/0!,#DIV/0!,,19.915000915527344,0.032747,19.89,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,P018_SEB,Undetermined,,,,16.551000595092773,,,,,,,,,,
,P018_SEB,Undetermined,,,,16.024999618530273,,,,,,,,,,
,P018_SEB,Undetermined,#DIV/0!,#DIV/0!,,15.939999580383301,0.33,16.17,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,P018_72h,Undetermined,,,,18.068000793457031,,,,,,,,,,
,P018_72h,Undetermined,,,,18.084999084472656,,,,,,,,,,
,P018_72h,Undetermined,#DIV/0!,#DIV/0!,,18.082000732421875,0.009073,18.08,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,P019_PMA,Undetermined,,,,19.801000595092773,,,,,,,,,,
,P019_PMA,Undetermined,,,,19.805999755859375,,,,,,,,,,
,P019_PMA,Undetermined,#DIV/0!,#DIV/0!,,19.798000335693359,0.004041,19.80,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,P019_SEB,Undetermined,,,,14.541000366210938,,,,,,,,,,
,P019_SEB,Undetermined,,,,14.520999908447266,,,,,,,,,,
,P019_SEB,36.493000030517578,#DIV/0!,36.49,,14.545999526977539,0.013229,14.54,,21.96,7.69,#DIV/0!,,0.004838,#DIV/0!,
,P019_72h,Undetermined,,,,20.204999923706055,,,,,,,,,,
,P019_72h,Undetermined,,,,20.261999130249023,,,,,,,,,,
,P019_72h,Undetermined,#DIV/0!,#DIV/0!,,20.284999847412109,0.041186,20.25,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,P020_PMA,33.331001281738281,,,,18.385000228881836,,,,,,,,,,
,P020_PMA,33.756000518798828,,,,18.403999328613281,,,,,,,,,,
,P020_PMA,37.125,2.08,34.74,,18.391000747680664,0.009712,18.39,,16.34,2.08,2.08,,0.237,0.98,
,P020_SEB,32.673999786376953,,,,14.010000228881836,,,,,,,,,,
,P020_SEB,33.801998138427734,,,,14.02299976348877,,,,,,,,,,
,P020_SEB,34.230998992919922,0.80,33.57,,13.961000442504883,0.032695,14.00,,19.57,5.31,0.80,,0.025289,0.38,
,P020_72h,33.465000152587891,,,,16.783000946044922,,,,,,,,,,
,P020_72h,34.991001129150391,,,,16.729999542236328,,,,,,,,,,
