,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,,
,,PI3,,,,Bact,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,31.305000305175781,,,,18.396999359130859,,,,,,,,,,,
,Kalibraator,,,,,18.118000030517578,,,,,,,,,,,
,,30.934999465942383,0.26,31.12,,18.090999603271484,0.17,18.20,,12.92,0.00,0.31,,1.000,0.17,,
,,,,,,,,,,,,,,,,,
,V1_PMA,Undetermined,,,,18.259000778198242,,,,,,,,,,,
,V1_PMA,Undetermined,,,,18.482000350952148,,,,,,,,,,,
,V1_PMA,33.561000823974609,#DIV/0!,33.56,,18.288000106811523,0.12,18.34,,15.22,2.30,#DIV/0!,,0.203,#DIV/0!,,
,V1_SEB,32.701000213623047,,,,13.21399974822998,,,,,,,,,,,
,V1_SEB,37.280998229980469,,,,13.519000053405762,,,,,,,,,,,
,V1_SEB,32.362998962402344,2.75,34.11,,13.529999732971191,0.18,13.42,,20.69,7.78,2.75,,0.004562,1.30,,
,V1_72h,Undetermined,,,,17.13800048828125,,,,,,,,,,,
,V1_72h,Undetermined,,,,16.940999984741211,,,,,,,,,,,
,V1_72h,Undetermined,#DIV/0!,#DIV/0!,,17.072999954223633,0.10,17.05,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,V2_PMA,35.675998687744141,,,,17.75,,,,,,,,,,
,V2_PMA,Undetermined,,,,17.818000793457031,,,,,,,,,,
,V2_PMA,Undetermined,#DIV/0!,35.68,,17.830999374389648,0.043501,17.80,,17.88,4.96,#DIV/0!,,0.032166,#DIV/0!,
,V2_SEB,31.961999893188477,,,,15.706000328063965,,,,,,,,,,
,V2_SEB,Undetermined,,,,15.732999801635742,,,,,,,,,,
,V2_SEB,Undetermined,#DIV/0!,31.96,,15.708999633789063,0.014799,15.72,,16.25,3.33,#DIV/0!,,0.09958,#DIV/0!,
,V2_72h,Undetermined,,,,16.684999465942383,,,,,,,,,,
,V2_72h,Undetermined,,,,16.621000289916992,,,,,,,,,,
,V2_72h,Undetermined,#DIV/0!,#DIV/0!,,16.670999526977539,0.033645,16.66,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,V3_PMA,Undetermined,,,,18.197999954223633,,,,,,,,,,
,V3_PMA,Undetermined,,,,18.245000839233398,,,,,,,,,,
,V3_PMA,Undetermined,#DIV/0!,#DIV/0!,,18.23900032043457,0.02558,18.23,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,V3_SEB,33.654998779296875,,,,14.526000022888184,,,,,,,,,,
,V3_SEB,Undetermined,,,,14.602999687194824,,,,,,,,,,
,V3_SEB,32.509998321533203,0.81,33.08,,14.58899974822998,0.041016,14.57,,18.51,5.59,0.81,,0.020734,0.43,
,V3_72h,Undetermined,,,,16.952999114990234,,,,,,,,,,,
,V3_72h,33.612998962402344,,,,16.940000534057617,,,,,,,,,,,
