,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,,
,,PYCARD,,,,B2mg,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,30.617000579833984,,,,16.01099967956543,,,,,,,,,,,
,Kalibraator,30.948999404907227,,,,15.942000389099121,,,,,,,,,,,
,,30.316999435424805,0.32,30.63,,15.907999992370605,0.052482,15.95,,14.67,0.00,0.32,,1.000,0.15,,
,,,,,,,,,,,,,,,,,
,V1_PMA,31.059000015258789,,,,16.426000595092773,,,,,,,,,,,
,V1_PMA,,,,,15.982999801635742,,,,,,,,,,,
,V1_PMA,31.204000473022461,0.10,31.13,,16.39900016784668,0.25,16.27,,14.86,0.19,0.27,,0.878,0.14,,
,V1_SEB,23.694999694824219,,,,14.675000190734863,,,,,,,,,,,
,V1_SEB,23.195999145507813,,,,15.111000061035156,,,,,,,,,,,
,V1_SEB,23.240999221801758,0.28,23.38,,15.12399959564209,0.26,14.97,,8.41,-6.27,0.38,,76.994,0.18,,
,V1_72h,25.166999816894531,,,,17.183000564575195,,,,,,,,,,,
,V1_72h,25.152000427246094,,,,17.163000106811523,,,,,,,,,,,
,V1_72h,25.211000442504883,0.030665,25.18,,17.124000549316406,0.030006,17.16,,8.02,-6.65,0.042903,,100.706,0.020225,
,V2_PMA,28.575000762939453,,,,16.527000427246094,,,,,,,,,,
,V2_PMA,29.066999435424805,,,,16.534999847412109,,,,,,,,,,
,V2_PMA,28.849000930786133,0.25,28.83,,16.577999114990234,0.027428,16.55,,12.28,-2.39,0.25,,5.243,0.12,
,V2_SEB,25.313999176025391,,,,16.558000564575195,,,,,,,,,,
,V2_SEB,25.177000045776367,,,,16.51300048828125,,,,,,,,,,
,V2_SEB,25.169000625610352,0.081504,25.22,,16.51099967956543,0.026577,16.53,,8.69,-5.98,0.085728,,63.177,0.040412,
,V2_72h,22.979000091552734,,,,15.581000328063965,,,,,,,,,,
,V2_72h,23.132999420166016,,,,15.083999633789063,,,,,,,,,,
,V2_72h,23.135000228881836,0.089495,23.08,,15.404000282287598,0.25,15.36,,7.73,-6.95,0.27,,123.469,0.13,
,V3_PMA,31.684000015258789,,,,17.160999298095703,,,,,,,,,,
,V3_PMA,31.184999465942383,,,,16.996999740600586,,,,,,,,,,
,V3_PMA,,0.35,31.43,,17.006000518798828,0.092197,17.05,,14.38,-0.29,0.36,,1.226,0.19,
