,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,,
,,TIGIT2,,,,B2mg,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,25.163999557495117,,,,14.984999656677246,,,,,,,,,,,
,Kalibraator,25.257999420166016,,,,14.845000267028809,,,,,,,,,,,
,,25.235000610351563,0.049,25.22,,14.800999641418457,0.096083,14.88,,10.34,0.00,0.11,,1.000,0.050844,,
,,,,,,,,,,,,,,,,,
,V1_PMA,25.454000473022461,,,,16.426000595092773,,,,,,,,,,,
,V1_PMA,,,,,15.982999801635742,,,,,,,,,,,
,V1_PMA,25.638999938964844,0.13,25.55,,16.39900016784668,0.25,16.27,,9.28,-1.06,0.28,,2.092,0.15,,
,V1_SEB,22.739999771118164,,,,14.675000190734863,,,,,,,,,,,
,V1_SEB,22.993999481201172,,,,15.111000061035156,,,,,,,,,,,
,V1_SEB,,0.18,22.87,,15.12399959564209,0.26,14.97,,7.90,-2.45,0.31,,5.445,0.17,,
,V1_72h,26.009000778198242,,,,17.183000564575195,,,,,,,,,,,
,V1_72h,26.160999298095703,,,,17.163000106811523,,,,,,,,,,,
,V1_72h,26.023000717163086,0.084007,26.06,,17.124000549316406,0.030006,17.16,,8.91,-1.43,0.089205,,2.703,0.042052,
,V2_PMA,26.136999130249023,,,,16.527000427246094,,,,,,,,,,
,V2_PMA,26.045000076293945,,,,16.534999847412109,,,,,,,,,,
,V2_PMA,26.097999572753906,0.046177,26.09,,16.577999114990234,0.027428,16.55,,9.55,-0.80,0.053708,,1.735,0.025318,
,V2_SEB,24.51300048828125,,,,16.558000564575195,,,,,,,,,,
,V2_SEB,24.565000534057617,,,,16.51300048828125,,,,,,,,,,
,V2_SEB,24.378999710083008,0.095966,24.49,,16.51099967956543,0.026577,16.53,,7.96,-2.38,0.099578,,5.219,0.046941,
,V2_72h,24.763999938964844,,,,15.581000328063965,,,,,,,,,,
,V2_72h,24.709999084472656,,,,15.083999633789063,,,,,,,,,,
,V2_72h,24.148000717163086,0.34,24.54,,15.404000282287598,0.25,15.36,,9.18,-1.16,0.42,,2.231,0.20,
,V3_PMA,26.663000106811523,,,,17.160999298095703,,,,,,,,,,
,V3_PMA,26.617000579833984,,,,16.996999740600586,,,,,,,,,,
,V3_PMA,26.798999786376953,0.094636,26.69,,17.006000518798828,0.092197,17.05,,9.64,-0.70,0.13,,1.629,0.062283,
,V3_SEB,23.447999954223633,,,,15.60200023651123,,,,,,,,,,
,V3_SEB,23.46299934387207,,,,15.583000183105469,,,,,,,,,,
,V3_SEB,23.61199951171875,0.090666,23.51,,15.628000259399414,0.022591,15.60,,7.90,-2.44,0.093438,,5.421,0.044047,
,V3_72h,,,,,16.302000045776367,,,,,,,,,,,
,V3_72h,32.078998565673828,,,,16.615999221801758,,,,,,,,,,,
,V3_72h,30.134000778198242,1.38,31.11,,16.367000579833984,0.17,16.43,,14.68,4.34,1.39,,0.049509,0.74,,
,V4_PMA,24.003999710083008,,,,15.154999732971191,,,,,,,,,,,
,V4_PMA,24.225000381469727,,,,15.123000144958496,,,,,,,,,,,
,V4_PMA,24.572000503540039,0.29,24.27,,,0.022627,15.14,,9.13,-1.21,0.29,,2.320,0.14,,
,V4_SEB,22.927999496459961,,,,15.034999847412109,,,,,,,,,,,
,V4_SEB,22.982999801635742,,,,14.88700008392334,,,,,,,,,,,
,V4_SEB,23.339000701904297,0.22,23.08,,14.954000473022461,0.07411,14.96,,8.12,-2.22,0.24,,4.650,0.11,,
,V4_72h,25.461999893188477,,,,14.548000335693359,,,,,,,,,,,
,V4_72h,25.478000640869141,,,,14.616999626159668,,,,,,,,,,,
,V4_72h,25.452999114990234,0.012663,25.46,,14.640999794006348,0.04828,14.60,,10.86,0.52,0.049913,,0.697,0.023529,,
,V5_PMA,26.079000473022461,,,,16.941999435424805,,,,,,,,,,,
,V5_PMA,26.134000778198242,,,,16.993000030517578,,,,,,,,,,,
,V5_PMA,26.256000518798828,0.090589,26.16,,17.076000213623047,0.067634,17.00,,9.15,-1.19,0.11,,2.280,0.053293,,
,V5_SEB,24.084999084472656,,,,15.496999740600586,,,,,,,,,,,
,V5_SEB,24.044000625610352,,,,15.515999794006348,,,,,,,,,,,
,V5_SEB,24.055999755859375,0.021078,24.06,,15.491999626159668,0.012662,15.50,,8.56,-1.78,0.024589,,3.439,0.011592,,
,V5_72h,26.468000411987305,,,,16.674999237060547,,,,,,,,,,,
,V5_72h,26.579000473022461,,,,16.690999984741211,,,,,,,,,,,
