,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,,
,,AIM2,,,,Bact,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,22.385000228881836,,,,18.396999359130859,,,,,,,,,,,
,Kalibraator,22.398000717163086,,,,18.118000030517578,,,,,,,,,,,
,,22.455999374389648,0.037802,22.41,,18.090999603271484,0.17,18.20,,4.21,0.00,0.17,,1.000,0.081826,,
,,,,,,,,,,,,,,,,,
,V1_PMA,21.945999145507813,,,,18.259000778198242,,,,,,,,,,,
,V1_PMA,21.593000411987305,,,,18.482000350952148,,,,,,,,,,,
,V1_PMA,21.86400032043457,0.18,21.80,,18.288000106811523,0.12,18.34,,3.46,-0.75,0.22,,1.685,0.10,,
,V1_SEB,21.340999603271484,,,,13.21399974822998,,,,,,,,,,,
,V1_SEB,21.375,,,,13.519000053405762,,,,,,,,,,,
,V1_SEB,21.427999496459961,0.043844,21.38,,13.529999732971191,0.18,13.42,,7.96,3.75,0.18,,0.07436,0.087037,,
,V1_72h,25.58799934387207,,,,17.13800048828125,,,,,,,,,,,
,V1_72h,25.488000869750977,,,,16.940999984741211,,,,,,,,,,,
,V1_72h,25.788000106811523,0.15,25.62,,17.072999954223633,0.10,17.05,,8.57,4.36,0.18,,0.048709,0.086165,
,V2_PMA,23.398000717163086,,,,17.75,,,,,,,,,,
,V2_PMA,23.485000610351563,,,,17.818000793457031,,,,,,,,,,
,V2_PMA,23.506000518798828,0.057262,23.46,,17.830999374389648,0.043501,17.80,,5.66,1.45,0.071912,,0.365,0.0339,
,V2_SEB,23.875999450683594,,,,15.706000328063965,,,,,,,,,,
,V2_SEB,23.999000549316406,,,,15.732999801635742,,,,,,,,,,
,V2_SEB,23.972000122070313,0.064646,23.95,,15.708999633789063,0.014799,15.72,,8.23,4.02,0.066318,,0.061554,0.031263,
,V2_72h,25.21299934387207,,,,16.684999465942383,,,,,,,,,,
,V2_72h,25.437000274658203,,,,16.621000289916992,,,,,,,,,,
,V2_72h,25.12700080871582,0.16,25.26,,16.670999526977539,0.033645,16.66,,8.60,4.39,0.16,,0.047729,0.077091,
,V3_PMA,23.992000579833984,,,,18.197999954223633,,,,,,,,,,
,V3_PMA,23.954999923706055,,,,18.245000839233398,,,,,,,,,,
,V3_PMA,23.923999786376953,0.034044,23.96,,18.23900032043457,0.02558,18.23,,5.73,1.52,0.042584,,0.349,0.020074,
,V3_SEB,22.676000595092773,,,,14.526000022888184,,,,,,,,,,
,V3_SEB,22.656999588012695,,,,14.602999687194824,,,,,,,,,,
,V3_SEB,22.554000854492188,0.065643,22.63,,14.58899974822998,0.041016,14.57,,8.06,3.85,0.077403,,0.069573,0.036488,
,V3_72h,26.334999084472656,,,,16.952999114990234,,,,,,,,,,,
,V3_72h,26.535999298095703,,,,16.940000534057617,,,,,,,,,,,
,V3_72h,26.461999893188477,0.10,26.44,,16.961000442504883,0.010599,16.95,,9.49,5.28,0.10,,0.025702,0.048182,,
,V4_PMA,22.12700080871582,,,,17.145000457763672,,,,,,,,,,,
,V4_PMA,22.131999969482422,,,,17.46299934387207,,,,,,,,,,,
,V4_PMA,,0.003535,22.13,,17.156999588012695,0.18,17.25,,4.87,0.66,0.18,,0.631,0.096357,,
,V4_SEB,22.375999450683594,,,,14.753999710083008,,,,,,,,,,,
,V4_SEB,22.601999282836914,,,,14.25100040435791,,,,,,,,,,,
,V4_SEB,22.278999328613281,0.17,22.42,,14.230999946594238,0.30,14.41,,8.01,3.80,0.34,,0.071993,0.16,,
,V4_72h,25.201999664306641,,,,15.118000030517578,,,,,,,,,,,
,V4_72h,25.03700065612793,,,,15.220000267028809,,,,,,,,,,,
,V4_72h,25.472999572753906,0.22,25.24,,15.281000137329102,0.082355,15.21,,10.03,5.82,0.24,,0.017701,0.11,,
,V5_PMA,24.743999481201172,,,,19.333999633789063,,,,,,,,,,,
,V5_PMA,24.742000579833984,,,,18.739999771118164,,,,,,,,,,,
,V5_PMA,24.854999542236328,0.064671,24.78,,19.406999588012695,0.37,19.16,,5.62,1.41,0.37,,0.377,0.18,,
,V5_SEB,22.974000930786133,,,,14.637999534606934,,,,,,,,,,,
,V5_SEB,22.922000885009766,,,,14.60200023651123,,,,,,,,,,,
,V5_SEB,23.006999969482422,0.042852,22.97,,14.607000350952148,0.019502,14.62,,8.35,4.14,0.047081,,0.056681,0.022194,,
,V5_72h,25.798999786376953,,,,17.23699951171875,,,,,,,,,,,
