,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,
,,CTLA4,,,,Bact,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,23.225000381469727,,,,18.396999359130859,,,,,,,,,,
,Kalibraator,23.273000717163086,,,,18.118000030517578,,,,,,,,,,
,,23.259000778198242,0.024685,23.25,,18.090999603271484,0.17,18.20,,5.05,0.00,0.17,,1.000,0.080706,
,,,,,,,,,,,,,,,,
,P1_PMA,21.910999298095703,,,,18.51099967956543,,,,,,,,,,
,P1_PMA,21.865999221801758,,,,18.461000442504883,,,,,,,,,,
,P1_PMA,21.822999954223633,0.044003,21.87,,18.475000381469727,0.025794,18.48,,3.38,-1.67,0.051006,,3.173,0.024044,
,P1_SEB,18.687000274658203,,,,14.451999664306641,,,,,,,,,,
,P1_SEB,18.694000244140625,,,,14.39900016784668,,,,,,,,,,
,P1_SEB,18.583000183105469,0.062164,18.65,,14.472999572753906,0.038135,14.44,,4.21,-0.84,0.072929,,1.786,0.034379,
,P1_72h,26.437000274658203,,,,15.548000335693359,,,,,,,,,,
,P1_72h,26.304000854492188,,,,15.51099967956543,,,,,,,,,,
,P1_72h,26.327999114990234,0.070883,26.36,,15.553999900817871,0.023288,15.54,,10.82,5.77,0.07461,,0.018347,0.035172,
,P2_PMA,22.940000534057617,,,,18.812999725341797,,,,,,,,,,
,P2_PMA,22.96299934387207,,,,18.915000915527344,,,,,,,,,,
,P2_PMA,22.954000473022461,0.01159,22.95,,18.903999328613281,0.055985,18.88,,4.08,-0.98,0.057172,,1.966,0.026951,
,P2_SEB,18.499000549316406,,,,13.121999740600586,,,,,,,,,,
,P2_SEB,18.670999526977539,,,,13.060000419616699,,,,,,,,,,
,P2_SEB,18.527000427246094,0.092289,18.57,,13.081999778747559,0.031432,13.09,,5.48,0.43,0.097495,,0.744,0.045959,
,P2_72h,26.871000289916992,,,,16.941999435424805,,,,,,,,,,
,P2_72h,26.718999862670898,,,,16.958000183105469,,,,,,,,,,
,P2_72h,26.777999877929688,0.076631,26.79,,16.857000350952148,0.054286,16.92,,9.87,4.82,0.093911,,0.035403,0.04427,
,P3_PMA,26.798000335693359,,,,20.951000213623047,,,,,,,,,,
,P3_PMA,26.795000076293945,,,,20.91200065612793,,,,,,,,,,
,P3_PMA,26.799999237060547,0.002516,26.80,,21.020000457763672,0.05469,20.96,,5.84,0.79,0.054748,,0.580,0.025808,
,P3_SEB,21.954999923706055,,,,14.52299976348877,,,,,,,,,,
,P3_SEB,22.018999099731445,,,,14.588000297546387,,,,,,,,,,
,P3_SEB,22.042999267578125,0.04549,22.01,,14.607999801635742,0.044441,14.57,,7.43,2.38,0.063595,,0.192,0.029979,
