,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,,
,,CTLA4,,,,Bact,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,23.225000381469727,,,,18.396999359130859,,,,,,,,,,,
,Kalibraator,23.273000717163086,,,,18.118000030517578,,,,,,,,,,,
,,23.259000778198242,0.024685,23.25,,18.090999603271484,0.17,18.20,,5.05,0.00,0.17,,1.000,0.080706,,
,,,,,,,,,,,,,,,,,
,V1_PMA,21.948999404907227,,,,18.259000778198242,,,,,,,,,,,
,V1_PMA,21.652000427246094,,,,18.482000350952148,,,,,,,,,,,
,V1_PMA,21.989999771118164,0.18,21.86,,18.288000106811523,0.12,18.34,,3.52,-1.53,0.22,,2.887,0.10,,
,V1_SEB,18.916000366210938,,,,13.21399974822998,,,,,,,,,,,
,V1_SEB,18.910999298095703,,,,13.519000053405762,,,,,,,,,,,
,V1_SEB,18.607999801635742,0.18,18.81,,13.529999732971191,0.18,13.42,,5.39,0.34,0.25,,0.790,0.12,,
,V1_72h,27.027000427246094,,,,17.13800048828125,,,,,,,,,,,
,V1_72h,27.288000106811523,,,,16.940999984741211,,,,,,,,,,,
,V1_72h,27.072999954223633,0.14,27.13,,17.072999954223633,0.10,17.05,,10.08,5.03,0.17,,0.030642,0.080948,
,V2_PMA,24.715999603271484,,,,17.75,,,,,,,,,,
,V2_PMA,25.136999130249023,,,,17.818000793457031,,,,,,,,,,
,V2_PMA,25.079999923706055,0.23,24.98,,17.830999374389648,0.043501,17.80,,7.18,2.13,0.23,,0.229,0.11,
,V2_SEB,22.236000061035156,,,,15.706000328063965,,,,,,,,,,
,V2_SEB,22.25,,,,15.732999801635742,,,,,,,,,,
,V2_SEB,22.309000015258789,0.038743,22.27,,15.708999633789063,0.014799,15.72,,6.55,1.50,0.041473,,0.354,0.01955,
,V2_72h,27.91200065612793,,,,16.684999465942383,,,,,,,,,,
,V2_72h,28.239999771118164,,,,16.621000289916992,,,,,,,,,,
,V2_72h,28.284000396728516,0.20,28.15,,16.670999526977539,0.033645,16.66,,11.49,6.44,0.21,,0.01155,0.097124,
,V3_PMA,23.582000732421875,,,,18.197999954223633,,,,,,,,,,
,V3_PMA,23.593000411987305,,,,18.245000839233398,,,,,,,,,,
,V3_PMA,23.535999298095703,0.030239,23.57,,18.23900032043457,0.02558,18.23,,5.34,0.29,0.039607,,0.816,0.018671,
,V3_SEB,19.813999176025391,,,,14.526000022888184,,,,,,,,,,
,V3_SEB,19.815999984741211,,,,14.602999687194824,,,,,,,,,,
,V3_SEB,19.811000823974609,0.002516,19.81,,14.58899974822998,0.041016,14.57,,5.24,0.19,0.041093,,0.876,0.019372,
