,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,
,,EOMES,,,,Bact,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,24.545999526977539,,,,18.396999359130859,,,,,,,,,,
,Kalibraator,24.639999389648438,,,,18.118000030517578,,,,,,,,,,
,,24.636999130249023,0.053426,24.61,,18.090999603271484,0.17,18.20,,6.41,0.00,0.18,,1.000,0.083739,
,,,,,,,,,,,,,,,,
,P1_PMA,25.516000747680664,,,,18.51099967956543,,,,,,,,,,
,P1_PMA,25.452999114990234,,,,18.461000442504883,,,,,,,,,,
,P1_PMA,25.371999740600586,0.072188,25.45,,18.475000381469727,0.025794,18.48,,6.96,0.56,0.076658,,0.679,0.036137,
,P1_SEB,23.954000473022461,,,,14.451999664306641,,,,,,,,,,
,P1_SEB,23.926000595092773,,,,14.39900016784668,,,,,,,,,,
,P1_SEB,23.983999252319336,0.029005,23.95,,14.472999572753906,0.038135,14.44,,9.51,3.11,0.047912,,0.116,0.022586,
,P1_72h,24.218000411987305,,,,15.548000335693359,,,,,,,,,,
,P1_72h,24.297000885009766,,,,15.51099967956543,,,,,,,,,,
,P1_72h,24.201999664306641,0.050863,24.24,,15.553999900817871,0.023288,15.54,,8.70,2.30,0.055941,,0.204,0.026371,
,P2_PMA,23.641000747680664,,,,18.812999725341797,,,,,,,,,,
,P2_PMA,23.593000411987305,,,,18.915000915527344,,,,,,,,,,
,P2_PMA,23.687000274658203,0.047003,23.64,,18.903999328613281,0.055985,18.88,,4.76,-1.64,0.073101,,3.122,0.03446,
,P2_SEB,20.591999053955078,,,,13.121999740600586,,,,,,,,,,
,P2_SEB,20.646999359130859,,,,13.060000419616699,,,,,,,,,,
,P2_SEB,20.599000930786133,0.029939,20.61,,13.081999778747559,0.031432,13.09,,7.52,1.12,0.043409,,0.460,0.020463,
,P2_72h,23.01099967956543,,,,16.941999435424805,,,,,,,,,,
,P2_72h,23.006000518798828,,,,16.958000183105469,,,,,,,,,,
,P2_72h,22.988000869750977,0.012096,23.00,,16.857000350952148,0.054286,16.92,,6.08,-0.32,0.055617,,1.251,0.026218,
,P3_PMA,29.256999969482422,,,,20.951000213623047,,,,,,,,,,
,P3_PMA,29.440000534057617,,,,20.91200065612793,,,,,,,,,,
,P3_PMA,,0.13,29.35,,21.020000457763672,0.05469,20.96,,8.39,1.98,0.14,,0.253,0.075092,
,P3_SEB,26.208999633789063,,,,14.52299976348877,,,,,,,,,,
,P3_SEB,26.090999603271484,,,,14.588000297546387,,,,,,,,,,
,P3_SEB,26.229999542236328,0.074929,26.18,,14.607999801635742,0.044441,14.57,,11.60,5.20,0.087117,,0.027242,0.041067,
,P3_72h,28.604999542236328,,,,15.939000129699707,,,,,,,,,,
,P3_72h,28.672000885009766,,,,15.756999969482422,,,,,,,,,,
,P3_72h,28.909999847412109,0.16,28.73,,15.77400016784668,0.10,15.82,,12.91,6.50,0.19,,0.011049,0.089193,
,P4_PMA,24.023000717163086,,,,18.517000198364258,,,,,,,,,,
,P4_PMA,24.156000137329102,,,,18.523000717163086,,,,,,,,,,
