,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,,
,,EOMES,,,,Bact,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,24.545999526977539,,,,18.396999359130859,,,,,,,,,,,
,Kalibraator,24.639999389648438,,,,18.118000030517578,,,,,,,,,,,
,,24.636999130249023,0.053426,24.61,,18.090999603271484,0.17,18.20,,6.41,0.00,0.18,,1.000,0.083739,,
,,,,,,,,,,,,,,,,,
,V1_PMA,25.531000137329102,,,,18.259000778198242,,,,,,,,,,,
,V1_PMA,25.200000762939453,,,,18.482000350952148,,,,,,,,,,,
,V1_PMA,25.378000259399414,0.17,25.37,,18.288000106811523,0.12,18.34,,7.03,0.62,0.21,,0.650,0.096774,,
,V1_SEB,21.179000854492188,,,,13.21399974822998,,,,,,,,,,,
,V1_SEB,21.518999099731445,,,,13.519000053405762,,,,,,,,,,,
,V1_SEB,21.03700065612793,0.25,21.25,,13.529999732971191,0.18,13.42,,7.82,1.42,0.31,,0.374,0.14,,
,V1_72h,24.13800048828125,,,,17.13800048828125,,,,,,,,,,,
,V1_72h,24.048999786376953,,,,16.940999984741211,,,,,,,,,,,
,V1_72h,24.187999725341797,0.070406,24.12,,17.072999954223633,0.10,17.05,,7.07,0.67,0.12,,0.629,0.057799,
,V2_PMA,25.020000457763672,,,,17.75,,,,,,,,,,
,V2_PMA,24.99799919128418,,,,17.818000793457031,,,,,,,,,,
,V2_PMA,25.187000274658203,0.10,25.07,,17.830999374389648,0.043501,17.80,,7.27,0.86,0.11,,0.550,0.052862,
,V2_SEB,21.670999526977539,,,,15.706000328063965,,,,,,,,,,
,V2_SEB,21.642999649047852,,,,15.732999801635742,,,,,,,,,,
,V2_SEB,21.724000930786133,0.041139,21.68,,15.708999633789063,0.014799,15.72,,5.96,-0.44,0.043719,,1.359,0.02061,
,V2_72h,22.819000244140625,,,,16.684999465942383,,,,,,,,,,
,V2_72h,22.797000885009766,,,,16.621000289916992,,,,,,,,,,
,V2_72h,22.756000518798828,0.031974,22.79,,16.670999526977539,0.033645,16.66,,6.13,-0.27,0.046414,,1.209,0.02188,
,V3_PMA,25.216999053955078,,,,18.197999954223633,,,,,,,,,,
,V3_PMA,25.645000457763672,,,,18.245000839233398,,,,,,,,,,
,V3_PMA,25.455999374389648,0.21,25.44,,18.23900032043457,0.02558,18.23,,7.21,0.81,0.22,,0.572,0.10,
,V3_SEB,21.066999435424805,,,,14.526000022888184,,,,,,,,,,
,V3_SEB,21.073999404907227,,,,14.602999687194824,,,,,,,,,,
,V3_SEB,20.989999771118164,0.046608,21.04,,14.58899974822998,0.041016,14.57,,6.47,0.065333,0.062086,,0.956,0.029267,
,V3_72h,23.690999984741211,,,,16.952999114990234,,,,,,,,,,,
,V3_72h,23.795000076293945,,,,16.940000534057617,,,,,,,,,,,
,V3_72h,23.591999053955078,0.10,23.69,,16.961000442504883,0.010599,16.95,,6.74,0.34,0.10,,0.792,0.048113,,
,V4_PMA,22.749000549316406,,,,17.145000457763672,,,,,,,,,,,
,V4_PMA,22.726999282836914,,,,17.46299934387207,,,,,,,,,,,
