,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,,
,,FOXP3,,,,Bact,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,26.275999069213867,,,,18.396999359130859,,,,,,,,,,,
,Kalibraator,26.584999084472656,,,,18.118000030517578,,,,,,,,,,,
,,26.360000610351563,0.16,26.41,,18.090999603271484,0.17,18.20,,8.20,0.00,0.23,,1.000,0.11,,
,,,,,,,,,,,,,,,,,
,V1_PMA,,,,,18.259000778198242,,,,,,,,,,,
,V1_PMA,24.823999404907227,,,,18.482000350952148,,,,,,,,,,,
,V1_PMA,24.89900016784668,0.053034,24.86,,18.288000106811523,0.12,18.34,,6.52,-1.69,0.13,,3.219,0.070738,,
,V1_SEB,20.375,,,,13.21399974822998,,,,,,,,,,,
,V1_SEB,20.37299919128418,,,,13.519000053405762,,,,,,,,,,,
,V1_SEB,20.138999938964844,0.14,20.30,,13.529999732971191,0.18,13.42,,6.87,-1.33,0.22,,2.515,0.11,,
,V1_72h,27.416000366210937,,,,17.13800048828125,,,,,,,,,,,
,V1_72h,27.431999206542969,,,,16.940999984741211,,,,,,,,,,,
,V1_72h,27.63599967956543,0.12,27.49,,17.072999954223633,0.10,17.05,,10.44,2.24,0.16,,0.212,0.074717,
,V2_PMA,28.808000564575195,,,,17.75,,,,,,,,,,
,V2_PMA,28.781000137329102,,,,17.818000793457031,,,,,,,,,,
,V2_PMA,28.5,0.17,28.70,,17.830999374389648,0.043501,17.80,,10.90,2.69,0.18,,0.155,0.082979,
,V2_SEB,24.107999801635742,,,,15.706000328063965,,,,,,,,,,
,V2_SEB,24.784999847412109,,,,15.732999801635742,,,,,,,,,,
,V2_SEB,24.121000289916992,0.39,24.34,,15.708999633789063,0.014799,15.72,,8.62,0.42,0.39,,0.749,0.18,
,V2_72h,29.826999664306641,,,,16.684999465942383,,,,,,,,,,
,V2_72h,30.371999740600586,,,,16.621000289916992,,,,,,,,,,
,V2_72h,29.881000518798828,0.30,30.03,,16.670999526977539,0.033645,16.66,,13.37,5.16,0.30,,0.027918,0.14,
,V3_PMA,28.50200080871582,,,,18.197999954223633,,,,,,,,,,
,V3_PMA,28.298000335693359,,,,18.245000839233398,,,,,,,,,,
