,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,
,,IFIH1,,,,Bact,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,24.222000122070313,,,,17.930999755859375,,,,,,,,,,
,Kalibraator,23.447000503540039,,,,18.006000518798828,,,,,,,,,,
,,23.722999572753906,0.39,23.80,,17.895999908447266,0.056199,17.94,,5.85,0.00,0.40,,1.000,0.19,
,,,,,,,,,,,,,,,,
,P018_PMA,26.280000686645508,,,,19.851999282836914,,,,,,,,,,
,P018_PMA,26.416999816894531,,,,19.89900016784668,,,,,,,,,,
,P018_PMA,26.128000259399414,0.14,26.28,,19.915000915527344,0.032747,19.89,,6.39,0.53,0.15,,0.691,0.069875,
,P018_SEB,23.794000625610352,,,,16.551000595092773,,,,,,,,,,
,P018_SEB,23.746999740600586,,,,16.024999618530273,,,,,,,,,,
,P018_SEB,23.617000579833984,0.091686,23.72,,15.939999580383301,0.33,16.17,,7.55,1.69,0.34,,0.309,0.16,
,P018_72h,25.231000900268555,,,,18.068000793457031,,,,,,,,,,
,P018_72h,25.306999206542969,,,,18.084999084472656,,,,,,,,,,
,P018_72h,25.194000244140625,0.05761,25.24,,18.082000732421875,0.009073,18.08,,7.17,1.31,0.05832,,0.403,0.027492,
,P019_PMA,25.368999481201172,,,,19.801000595092773,,,,,,,,,,
,P019_PMA,25.228000640869141,,,,19.805999755859375,,,,,,,,,,
,P019_PMA,24.993999481201172,0.19,25.20,,19.798000335693359,0.004041,19.80,,5.40,-0.46,0.19,,1.373,0.08931,
,P019_SEB,22.290000915527344,,,,14.541000366210938,,,,,,,,,,
,P019_SEB,22.268999099731445,,,,14.520999908447266,,,,,,,,,,
,P019_SEB,22.280000686645508,0.010505,22.28,,14.545999526977539,0.013229,14.54,,7.74,1.89,0.016892,,0.270,0.007963,
,P019_72h,26.104999542236328,,,,20.204999923706055,,,,,,,,,,
,P019_72h,26.103000640869141,,,,20.261999130249023,,,,,,,,,,
,P019_72h,26.318000793457031,0.12,26.18,,20.284999847412109,0.041186,20.25,,5.92,0.071667,0.13,,0.952,0.061396,
,P020_PMA,25.552999496459961,,,,18.385000228881836,,,,,,,,,,
,P020_PMA,25.209999084472656,,,,18.403999328613281,,,,,,,,,,
,P020_PMA,25.003999710083008,0.28,25.26,,18.391000747680664,0.009712,18.39,,6.86,1.01,0.28,,0.497,0.13,
,P020_SEB,22.028999328613281,,,,14.010000228881836,,,,,,,,,,
,P020_SEB,21.971000671386719,,,,14.02299976348877,,,,,,,,,,
,P020_SEB,22.072999954223633,0.051159,22.02,,13.961000442504883,0.032695,14.00,,8.03,2.17,0.060715,,0.222,0.028621,
,P020_72h,23.364999771118164,,,,16.783000946044922,,,,,,,,,,
,P020_72h,23.298999786376953,,,,16.729999542236328,,,,,,,,,,
,P020_72h,23.423000335693359,0.062043,23.36,,16.88599967956543,0.079324,16.80,,6.56,0.71,0.10,,0.611,0.047473,
,P021_PMA,25.645000457763672,,,,19.350000381469727,,,,,,,,,,
,P021_PMA,25.548000335693359,,,,19.472000122070313,,,,,,,,,,
,P021_PMA,25.614999771118164,0.049662,25.60,,19.382999420166016,0.063106,19.40,,6.20,0.35,0.080304,,0.786,0.037855,
,P021_SEB,21.909000396728516,,,,14.725000381469727,,,,,,,,,,
,P021_SEB,21.809999465942383,,,,14.718999862670898,,,,,,,,,,
,P021_SEB,21.784000396728516,0.065957,21.83,,14.690999984741211,0.018148,14.71,,7.12,1.27,0.068408,,0.415,0.032248,
,P021_72h,23.558000564575195,,,,17.847000122070313,,,,,,,,,,
,P021_72h,23.663999557495117,,,,17.850000381469727,,,,,,,,,,
,P021_72h,23.534999847412109,0.068806,23.59,,17.861000061035156,0.007371,17.85,,5.73,-0.12,0.0692,,1.087,0.032621,
,P022_PMA,27.024999618530273,,,,20.25,,,,,,,,,,
,P022_PMA,27.402999877929688,,,,20.214000701904297,,,,,,,,,,
,P022_PMA,27.014999389648438,0.22,27.15,,20.357000350952148,0.07438,20.27,,6.87,1.02,0.23,,0.493,0.11,
,P022_SEB,21.944000244140625,,,,13.907999992370605,,,,,,,,,,
