,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,
,,IL17A,,,,Bact,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,24.079999923706055,,,,18.396999359130859,,,,,,,,,,
,Kalibraator,24.225000381469727,,,,18.118000030517578,,,,,,,,,,
,,24.173999786376953,0.073555,24.16,,18.090999603271484,0.17,18.20,,5.96,0.00,0.18,,1.000,0.087065,
,,,,,,,,,,,,,,,,
,C1_PMA,21.250999450683594,,,,17.101999282836914,,,,,,,,,,
,C1_PMA,20.931999206542969,,,,17.339000701904297,,,,,,,,,,
,C1_PMA,20.936000823974609,0.18,21.04,,17.093000411987305,0.14,17.18,,3.86,-2.10,0.23,,4.275,0.11,
,C1_SEB,20.468999862670898,,,,13.373000144958496,,,,,,,,,,
,C1_SEB,20.544000625610352,,,,13.406000137329102,,,,,,,,,,
,C1_SEB,20.476999282836914,0.041187,20.50,,13.387999534606934,0.016523,13.39,,7.11,1.15,0.044378,,0.451,0.02092,
,C1_72h,36.259998321533203,,,,17.433000564575195,,,,,,,,,,
,C1_72h,Undetermined,,,,17.545000076293945,,,,,,,,,,
,C1_72h,Undetermined,#DIV/0!,36.26,,17.465000152587891,0.057689,17.48,,18.78,12.82,#DIV/0!,,0.000138,#DIV/0!,
,C2_PMA,21.892999649047852,,,,19.768999099731445,,,,,,,,,,
,C2_PMA,21.829999923706055,,,,19.754999160766602,,,,,,,,,,
,C2_PMA,21.926000595092773,0.048775,21.88,,19.863000869750977,0.058732,19.80,,2.09,-3.87,0.076344,,14.625,0.035989,
,C2_SEB,21.107000350952148,,,,13.180000305175781,,,,,,,,,,
,C2_SEB,21.034000396728516,,,,13.170999526977539,,,,,,,,,,
,C2_SEB,21.070999145507813,0.036501,21.07,,13.211999893188477,0.021548,13.19,,7.88,1.93,0.042387,,0.263,0.019981,
,C2_72h,36.243000030517578,,,,18.559999465942383,,,,,,,,,,
,C2_72h,Undetermined,,,,18.466999053955078,,,,,,,,,,
,C2_72h,Undetermined,#DIV/0!,36.24,,18.492000579833984,0.048128,18.51,,17.74,11.78,#DIV/0!,,0.000285,#DIV/0!,
,C3_PMA,22.215000152587891,,,,18.902999877929688,,,,,,,,,,
,C3_PMA,22.100000381469727,,,,18.857999801635742,,,,,,,,,,
,C3_PMA,22.204999923706055,0.063705,22.17,,18.882999420166016,0.022546,18.88,,3.29,-2.67,0.067577,,6.345,0.031856,
,C3_SEB,21.791999816894531,,,,14.218999862670898,,,,,,,,,,
,C3_SEB,21.915000915527344,,,,14.288000106811523,,,,,,,,,,
,C3_SEB,21.916999816894531,0.071599,21.87,,14.173000335693359,0.057882,14.23,,7.65,1.69,0.092069,,0.310,0.043402,
,C3_72h,30.843999862670898,,,,18.017999649047852,,,,,,,,,,
,C3_72h,30.517000198364258,,,,17.898000717163086,,,,,,,,,,
,C3_72h,32.265998840332031,0.93,31.21,,17.607000350952148,0.21,17.84,,13.37,7.41,0.95,,0.005879,0.45,
,C4_PMA,21.177000045776367,,,,17.777000427246094,,,,,,,,,,
,C4_PMA,21.006999969482422,,,,17.715000152587891,,,,,,,,,,
,C4_PMA,21.051000595092773,0.088234,21.08,,17.694000244140625,0.043155,17.73,,3.35,-2.61,0.098223,,6.097,0.046303,
,C4_SEB,20.167999267578125,,,,12.704999923706055,,,,,,,,,,
,C4_SEB,20.205999374389648,,,,12.753999710083008,,,,,,,,,,
,C4_SEB,20.246999740600586,0.03951,20.21,,12.843000411987305,0.06996,12.77,,7.44,1.48,0.080345,,0.358,0.037875,
,C4_72h,Undetermined,,,,16.101999282836914,,,,,,,,,,
,C4_72h,38.863998413085937,,,,16.184000015258789,,,,,,,,,,
,C4_72h,32.985000610351563,4.16,35.92,,16.149999618530273,0.041199,16.15,,19.78,13.82,4.16,,0.000069,2.22,
,C5_PMA,23.395000457763672,,,,18.701000213623047,,,,,,,,,,
,C5_PMA,23.375999450683594,,,,18.485000610351562,,,,,,,,,,
,C5_PMA,23.378000259399414,0.010441,23.38,,18.677000045776367,0.12,18.62,,4.76,-1.20,0.12,,2.291,0.056026,
,C5_SEB,20.409000396728516,,,,13.284000396728516,,,,,,,,,,
,C5_SEB,20.496000289916992,,,,13.295999526977539,,,,,,,,,,
,C5_SEB,20.48699951171875,0.047843,20.46,,13.277000427246094,0.009609,13.29,,7.18,1.22,0.048799,,0.429,0.023004,
,C5_72h,Undetermined,,,,16.684000015258789,,,,,,,,,,
,C5_72h,36.666999816894531,,,,16.733999252319336,,,,,,,,,,
,C5_72h,32.950000762939453,2.63,34.81,,16.743999481201172,0.032145,16.72,,18.09,12.13,2.63,,0.000223,1.40,
,C6_PMA,19.205999374389648,,,,17.139999389648438,,,,,,,,,,
,C6_PMA,19.228000640869141,,,,17.215999603271484,,,,,,,,,,
,C6_PMA,19.226999282836914,0.012423,19.22,,17.200000762939453,0.040067,17.19,,2.03,-3.92,0.041949,,15.165,0.019775,
,C6_SEB,22.153999328613281,,,,14.118000030517578,,,,,,,,,,
,C6_SEB,22.148000717163086,,,,14.168000221252441,,,,,,,,,,
,C6_SEB,22.083000183105469,0.039374,22.13,,14.119999885559082,0.028308,14.14,,7.99,2.04,0.048494,,0.244,0.02286,
,C6_72h,38.374000549316406,,,,16.222999572753906,,,,,,,,,,
,C6_72h,33.814998626708984,,,,16.297000885009766,,,,,,,,,,
,C6_72h,Undetermined,3.22,36.09,,16.35099983215332,0.06426,16.29,,19.80,13.85,3.22,,0.000068,1.72,
,C7_PMA,27.96299934387207,,,,18.898000717163086,,,,,,,,,,
,C7_PMA,28.143999099731445,,,,18.820999145507813,,,,,,,,,,
,C7_PMA,28.145999908447266,0.11,28.08,,18.906000137329102,0.046937,18.88,,9.21,3.25,0.12,,0.105,0.054253,
,C7_SEB,20.430000305175781,,,,13.916999816894531,,,,,,,,,,
,C7_SEB,20.5,,,,14.046999931335449,,,,,,,,,,
,C7_SEB,20.555999755859375,0.063129,20.50,,13.986000061035156,0.065041,13.98,,6.51,0.55,0.09064,,0.681,0.042728,
,C7_72h,Undetermined,,,,16.184999465942383,,,,,,,,,,
,C7_72h,Undetermined,,,,16.159999847412109,,,,,,,,,,
,C7_72h,Undetermined,#DIV/0!,#DIV/0!,,16.232000350952148,0.036556,16.19,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,C8_PMA,19.520000457763672,,,,17.349000930786133,,,,,,,,,,
,C8_PMA,19.452999114990234,,,,17.431999206542969,,,,,,,,,,
,C8_PMA,19.510000228881836,0.036144,19.49,,17.402999877929688,0.042122,17.39,,2.10,-3.86,0.055504,,14.500,0.026165,
,C8_SEB,21.222999572753906,,,,14.152000427246094,,,,,,,,,,
,C8_SEB,21.238000869750977,,,,14.147000312805176,,,,,,,,,,
,C8_SEB,21.236000061035156,0.008145,21.23,,14.163999557495117,0.008736,14.15,,7.08,1.12,0.011944,,0.460,0.005631,
,C8_72h,32.4010009765625,,,,16.809999465942383,,,,,,,,,,
,C8_72h,37.076999664306641,,,,16.826000213623047,,,,,,,,,,
,C8_72h,Undetermined,3.31,34.74,,16.871999740600586,0.032187,16.84,,17.90,11.95,3.31,,0.000254,1.77,
,C9_PMA,21.929000854492188,,,,16.71299934387207,,,,,,,,,,
,C9_PMA,21.900999069213867,,,,17.016000747680664,,,,,,,,,,
,C9_PMA,22.004999160766602,0.053814,21.94,,16.979999542236328,0.17,16.90,,5.04,-0.92,0.17,,1.886,0.08205,
,C9_SEB,20.358999252319336,,,,13.541999816894531,,,,,,,,,,
,C9_SEB,20.065999984741211,,,,13.607000350952148,,,,,,,,,,
,C9_SEB,20.311000823974609,0.16,20.25,,13.578000068664551,0.032563,13.58,,6.67,0.71,0.16,,0.610,0.075655,
,C9_72h,33.430000305175781,,,,17.229000091552734,,,,,,,,,,
