,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,
,,IL17F,,,,Bact,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,17.777000427246094,,,,,,,,,,
,Kalibraator,26.562999725341797,,,,17.715000152587891,,,,,,,,,,
,,26.604999542236328,0.029698,26.58,,17.694000244140625,0.043155,17.73,,8.86,0.00,0.052386,,1.000,0.028002,
,,,,,,,,,,,,,,,,
,V1_PMA,25.87299919128418,,,,18.259000778198242,,,,,,,,,,
,V1_PMA,,,,,18.482000350952148,,,,,,,,,,
,V1_PMA,25.506999969482422,0.26,25.69,,18.288000106811523,0.12,18.34,,7.35,-1.51,0.29,,2.845,0.15,
,V1_SEB,23.506000518798828,,,,13.21399974822998,,,,,,,,,,
,V1_SEB,22.160999298095703,,,,13.519000053405762,,,,,,,,,,
,V1_SEB,,0.95,22.83,,13.529999732971191,0.18,13.42,,9.41,0.56,0.97,,0.680,0.52,
,V1_72h,Undetermined,,,,17.13800048828125,,,,,,,,,,
,V1_72h,36.784000396728516,,,,16.940999984741211,,,,,,,,,,
,V1_72h,Undetermined,#DIV/0!,36.78,,17.072999954223633,0.10,17.05,,19.73,10.88,#DIV/0!,,0.000531,#DIV/0!,
,V2_PMA,30.642999649047852,,,,17.75,,,,,,,,,,
,V2_PMA,30.940999984741211,,,,17.818000793457031,,,,,,,,,,
,V2_PMA,30.934999465942383,0.17,30.84,,17.830999374389648,0.043501,17.80,,13.04,4.18,0.18,,0.054991,0.082878,
,V2_SEB,24.288000106811523,,,,15.706000328063965,,,,,,,,,,
,V2_SEB,24.659999847412109,,,,15.732999801635742,,,,,,,,,,
,V2_SEB,24.309999465942383,0.21,24.42,,15.708999633789063,0.014799,15.72,,8.70,-0.15,0.21,,1.111,0.098636,
,V2_72h,Undetermined,,,,16.684999465942383,,,,,,,,,,
,V2_72h,Undetermined,,,,16.621000289916992,,,,,,,,,,
,V2_72h,Undetermined,#DIV/0!,#DIV/0!,,16.670999526977539,0.033645,16.66,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,V3_PMA,28.527999877929688,,,,18.197999954223633,,,,,,,,,,
,V3_PMA,28.902999877929688,,,,18.245000839233398,,,,,,,,,,
,V3_PMA,28.459999084472656,0.24,28.63,,18.23900032043457,0.02558,18.23,,10.40,1.55,0.24,,0.342,0.11,
,V3_SEB,21.579000473022461,,,,14.526000022888184,,,,,,,,,,
,V3_SEB,Undetermined,,,,14.602999687194824,,,,,,,,,,
,V3_SEB,21.11199951171875,0.33,21.35,,14.58899974822998,0.041016,14.57,,6.77,-2.08,0.33,,4.235,0.18,
,V3_72h,Undetermined,,,,16.952999114990234,,,,,,,,,,
,V3_72h,Undetermined,,,,16.940000534057617,,,,,,,,,,
,V3_72h,Undetermined,#DIV/0!,#DIV/0!,,16.961000442504883,0.010599,16.95,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,V4_PMA,36.758998870849609,,,,17.145000457763672,,,,,,,,,,
,V4_PMA,32.963001251220703,,,,17.46299934387207,,,,,,,,,,
,V4_PMA,,2.68,34.86,,17.156999588012695,0.18,17.25,,17.61,8.75,2.69,,0.002322,1.44,
,V4_SEB,,,,,14.753999710083008,,,,,,,,,,
,V4_SEB,22.391000747680664,,,,14.25100040435791,,,,,,,,,,
,V4_SEB,22.129999160766602,0.18,22.26,,14.230999946594238,0.30,14.41,,7.85,-1.01,0.35,,2.009,0.19,
,V4_72h,37.849998474121094,,,,15.118000030517578,,,,,,,,,,
,V4_72h,36.856998443603516,,,,15.220000267028809,,,,,,,,,,
,V4_72h,35.015998840332031,1.44,36.57,,15.281000137329102,0.082355,15.21,,21.37,12.51,1.44,,0.000171,0.68,
,V5_PMA,27.177999496459961,,,,19.333999633789063,,,,,,,,,,
,V5_PMA,27.141000747680664,,,,18.739999771118164,,,,,,,,,,
,V5_PMA,27.01099967956543,0.08771,27.11,,19.406999588012695,0.37,19.16,,7.95,-0.91,0.38,,1.873,0.18,
,V5_SEB,22.931999206542969,,,,14.637999534606934,,,,,,,,,,
,V5_SEB,22.420999526977539,,,,14.60200023651123,,,,,,,,,,
,V5_SEB,22.440000534057617,0.29,22.60,,14.607000350952148,0.019502,14.62,,7.98,-0.87,0.29,,1.832,0.14,
,V5_72h,Undetermined,,,,17.23699951171875,,,,,,,,,,
,V5_72h,Undetermined,,,,17.299999237060547,,,,,,,,,,
,V5_72h,Undetermined,#DIV/0!,#DIV/0!,,17.277000427246094,0.03188,17.27,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,V6_PMA,27.896999359130859,,,,19.724000930786133,,,,,,,,,,
,V6_PMA,28.054000854492187,,,,19.843999862670898,,,,,,,,,,
,V6_PMA,27.563999176025391,0.25,27.84,,19.870000839233398,0.07788,19.81,,8.03,-0.83,0.26,,1.777,0.12,
,V6_SEB,19.172000885009766,,,,12.51200008392334,,,,,,,,,,
,V6_SEB,,,,,,,,,,,,,,,
,V6_SEB,18.62299919128418,0.39,18.90,,12.732999801635742,0.16,12.62,,6.28,-2.58,0.42,,5.981,0.24,
,V6_72h,Undetermined,,,,17.481000900268555,,,,,,,,,,
,V6_72h,Undetermined,,,,17.933000564575195,,,,,,,,,,
,V6_72h,36.415000915527344,#DIV/0!,36.42,,17.746000289916992,0.23,17.72,,18.70,9.84,#DIV/0!,,0.001091,#DIV/0!,
,V7_PMA,26.232000350952148,,,,19.440000534057617,,,,,,,,,,
,V7_PMA,26.273000717163086,,,,19.465999603271484,,,,,,,,,,
