,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,
,,IL4,,,,Bact,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,29.356000900268555,,,,17.930999755859375,,,,,,,,,,
,Kalibraator,29.218000411987305,,,,18.006000518798828,,,,,,,,,,
,,29.37700080871582,0.086377,29.32,,17.895999908447266,0.056199,17.94,,11.37,0.00,0.10,,1.000,0.048578,
,,,,,,,,,,,,,,,,
,P018_PMA,30.004999160766602,,,,19.851999282836914,,,,,,,,,,
,P018_PMA,30.23900032043457,,,,19.89900016784668,,,,,,,,,,
,P018_PMA,29.5,0.38,29.91,,19.915000915527344,0.032747,19.89,,10.03,-1.35,0.38,,2.543,0.18,
,P018_SEB,27.225000381469727,,,,16.551000595092773,,,,,,,,,,
,P018_SEB,27.118000030517578,,,,16.024999618530273,,,,,,,,,,
,P018_SEB,27.048000335693359,0.089142,27.13,,15.939999580383301,0.33,16.17,,10.96,-0.41,0.34,,1.333,0.16,
,P018_72h,Undetermined,,,,18.068000793457031,,,,,,,,,,
,P018_72h,Undetermined,,,,18.084999084472656,,,,,,,,,,
,P018_72h,37.330001831054688,#DIV/0!,37.33,,18.082000732421875,0.009073,18.08,,19.25,7.88,#DIV/0!,,0.004248,#DIV/0!,
,P019_PMA,23.993999481201172,,,,19.801000595092773,,,,,,,,,,
,P019_PMA,23.950000762939453,,,,19.805999755859375,,,,,,,,,,
,P019_PMA,23.865999221801758,0.065034,23.94,,19.798000335693359,0.004041,19.80,,4.13,-7.24,0.065159,,150.923,0.030716,
,P019_SEB,24.555000305175781,,,,14.541000366210938,,,,,,,,,,
,P019_SEB,24.402000427246094,,,,14.520999908447266,,,,,,,,,,
,P019_SEB,24.476999282836914,0.076505,24.48,,14.545999526977539,0.013229,14.54,,9.94,-1.43,0.07764,,2.696,0.0366,
,P019_72h,Undetermined,,,,20.204999923706055,,,,,,,,,,
,P019_72h,Undetermined,,,,20.261999130249023,,,,,,,,,,
,P019_72h,Undetermined,#DIV/0!,#DIV/0!,,20.284999847412109,0.041186,20.25,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,P020_PMA,25.71299934387207,,,,18.385000228881836,,,,,,,,,,
,P020_PMA,25.833999633789063,,,,18.403999328613281,,,,,,,,,,
,P020_PMA,25.841999053955078,0.07228,25.80,,18.391000747680664,0.009712,18.39,,7.40,-3.97,0.072929,,15.667,0.034379,
,P020_SEB,26.222999572753906,,,,14.010000228881836,,,,,,,,,,
,P020_SEB,26.267000198364258,,,,14.02299976348877,,,,,,,,,,
,P020_SEB,26.344999313354492,0.061784,26.28,,13.961000442504883,0.032695,14.00,,12.28,0.91,0.069902,,0.533,0.032952,
,P020_72h,Undetermined,,,,16.783000946044922,,,,,,,,,,
,P020_72h,39.852001190185547,,,,16.729999542236328,,,,,,,,,,
,P020_72h,Undetermined,#DIV/0!,39.85,,16.88599967956543,0.079324,16.80,,23.05,11.68,#DIV/0!,,0.000305,#DIV/0!,
,P021_PMA,26.22599983215332,,,,19.350000381469727,,,,,,,,,,
,P021_PMA,25.871000289916992,,,,19.472000122070313,,,,,,,,,,
,P021_PMA,26.08799934387207,0.18,26.06,,19.382999420166016,0.063106,19.40,,6.66,-4.71,0.19,,26.221,0.089453,
,P021_SEB,25.361000061035156,,,,14.725000381469727,,,,,,,,,,
,P021_SEB,25.481000900268555,,,,14.718999862670898,,,,,,,,,,
,P021_SEB,25.565999984741211,0.10,25.47,,14.690999984741211,0.018148,14.71,,10.76,-0.62,0.10,,1.532,0.049301,
,P021_72h,35.396999359130859,,,,17.847000122070313,,,,,,,,,,
,P021_72h,Undetermined,,,,17.850000381469727,,,,,,,,,,
,P021_72h,Undetermined,#DIV/0!,35.40,,17.861000061035156,0.007371,17.85,,17.54,6.17,#DIV/0!,,0.013872,#DIV/0!,
,P022_PMA,29.658000946044922,,,,20.25,,,,,,,,,,
,P022_PMA,29.899999618530273,,,,20.214000701904297,,,,,,,,,,
,P022_PMA,30.340000152587891,0.35,29.97,,20.357000350952148,0.07438,20.27,,9.69,-1.68,0.35,,3.205,0.17,
,P022_SEB,27.086000442504883,,,,13.907999992370605,,,,,,,,,,
,P022_SEB,26.860000610351562,,,,14.003999710083008,,,,,,,,,,
,P022_SEB,26.990999221801758,0.11,26.98,,13.984000205993652,0.050649,13.97,,13.01,1.64,0.12,,0.321,0.05858,
,P022_72h,Undetermined,,,,18.141000747680664,,,,,,,,,,
,P022_72h,Undetermined,,,,18.184000015258789,,,,,,,,,,
