,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,
,,INFG,,,,Bact,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,15.991000175476074,,,,17.777000427246094,,,,,,,,,,
,Kalibraator,16.232999801635742,,,,17.715000152587891,,,,,,,,,,
,,15.98799991607666,0.14,16.07,,17.694000244140625,0.043155,17.73,,-1.66,0.00,0.15,,1.000,0.069328,
,,,,,,,,,,,,,,,,
,P018_PMA,18.909000396728516,,,,19.851999282836914,,,,,,,,,,
,P018_PMA,18.573999404907227,,,,19.89900016784668,,,,,,,,,,
,P018_PMA,18.436000823974609,0.24,18.64,,19.915000915527344,0.032747,19.89,,-1.25,0.41,0.25,,0.753,0.12,
,P018_SEB,18.799999237060547,,,,16.551000595092773,,,,,,,,,,
,P018_SEB,18.721000671386719,,,,16.024999618530273,,,,,,,,,,
,P018_SEB,18.597000122070313,0.10,18.71,,15.939999580383301,0.33,16.17,,2.53,4.19,0.35,,0.054712,0.16,
,P018_72h,30.141000747680664,,,,18.068000793457031,,,,,,,,,,
,P018_72h,30.28700065612793,,,,18.084999084472656,,,,,,,,,,
,P018_72h,30.496000289916992,0.18,30.31,,18.082000732421875,0.009073,18.08,,12.23,13.89,0.18,,0.000066,0.084221,
,P019_PMA,16.908000946044922,,,,19.801000595092773,,,,,,,,,,
,P019_PMA,16.858999252319336,,,,19.805999755859375,,,,,,,,,,
,P019_PMA,16.780000686645508,0.064583,16.85,,19.798000335693359,0.004041,19.80,,-2.95,-1.29,0.06471,,2.453,0.030504,
,P019_SEB,17.576999664306641,,,,14.541000366210938,,,,,,,,,,
,P019_SEB,17.631000518798828,,,,14.520999908447266,,,,,,,,,,
,P019_SEB,18.083000183105469,0.28,17.76,,14.545999526977539,0.013229,14.54,,3.23,4.89,0.28,,0.033827,0.13,
,P019_72h,,,,,20.204999923706055,,,,,,,,,,
,P019_72h,31.563999176025391,,,,20.261999130249023,,,,,,,,,,
,P019_72h,31.363000869750977,0.14,31.46,,20.284999847412109,0.041186,20.25,,11.21,12.87,0.15,,0.000134,0.079096,
,P020_PMA,16.056999206542969,,,,18.385000228881836,,,,,,,,,,
,P020_PMA,16.099000930786133,,,,18.403999328613281,,,,,,,,,,
,P020_PMA,15.935000419616699,0.08519,16.03,,18.391000747680664,0.009712,18.39,,-2.36,-0.70,0.085742,,1.630,0.040419,
,P020_SEB,16.339000701904297,,,,14.010000228881836,,,,,,,,,,
,P020_SEB,16.735000610351563,,,,14.02299976348877,,,,,,,,,,
,P020_SEB,16.378999710083008,0.22,16.48,,13.961000442504883,0.032695,14.00,,2.49,4.14,0.22,,0.05655,0.10,
,P020_72h,29.683000564575195,,,,16.783000946044922,,,,,,,,,,
,P020_72h,29.079000473022461,,,,16.729999542236328,,,,,,,,,,
,P020_72h,29.246999740600586,0.31,29.34,,16.88599967956543,0.079324,16.80,,12.54,14.19,0.32,,0.000053,0.15,
,P021_PMA,14.892999649047852,,,,19.350000381469727,,,,,,,,,,
,P021_PMA,15.01200008392334,,,,19.472000122070313,,,,,,,,,,
,P021_PMA,14.918999671936035,0.062565,14.94,,19.382999420166016,0.063106,19.40,,-4.46,-2.80,0.088863,,6.976,0.041891,
,P021_SEB,16.840000152587891,,,,14.725000381469727,,,,,,,,,,
,P021_SEB,16.986000061035156,,,,14.718999862670898,,,,,,,,,,
,P021_SEB,16.757999420166016,0.12,16.86,,14.690999984741211,0.018148,14.71,,2.15,3.81,0.12,,0.071413,0.055109,
,P021_72h,27.830999374389648,,,,17.847000122070313,,,,,,,,,,
,P021_72h,27.899999618530273,,,,17.850000381469727,,,,,,,,,,
,P021_72h,27.33799934387207,0.31,27.69,,17.861000061035156,0.007371,17.85,,9.84,11.49,0.31,,0.000346,0.14,
,P022_PMA,19.37299919128418,,,,20.25,,,,,,,,,,
,P022_PMA,19.263999938964844,,,,20.214000701904297,,,,,,,,,,
,P022_PMA,19.086999893188477,0.14,19.24,,20.357000350952148,0.07438,20.27,,-1.03,0.63,0.16,,0.648,0.076546,
,P022_SEB,15.87600040435791,,,,13.907999992370605,,,,,,,,,,
,P022_SEB,16.277000427246094,,,,14.003999710083008,,,,,,,,,,
,P022_SEB,16.10099983215332,0.20,16.08,,13.984000205993652,0.050649,13.97,,2.12,3.78,0.21,,0.072931,0.097713,
,P022_72h,,,,,18.141000747680664,,,,,,,,,,
,P022_72h,33.1510009765625,,,,18.184000015258789,,,,,,,,,,
,P022_72h,32.667999267578125,0.34,32.91,,18.253000259399414,0.056501,18.19,,14.72,16.37,0.35,,0.000012,0.19,
,P023_PMA,17.155000686645508,,,,18.139999389648438,,,,,,,,,,
,P023_PMA,17.27400016784668,,,,18.193000793457031,,,,,,,,,,
,P023_PMA,16.982999801635742,0.15,17.14,,18.204999923706055,0.034589,18.18,,-1.04,0.62,0.15,,0.652,0.070869,
,P023_SEB,14.857999801635742,,,,12.817000389099121,,,,,,,,,,
,P023_SEB,14.644000053405762,,,,12.807000160217285,,,,,,,,,,
,P023_SEB,14.612000465393066,0.13,14.70,,12.911999702453613,0.057951,12.85,,1.86,3.52,0.15,,0.087333,0.068714,
,P023_72h,32.549999237060547,,,,17.080999374389648,,,,,,,,,,
,P023_72h,,,,,16.940999984741211,,,,,,,,,,
,P023_72h,33.249000549316406,0.49,32.90,,16.995000839233398,0.070607,17.01,,15.89,17.55,0.50,,0.000005,0.27,
,P024_PMA,18.021999359130859,,,,19.916999816894531,,,,,,,,,,
,P024_PMA,17.961000442504883,,,,19.954000473022461,,,,,,,,,,
,P024_PMA,17.966999053955078,0.03362,17.98,,19.958999633789063,0.022942,19.94,,-1.96,-0.30,0.040702,,1.233,0.019187,
,P024_SEB,18.516000747680664,,,,15.232999801635742,,,,,,,,,,
,P024_SEB,18.777999877929688,,,,15.220999717712402,,,,,,,,,,
,P024_SEB,18.674999237060547,0.13,18.66,,15.258000373840332,0.018877,15.24,,3.42,5.08,0.13,,0.029626,0.062855,
,P024_72h,27.959999084472656,,,,15.817999839782715,,,,,,,,,,
,P024_72h,27.882999420166016,,,,15.779000282287598,,,,,,,,,,
,P024_72h,27.794000625610352,0.083071,27.88,,15.826000213623047,0.025146,15.81,,12.07,13.73,0.086794,,0.000074,0.040915,
,P025_PMA,15.258000373840332,,,,16.683000564575195,,,,,,,,,,
,P025_PMA,15.418999671936035,,,,16.729000091552734,,,,,,,,,,
,P025_PMA,15.083000183105469,0.17,15.25,,16.73900032043457,0.029866,16.72,,-1.46,0.19,0.17,,0.874,0.08046,
,P025_SEB,17.374000549316406,,,,13.527999877929688,,,,,,,,,,
,P025_SEB,17.142000198364258,,,,13.616000175476074,,,,,,,,,,
,P025_SEB,16.868999481201172,0.25,17.13,,13.550999641418457,0.04564,13.56,,3.56,5.22,0.26,,0.026805,0.12,
,P025_72h,29.596000671386719,,,,16.704999923706055,,,,,,,,,,
,P025_72h,29.433000564575195,,,,16.722999572753906,,,,,,,,,,
,P025_72h,29.072000503540039,0.27,29.37,,16.731000900268555,0.013317,16.72,,12.65,14.31,0.27,,0.000049,0.13,
,P026_PMA,15.935999870300293,,,,17.36199951171875,,,,,,,,,,
,P026_PMA,15.930000305175781,,,,17.281000137329102,,,,,,,,,,
,P026_PMA,16.052000045776367,0.06877,15.97,,17.322999954223633,0.040509,17.32,,-1.35,0.31,0.079814,,0.807,0.037625,
,P026_SEB,15.189999580383301,,,,13.958999633789063,,,,,,,,,,
,P026_SEB,15.194999694824219,,,,13.998000144958496,,,,,,,,,,
,P026_SEB,15.220999717712402,0.016643,15.20,,13.994999885559082,0.021703,13.98,,1.22,2.88,0.02735,,0.136,0.012893,
,P026_72h,,,,,16.03700065612793,,,,,,,,,,
,P026_72h,29.115999221801758,,,,15.970999717712402,,,,,,,,,,
,P026_72h,29.23900032043457,0.086975,29.18,,16.004999160766602,0.033006,16.00,,13.17,14.83,0.093027,,0.000034,0.049725,
,P027_PMA,16.889999389648438,,,,16.992000579833984,,,,,,,,,,
,P027_PMA,16.444000244140625,,,,17.229999542236328,,,,,,,,,,
,P027_PMA,16.216999053955078,0.34,16.52,,17.125,0.12,17.12,,-0.60,1.06,0.36,,0.480,0.17,
,P027_SEB,18.208000183105469,,,,14.295000076293945,,,,,,,,,,
,P027_SEB,,,,,14.286999702453613,,,,,,,,,,
,P027_SEB,17.715000152587891,0.35,17.96,,14.348999977111816,0.033724,14.31,,3.65,5.31,0.35,,0.025222,0.19,
,P027_72h,30.179000854492188,,,,16.009000778198242,,,,,,,,,,
,P027_72h,29.610000610351563,,,,15.986000061035156,,,,,,,,,,
,P027_72h,29.641000747680664,0.32,29.81,,16.13599967956543,0.080785,16.04,,13.77,15.42,0.33,,0.000023,0.16,
,P028_PMA,14.838000297546387,,,,18.150999069213867,,,,,,,,,,
,P028_PMA,14.61400032043457,,,,18.173000335693359,,,,,,,,,,
,P028_PMA,14.949000358581543,0.17,14.80,,18.437999725341797,0.16,18.25,,-3.45,-1.80,0.23,,3.472,0.11,
,P028_SEB,15.086999893188477,,,,14.062000274658203,,,,,,,,,,
,P028_SEB,15.612000465393066,,,,13.901000022888184,,,,,,,,,,
,P028_SEB,15.265000343322754,0.27,15.32,,13.923999786376953,0.087077,13.96,,1.36,3.02,0.28,,0.124,0.13,
,P028_72h,29.63599967956543,,,,18.582000732421875,,,,,,,,,,
,P028_72h,29.74799919128418,,,,18.600000381469727,,,,,,,,,,
,P028_72h,,0.079196,29.69,,18.541999816894531,0.029688,18.57,,11.12,12.78,0.084577,,0.000143,0.045208,
,P029_PMA,18.357000350952148,,,,19.906000137329102,,,,,,,,,,
,P029_PMA,18.406999588012695,,,,19.930999755859375,,,,,,,,,,
,P029_PMA,18.472000122070313,0.057663,18.41,,20.017000198364258,0.058227,19.95,,-1.54,0.12,0.081947,,0.921,0.03863,
,P029_SEB,17.069000244140625,,,,15.02400016784668,,,,,,,,,,
,P029_SEB,17.113000869750977,,,,15.069000244140625,,,,,,,,,,
,P029_SEB,,0.031113,17.09,,15.147000312805176,0.062234,15.08,,2.01,3.67,0.069578,,0.078618,0.037191,
,P029_72h,28.000999450683594,,,,17.798000335693359,,,,,,,,,,
,P029_72h,,,,,17.886999130249023,,,,,,,,,,
,P029_72h,31.586999893188477,2.54,29.79,,17.778999328613281,0.057657,17.82,,11.97,13.63,2.54,,0.000079,1.36,
,P030_PMA,16.968999862670898,,,,18.082000732421875,,,,,,,,,,
,P030_PMA,19.343999862670898,,,,17.961999893188477,,,,,,,,,,
,P030_PMA,,1.68,18.16,,17.945999145507813,0.074333,18.00,,0.16,1.82,1.68,,0.284,0.90,
