,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,
,,OAS2,,,,Bact,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,22.319999694824219,,,,18.396999359130859,,,,,,,,,,
,Kalibraator,22.336999893188477,,,,18.118000030517578,,,,,,,,,,
,,22.254999160766602,0.043279,22.30,,18.090999603271484,0.17,18.20,,4.10,0.00,0.17,,1.000,0.082427,
,,,,,,,,,,,,,,,,
,P1_PMA,24.516000747680664,,,,18.51099967956543,,,,,,,,,,
,P1_PMA,24.718999862670898,,,,18.461000442504883,,,,,,,,,,
,P1_PMA,24.920999526977539,0.20,24.72,,18.475000381469727,0.025794,18.48,,6.24,2.13,0.20,,0.228,0.096231,
,P1_SEB,20.875999450683594,,,,14.451999664306641,,,,,,,,,,
,P1_SEB,20.916000366210938,,,,14.39900016784668,,,,,,,,,,
,P1_SEB,20.930000305175781,0.028024,20.91,,14.472999572753906,0.038135,14.44,,6.47,2.36,0.047325,,0.194,0.022309,
,P1_72h,22.569999694824219,,,,15.548000335693359,,,,,,,,,,
,P1_72h,22.461000442504883,,,,15.51099967956543,,,,,,,,,,
,P1_72h,22.607999801635742,0.076304,22.55,,15.553999900817871,0.023288,15.54,,7.01,2.91,0.079779,,0.133,0.037608,
,P2_PMA,24.471000671386719,,,,18.812999725341797,,,,,,,,,,
,P2_PMA,24.586000442504883,,,,18.915000915527344,,,,,,,,,,
,P2_PMA,24.534000396728516,0.057587,24.53,,18.903999328613281,0.055985,18.88,,5.65,1.55,0.080316,,0.341,0.037861,
,P2_SEB,20.219999313354492,,,,13.121999740600586,,,,,,,,,,
,P2_SEB,20.232000350952148,,,,13.060000419616699,,,,,,,,,,
,P2_SEB,20.155000686645508,0.041428,20.20,,13.081999778747559,0.031432,13.09,,7.11,3.01,0.052003,,0.124,0.024514,
,P2_72h,23.205999374389648,,,,16.941999435424805,,,,,,,,,,
,P2_72h,22.968000411987305,,,,16.958000183105469,,,,,,,,,,
,P2_72h,23.038000106811523,0.12,23.07,,16.857000350952148,0.054286,16.92,,6.15,2.05,0.13,,0.242,0.063084,
,P3_PMA,29.083000183105469,,,,20.951000213623047,,,,,,,,,,
,P3_PMA,29.208000183105469,,,,20.91200065612793,,,,,,,,,,
,P3_PMA,28.979999542236328,0.11,29.09,,21.020000457763672,0.05469,20.96,,8.13,4.03,0.13,,0.061327,0.05968,
,P3_SEB,23.768999099731445,,,,14.52299976348877,,,,,,,,,,
,P3_SEB,23.718000411987305,,,,14.588000297546387,,,,,,,,,,
,P3_SEB,23.777999877929688,0.032357,23.75,,14.607999801635742,0.044441,14.57,,9.18,5.08,0.054973,,0.029564,0.025914,
,P3_72h,28.013999938964844,,,,15.939000129699707,,,,,,,,,,
,P3_72h,27.820999145507813,,,,15.756999969482422,,,,,,,,,,
,P3_72h,27.913999557495117,0.096522,27.92,,15.77400016784668,0.10,15.82,,12.09,7.99,0.14,,0.003931,0.065698,
,P4_PMA,24.554000854492188,,,,18.517000198364258,,,,,,,,,,
,P4_PMA,24.620000839233398,,,,18.523000717163086,,,,,,,,,,
,P4_PMA,24.631000518798828,0.041645,24.60,,18.492000579833984,0.016442,18.51,,6.09,1.99,0.044773,,0.252,0.021106,
,P4_SEB,19.766000747680664,,,,13.401000022888184,,,,,,,,,,
,P4_SEB,19.871000289916992,,,,13.458000183105469,,,,,,,,,,
,P4_SEB,19.770000457763672,0.059501,19.80,,13.473999977111816,0.038371,13.44,,6.36,2.26,0.0708,,0.209,0.033375,
,P4_72h,23.271999359130859,,,,16.97599983215332,,,,,,,,,,
,P4_72h,23.211000442504883,,,,17.063999176025391,,,,,,,,,,
,P4_72h,23.28700065612793,0.040253,23.26,,17.069999694824219,0.052624,17.04,,6.22,2.12,0.066254,,0.230,0.031233,
,P5_PMA,24.865999221801758,,,,20.281000137329102,,,,,,,,,,
,P5_PMA,25.055000305175781,,,,20.562999725341797,,,,,,,,,,
,P5_PMA,24.947999954223633,0.094776,24.96,,20.568000793457031,0.16,20.47,,4.49,0.38,0.19,,0.766,0.089404,
,P5_SEB,19.628999710083008,,,,13.128000259399414,,,,,,,,,,
,P5_SEB,19.583000183105469,,,,13.10200023651123,,,,,,,,,,
,P5_SEB,19.702999114990234,0.060541,19.64,,13.166999816894531,0.032716,13.13,,6.51,2.40,0.068816,,0.189,0.03244,
,P5_72h,21.954000473022461,,,,15.298000335693359,,,,,,,,,,
,P5_72h,21.878999710083008,,,,15.33899974822998,,,,,,,,,,
,P5_72h,21.909999847412109,0.037688,21.91,,15.442999839782715,0.074746,15.36,,6.55,2.45,0.08371,,0.183,0.039461,
,P6_PMA,24.933000564575195,,,,19.298999786376953,,,,,,,,,,
,P6_PMA,24.910999298095703,,,,19.58799934387207,,,,,,,,,,
,P6_PMA,24.72599983215332,0.11,24.86,,19.485000610351562,0.15,19.46,,5.40,1.30,0.19,,0.407,0.087408,
,P6_SEB,20.49799919128418,,,,13.678999900817871,,,,,,,,,,
,P6_SEB,20.413999557495117,,,,13.708999633789062,,,,,,,,,,
,P6_SEB,20.400999069213867,0.052653,20.44,,13.654999732971191,0.027055,13.68,,6.76,2.65,0.059197,,0.159,0.027906,
,P6_72h,22.409000396728516,,,,16.62299919128418,,,,,,,,,,
,P6_72h,22.386999130249023,,,,16.250999450683594,,,,,,,,,,
