,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,,
,,OAS2,,,,Bact,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,22.319999694824219,,,,18.396999359130859,,,,,,,,,,,
,Kalibraator,22.336999893188477,,,,18.118000030517578,,,,,,,,,,,
,,22.254999160766602,0.043279,22.30,,18.090999603271484,0.17,18.20,,4.10,0.00,0.17,,1.000,0.082427,,
,,,,,,,,,,,,,,,,,
,V1_PMA,23.384000778198242,,,,18.259000778198242,,,,,,,,,,,
,V1_PMA,,,,,18.482000350952148,,,,,,,,,,,
,V1_PMA,23.285999298095703,0.069298,23.34,,18.288000106811523,0.12,18.34,,4.99,0.89,0.14,,0.540,0.074648,,
,V1_SEB,20.493000030517578,,,,13.21399974822998,,,,,,,,,,,
,V1_SEB,,,,,13.519000053405762,,,,,,,,,,,
,V1_SEB,19.996999740600586,0.35,20.24,,13.529999732971191,0.18,13.42,,6.82,2.72,0.39,,0.152,0.21,,
,V1_72h,23.183000564575195,,,,17.13800048828125,,,,,,,,,,,
,V1_72h,23.146999359130859,,,,16.940999984741211,,,,,,,,,,,
,V1_72h,23.059000015258789,0.063791,23.13,,17.072999954223633,0.10,17.05,,6.08,1.98,0.12,,0.254,0.056067,,
,V2_PMA,23.930000305175781,,,,17.75,,,,,,,,,,,
,V2_PMA,23.972999572753906,,,,17.818000793457031,,,,,,,,,,,
,V2_PMA,24.068000793457031,0.070614,23.99,,17.830999374389648,0.043501,17.80,,6.19,2.09,0.082938,,0.235,0.039097,,
,V2_SEB,22.090000152587891,,,,15.706000328063965,,,,,,,,,,,
,V2_SEB,22.117000579833984,,,,15.732999801635742,,,,,,,,,,,
,V2_SEB,22.125,0.018339,22.11,,15.708999633789063,0.014799,15.72,,6.39,2.29,0.023565,,0.204,0.011109,,
,V2_72h,22.927000045776367,,,,16.684999465942383,,,,,,,,,,,
,V2_72h,22.898000717163086,,,,16.621000289916992,,,,,,,,,,,
,V2_72h,22.85099983215332,0.038354,22.89,,16.670999526977539,0.033645,16.66,,6.23,2.13,0.051019,,0.228,0.024051,,
,V3_PMA,24.739999771118164,,,,18.197999954223633,,,,,,,,,,,
,V3_PMA,24.607999801635742,,,,18.245000839233398,,,,,,,,,,,
,V3_PMA,24.693000793457031,0.066905,24.68,,18.23900032043457,0.02558,18.23,,6.45,2.35,0.071629,,0.196,0.033766,,
,V3_SEB,21.742000579833984,,,,14.526000022888184,,,,,,,,,,,
,V3_SEB,,,,,14.602999687194824,,,,,,,,,,,
,V3_SEB,21.14900016784668,0.42,21.45,,14.58899974822998,0.041016,14.57,,6.87,2.77,0.42,,0.147,0.23,,
,V3_72h,23.562999725341797,,,,16.952999114990234,,,,,,,,,,,
,V3_72h,23.680000305175781,,,,16.940000534057617,,,,,,,,,,,
,V3_72h,23.201000213623047,0.25,23.48,,16.961000442504883,0.010599,16.95,,6.53,2.43,0.25,,0.186,0.12,,
,V4_PMA,22.902999877929688,,,,17.145000457763672,,,,,,,,,,,
,V4_PMA,23.555000305175781,,,,17.46299934387207,,,,,,,,,,,
,V4_PMA,23.246999740600586,0.33,23.23,,17.156999588012695,0.18,17.25,,5.98,1.88,0.37,,0.272,0.18,,
,V4_SEB,,,,,14.753999710083008,,,,,,,,,,,
,V4_SEB,20.365999221801758,,,,14.25100040435791,,,,,,,,,,,
,V4_SEB,20.756000518798828,0.28,20.56,,14.230999946594238,0.30,14.41,,6.15,2.05,0.40,,0.242,0.22,,
,V4_72h,22.763999938964844,,,,15.118000030517578,,,,,,,,,,,
,V4_72h,22.934000015258789,,,,15.220000267028809,,,,,,,,,,,
,V4_72h,22.819999694824219,0.086633,22.84,,15.281000137329102,0.082355,15.21,,7.63,3.53,0.12,,0.086509,0.056348,,
,V5_PMA,25.395000457763672,,,,19.333999633789063,,,,,,,,,,,
,V5_PMA,25.524999618530273,,,,18.739999771118164,,,,,,,,,,,
,V5_PMA,25.538000106811523,0.079076,25.49,,19.406999588012695,0.37,19.16,,6.33,2.22,0.37,,0.214,0.18,,
,V5_SEB,21.149999618530273,,,,14.637999534606934,,,,,,,,,,,
,V5_SEB,21.146999359130859,,,,14.60200023651123,,,,,,,,,,,
,V5_SEB,21.072000503540039,0.044192,21.12,,14.607000350952148,0.019502,14.62,,6.51,2.41,0.048304,,0.189,0.022771,,
,V5_72h,24.044000625610352,,,,17.23699951171875,,,,,,,,,,,
,V5_72h,24.238000869750977,,,,17.299999237060547,,,,,,,,,,,
,V5_72h,24.089000701904297,0.10,24.12,,17.277000427246094,0.03188,17.27,,6.85,2.75,0.11,,0.149,0.05017,,
,V6_PMA,26.891000747680664,,,,19.724000930786133,,,,,,,,,,,
,V6_PMA,27.395999908447266,,,,19.843999862670898,,,,,,,,,,,
,V6_PMA,26.850000381469727,0.30,27.05,,19.870000839233398,0.07788,19.81,,7.23,3.13,0.31,,0.114,0.15,,
,V6_SEB,21.805000305175781,,,,12.51200008392334,,,,,,,,,,,
,V6_SEB,,,,,13.010000228881836,,,,,,,,,,,
,V6_SEB,23.881999969482422,1.47,22.84,,12.732999801635742,0.25,12.75,,10.09,5.99,1.49,,0.015735,0.80,,
,V6_72h,,,,,17.481000900268555,,,,,,,,,,,
,V6_72h,24.780000686645508,,,,17.933000564575195,,,,,,,,,,,
