,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,,
,,PYCARD,,,,Bact,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,30.617000579833984,,,,18.396999359130859,,,,,,,,,,,
,Kalibraator,30.948999404907227,,,,18.118000030517578,,,,,,,,,,,
,,30.316999435424805,0.32,30.63,,18.090999603271484,0.17,18.20,,12.43,0.00,0.36,,1.000,0.17,,
,,,,,,,,,,,,,,,,,
,V1_PMA,31.059000015258789,,,,18.259000778198242,,,,,,,,,,,
,V1_PMA,,,,,18.482000350952148,,,,,,,,,,,
,V1_PMA,31.204000473022461,0.10,31.13,,18.288000106811523,0.12,18.34,,12.79,0.36,0.16,,0.778,0.084876,,
,V1_SEB,23.694999694824219,,,,13.21399974822998,,,,,,,,,,,
,V1_SEB,23.195999145507813,,,,13.519000053405762,,,,,,,,,,,
,V1_SEB,23.240999221801758,0.28,23.38,,13.529999732971191,0.18,13.42,,9.96,-2.47,0.33,,5.538,0.16,,
,V1_72h,25.166999816894531,,,,17.13800048828125,,,,,,,,,,,
,V1_72h,25.152000427246094,,,,16.940999984741211,,,,,,,,,,,
,V1_72h,25.211000442504883,0.030665,25.18,,17.072999954223633,0.10,17.05,,8.13,-4.30,0.10,,19.694,0.049479,
,V2_PMA,28.575000762939453,,,,17.75,,,,,,,,,,
,V2_PMA,29.066999435424805,,,,17.818000793457031,,,,,,,,,,
,V2_PMA,28.849000930786133,0.25,28.83,,17.830999374389648,0.043501,17.80,,11.03,-1.39,0.25,,2.630,0.12,
,V2_SEB,25.313999176025391,,,,15.706000328063965,,,,,,,,,,
,V2_SEB,25.177000045776367,,,,15.732999801635742,,,,,,,,,,
,V2_SEB,25.169000625610352,0.081504,25.22,,15.708999633789063,0.014799,15.72,,9.50,-2.92,0.082836,,7.577,0.039049,
,V2_72h,22.979000091552734,,,,16.684999465942383,,,,,,,,,,
,V2_72h,23.132999420166016,,,,16.621000289916992,,,,,,,,,,
,V2_72h,23.135000228881836,0.089495,23.08,,16.670999526977539,0.033645,16.66,,6.42,-6.00,0.09561,,64.104,0.045071,
