,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,,
,,TIGIT2,,,,Bact,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,25.163999557495117,,,,18.396999359130859,,,,,,,,,,,
,Kalibraator,25.257999420166016,,,,18.118000030517578,,,,,,,,,,,
,,25.235000610351563,0.049,25.22,,18.090999603271484,0.17,18.20,,7.02,0.00,0.18,,1.000,0.083136,,
,,,,,,,,,,,,,,,,,
,V1_PMA,25.454000473022461,,,,18.259000778198242,,,,,,,,,,,
,V1_PMA,,,,,18.482000350952148,,,,,,,,,,,
,V1_PMA,25.638999938964844,0.13,25.55,,18.288000106811523,0.12,18.34,,7.20,0.19,0.18,,0.879,0.095339,,
,V1_SEB,22.739999771118164,,,,13.21399974822998,,,,,,,,,,,
,V1_SEB,22.993999481201172,,,,13.519000053405762,,,,,,,,,,,
,V1_SEB,,0.18,22.87,,13.529999732971191,0.18,13.42,,9.45,2.43,0.25,,0.186,0.14,,
,V1_72h,26.009000778198242,,,,17.13800048828125,,,,,,,,,,,
,V1_72h,26.160999298095703,,,,16.940999984741211,,,,,,,,,,,
,V1_72h,26.023000717163086,0.084007,26.06,,17.072999954223633,0.10,17.05,,9.01,2.00,0.13,,0.251,0.061705,
,V2_PMA,26.136999130249023,,,,17.75,,,,,,,,,,
,V2_PMA,26.045000076293945,,,,17.818000793457031,,,,,,,,,,
,V2_PMA,26.097999572753906,0.046177,26.09,,17.830999374389648,0.043501,17.80,,8.29,1.28,0.06344,,0.413,0.029906,
,V2_SEB,24.51300048828125,,,,15.706000328063965,,,,,,,,,,
,V2_SEB,24.565000534057617,,,,15.732999801635742,,,,,,,,,,
,V2_SEB,24.378999710083008,0.095966,24.49,,15.708999633789063,0.014799,15.72,,8.77,1.75,0.0971,,0.297,0.045773,
,V2_72h,24.763999938964844,,,,16.684999465942383,,,,,,,,,,
,V2_72h,24.709999084472656,,,,16.621000289916992,,,,,,,,,,
,V2_72h,24.148000717163086,0.34,24.54,,16.670999526977539,0.033645,16.66,,7.88,0.86,0.34,,0.549,0.16,
