,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,
,,AIM2,,,,Bact,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,28.136999130249023,,,,14.02400016784668,,,,,,,,,,
,Kalibraator,28.163999557495117,,,,14.034999847412109,,,,,,,,,,
,,27.780000686645508,0.21433309147995336,28.026999791463215,,14.088000297546387,0.03422,14.049000104268393,,13.977999687194822,0,0.21704765294234421,,1,0.10231724482410394,
,,,,,,,,,,,,,,,,
,PH001,28.174999237060547,,,,17.246000289916992,,,,,,,,,,
,PH001,,,,,17.49799919128418,,,,,,,,,,
,PH001,27.349000930786133,0.58406900361524094,27.76200008392334,,17.200000762939453,0.16042779583993227,17.314666748046875,,10.447333335876465,-3.5306663513183576,0.60570098122931859,,11.556770167312019,0.32376079294184346,
,PT001,,,,,19.156000137329102,,,,,,,,,,
,PT001,31.072000503540039,,,,19.131999969482422,,,,,,,,,,
,PT001,30.367000579833984,0.49851022678854989,30.719500541687012,,19.141000747680664,0.012124,19.14300028483073,,11.576500256856281,-2.4014994303385411,0.49865764492139247,,5.2835200897888992,0.2665437229416322,
,PH002,28.781999588012695,,,,17.496000289916992,,,,,,,,,,
,PH002,,,,,17.554000854492187,,,,,,,,,,
,PH002,29.114999771118164,0.23546668761023895,28.94849967956543,,17.531999588012695,0.02928,17.527333577473957,,11.421166102091473,-2.5568335851033499,0.23728022692095294,,5.884148207682955,0.12683161625631151,
,PT002,,,,,17.917999267578125,,,,,,,,,,
,PT002,30.020999908447266,,,,17.933000564575195,,,,,,,,,,
,PT002,30.007999420166016,0.009193,30.014499664306641,,17.934999465942383,0.009292,17.928666432698567,,12.085833231608074,-1.8921664555867483,0.013071,,3.7119221561528208,0.006987,
,PH003,28.937999725341797,,,,16.947999954223633,,,,,,,,,,
,PH003,29.131000518798828,,,,16.936000823974609,,,,,,,,,,
,PH003,29.118000030517578,0.10787216881875274,29.062333424886067,,17.041999816894531,0.058046,16.97533353169759,,12.086999893188477,-1.8909997940063459,0.12249773374970888,,3.7089216561674365,0.057746,
,PT003,29.746999740600586,,,,17.853000640869141,,,,,,,,,,
,PT003,29.702999114990234,,,,17.919000625610352,,,,,,,,,,
,PT003,,0.031113,29.72499942779541,,17.940999984741211,0.045796,17.904333750406902,,11.820665677388508,-2.1573340098063145,0.055365,,4.4608975332434122,0.029594,
,PH004,29.777999877929688,,,,17.454000473022461,,,,,,,,,,
,PH004,,,,,,,,,,,,,,,
,PH004,29.270999908447266,0.35850311648239314,29.524499893188477,,17.577999114990234,0.08768,17.515999794006348,,12.008500099182129,-1.9694995880126935,0.36906952750466188,,3.9163225423916064,0.21308239105450455,
,PT004,31.007999420166016,,,,17.952999114990234,,,,,,,,,,
,PT004,31.330999374389648,,,,18,,,,,,,,,,
,PT004,,0.22839545795447519,31.169499397277832,,18.125999450683594,0.089456,18.026332855224609,,13.143166542053223,-0.83483314514159979,0.24528927555021313,,1.7836507388295975,0.13111263282269767,
,PH005,27.542999267578125,,,,17.570999145507812,,,,,,,,,,
,PH005,27.646999359130859,,,,17.243999481201172,,,,,,,,,,
,PH005,27.468999862670898,0.08942,27.552999496459961,,17.141000747680664,0.22451285846524058,17.318666458129883,,10.234333038330078,-3.7436666488647443,0.24166502070945206,,13.395408280736328,0.113921983279494,
,PT005,29.896999359130859,,,,17.885000228881836,,,,,,,,,,
,PT005,31.024999618530273,,,,17.926000595092773,,,,,,,,,,
,PT005,,0.79761663260151028,30.460999488830566,,17.893999099731445,0.021549,17.901666641235352,,12.559332847595215,-1.4186668395996076,0.79790766602688179,,2.6733835572159661,0.42649958750757677,
,PH006,28.798999786376953,,,,16.433000564575195,,,,,,,,,,
,PH006,28.658000946044922,,,,16.763999938964844,,,,,,,,,,
,PH006,28.495000839233398,0.15213210687860262,28.650667190551758,,16.48699951171875,0.17757895372357421,16.561333338419598,,12.08933385213216,-1.8886658350626622,0.23383426341937549,,3.7029262986732219,0.11023052889173458,
,PT006,33.041000366210938,,,,19.090000152587891,,,,,,,,,,
,PT006,33.111000061035156,,,,19.093999862670898,,,,,,,,,,
,PT006,Undetermined,0.049497,33.076000213623047,,19.131999969482422,0.02318,19.10533332824707,,13.970666885375977,-0.007333,0.054656,,1.0050956497936696,0.029215,
,PH007,28.780000686645508,,,,16.878999710083008,,,,,,,,,,
,PH007,29.166999816894531,,,,16.915000915527344,,,,,,,,,,
