,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,
,,CXCL2,,,,Bact,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,19.370000839233398,,,,14.02400016784668,,,,,,,,,,
,Kalibraator,19.323999404907227,,,,14.034999847412109,,,,,,,,,,
,,19.288999557495117,0.040625,19.327666600545246,,14.088000297546387,0.03422,14.049000104268393,,5.2786664962768537,0,0.053117,,1,0.02504,
,,,,,,,,,,,,,,,,
,VH001,32.368999481201172,,,,19.716999053955078,,,,,,,,,,
,VH001,,,,,19.629999160766602,,,,,,,,,,
,VH001,32.787998199462891,0.29627683499133306,32.578498840332031,,19.670000076293945,0.043547,19.672332763671875,,12.906166076660156,7.6274995803833026,0.29945999629163417,,5.0570102557047029E-3,0.1600681010239843,
,VT001,30.811000823974609,,,,20.313999176025391,,,,,,,,,,
,VT001,32.435001373291016,,,,20.326999664306641,,,,,,,,,,
,VT001,Undetermined,1.148341801072309,31.623001098632813,,20.340999603271484,0.013503,20.327332814534504,,11.295668284098308,6.0170017878214548,1.1484211906350683,,1.5441944168668526E-2,0.6138569472953469,
,VH003,,,,,20.090000152587891,,,,,,,,,,
,VH003,31.450000762939453,,,,20.068000793457031,,,,,,,,,,
,VH003,32.129001617431641,0.48012610864288602,31.789501190185547,,19.995000839233398,0.049729,20.051000595092773,,11.738500595092773,6.4598340988159197,0.48269457490563816,,1.1360466601246602E-2,0.25801110310734121,
,VT003,31.339000701904297,,,,18.227616999999999,,,,,,,,,,
,VT003,,,,,18.255737,,,,,,,,,,
,VT003,31.77400016784668,0.30759107218038551,31.556500434875488,,18.354378000000001,0.06657,18.279244000000002,,13.277256434875486,7.9985899385986325,0.31471223324186054,,3.9100697573294452E-3,0.16822076460250443,
,VH004,31.996999740600586,,,,18.934999465942383,,,,,,,,,,
,VH004,32.266998291015625,,,,18.86400032043457,,,,,,,,,,
,VH004,31.816999435424805,0.22649440652482272,32.026999155680336,,18.943000793457031,0.043486,18.914000193277996,,13.11299896240234,7.8343324661254865,0.23063111663606842,,4.3815818778741231E-3,0.10872055101732638,
,VT004,35.834999084472656,,,,19.344999313354492,,,,,,,,,,
,VT004,36.999000549316406,,,,19.326000213623047,,,,,,,,,,
,VT004,,0.8230733291020903,36.416999816894531,,19.305999755859375,0.019502,19.325666427612305,,17.091333389282227,11.812666893005373,0.8233043362027358,,2.7799240861674826E-4,0.44007467873085471,
,VH005,36.439998626708984,,,,19.795000076293945,,,,,,,,,,
,VH005,,,,,19.812999725341797,,,,,,,,,,
,VH005,35.831001281738281,0.43062615235338736,36.135499954223633,,19.847000122070313,0.026407,19.818333307902019,,16.317166646321613,11.03850015004476,0.43143506997932363,,4.754231746148632E-4,0.23061174521449551,
,VT005,31.479000091552734,,,,18.232000350952148,,,,,,,,,,
,VT005,31.437000274658203,,,,18.236000061035156,,,,,,,,,,
,VT005,,0.029698,31.458000183105469,,18.23900032043457,0.003512,18.235666910807293,,13.222333272298176,7.9436667760213222,0.029905,,4.0617952264063728E-3,0.015985,
,VH006,31.451000213623047,,,,17.775999069213867,,,,,,,,,,
,VH006,31.340000152587891,,,,17.708000183105469,,,,,,,,,,
,VH006,,0.078489,31.395500183105469,,17.858999252319336,0.075624,17.780999501546223,,13.614500681559246,8.3358341852823923,0.10899284262464498,,3.0950229331122782E-3,0.058259,
,VT006,,,,,18.020999908447266,,,,,,,,,,
,VT006,30.64900016784668,,,,17.701000213623047,,,,,,,,,,
,VT006,30.416999816894531,0.16404902139592306,30.532999992370605,,17.775999069213867,0.16735692608543543,17.832666397094727,,12.700333595275879,7.4216670989990252,0.23435106598802985,,5.8325112529039429E-3,0.12526591387892275,
,VH007,30.770999908447266,,,,19.052999496459961,,,,,,,,,,
,VH007,31.243000030517578,,,,18.917999267578125,,,,,,,,,,
,VH007,30.544000625610352,0.35658401480892737,30.852666854858398,,18.91200065612793,0.079731,18.960999806722004,,11.891667048136394,6.6130005518595407,0.36538898811540016,,1.0216178502551264E-2,0.17224602084486021,
,VT007,31.01300048828125,,,,18.909999847412109,,,,,,,,,,
,VT007,30.75,,,,18.934000015258789,,,,,,,,,,
,VT007,31.041000366210938,0.16053787877795542,30.934666951497395,,18.979999542236328,0.035571,18.941333134969074,,11.99333381652832,6.7146673202514666,0.1644315384131356,,9.5210254425098263E-3,0.077514,
,VH009,,,,,17.886999130249023,,,,,,,,,,
,VH009,31.746000289916992,,,,17.902999877929687,,,,,,,,,,
,VH009,31.834999084472656,0.062932,31.790499687194824,,17.871999740600586,0.015503,17.887332916259766,,13.903166770935059,8.6245002746582049,0.064813,,2.5337672576333692E-3,0.034644,
,VT009,32.756999969482422,,,,18.121999740600586,,,,,,,,,,
,VT009,32.730998992919922,,,,18.188999176025391,,,,,,,,,,
,VT009,,0.018385,32.743999481201172,,18.468999862670898,0.18407353312643679,18.259999593098957,,14.483999888102215,9.205333391825361,0.1849894348030483,,1.6940199827014458E-3,0.098881,
,VH010,29.531000137329102,,,,18.409999847412109,,,,,,,,,,
,VH010,29.71299934387207,,,,18.531000137329102,,,,,,,,,,
,VH010,,0.12869287311710428,29.621999740600586,,18.521999359130859,0.067412,18.487666447957356,,11.13433329264323,5.8556667963663767,0.14527967759934582,,1.7269058061579929E-2,0.077655,
,VT010,31.783000946044922,,,,19.718000411987305,,,,,,,,,,
,VT010,30.172000885009766,,,,19.792999267578125,,,,,,,,,,
,VT010,,1.139149067649901,30.977500915527344,,19.822999954223633,0.054083,19.777999877929688,,11.199501037597656,5.9208345413208026,1.1404321814831724,,1.6506355855587209E-2,0.60958664228017601,
,VH011,30.403999328613281,,,,17.521999359130859,,,,,,,,,,
,VH011,,,,,17.690000534057617,,,,,,,,,,
,VH011,30.392000198364258,0.008485,30.39799976348877,,17.625,0.084714,17.612333297729492,,12.785666465759277,7.5069999694824237,0.085138,,5.4975328324050931E-3,0.045508,
,VT011,29.187999725341797,,,,18.193000793457031,,,,,,,,,,
,VT011,29.652999877929688,,,,18.218000411987305,,,,,,,,,,
,VT011,,0.32880476114767676,29.420499801635742,,18.232000350952148,0.019757,18.21433385213216,,11.206165949503582,5.9274994532267282,0.32939777635931761,,1.6430276242512077E-2,0.17607051758596451,
,VH012,29.771999359130859,,,,18.278999328613281,,,,,,,,,,
,VH012,29.558000564575195,,,,18.339000701904297,,,,,,,,,,
,VH012,28.950000762939453,0.42644674051995579,29.426666895548504,,18.302000045776367,0.030272,18.306666692097981,,11.120000203450523,5.8413337071736695,0.42751982046475312,,1.7441480207194129E-2,0.20153477609485487,
,VT012,,,,,17.981000900268555,,,,,,,,,,
,VT012,30.695999145507813,,,,18.006999969482422,,,,,,,,,,
,VT012,30.312999725341797,0.2708214871899054,30.504499435424805,,17.992000579833984,0.013051,17.99333381652832,,12.511165618896484,7.2324991226196307,0.27113575744230289,,6.6496811339492113E-3,0.14492815852179147,
,VH013,,,,,18.184999465942383,,,,,,,,,,
,VH013,30.836999893188477,,,,18.204000473022461,,,,,,,,,,
,VH013,31.329000473022461,0.34789694634832369,31.083000183105469,,18.224000930786133,0.019503,18.204333623250324,,12.878666559855144,7.6000000635782907,0.34844317626448607,,5.1543275493099719E-3,0.18625071204871269,
,VT013,30.472999572753906,,,,17.819999694824219,,,,,,,,,,
,VT013,,,,,17.742000579833984,,,,,,,,,,
,VT013,30.635000228881836,0.11455176250472911,30.553999900817871,,17.878999710083008,0.068719,17.813666661580402,,12.740333239237469,7.4616667429606149,0.13358284769287387,,5.6730223260029484E-3,0.071403,
,VH014,30.777000427246094,,,,19.875999450683594,,,,,,,,,,
,VH014,30.179000854492188,,,,19.922000885009766,,,,,,,,,,
,VH014,,0.42284955304094529,30.478000640869141,,19.934999465942383,0.031,19.910999933878582,,10.567000706990559,5.288334210713705,0.42398438727316906,,2.5588968252357409E-2,0.22662918778821092,
,VT014,30.01099967956543,,,,18.382999420166016,,,,,,,,,,
,VT014,,,,,18.409999847412109,,,,,,,,,,
,VT014,29.71299934387207,0.21071805816464198,29.86199951171875,,18.464000701904297,0.041244,18.418999989827473,,11.442999521891277,6.1643330256144235,0.2147164499289963,,1.3942827554489388E-2,0.11477077013410088,
,VH015,,,,,18.521999359130859,,,,,,,,,,
,VH015,30.49799919128418,,,,18.576999664306641,,,,,,,,,,
,VH015,30.427999496459961,0.049497,30.46299934387207,,18.819999694824219,0.15857608503730694,18.639666239420574,,11.823333104451496,6.5446666081746425,0.16612150186986957,,1.071171574405725E-2,0.088796,
,VT015,,,,,19.312999725341797,,,,,,,,,,
