,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,
,,DEFB1,,,,Bact,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,26.086999893188477,,,,14.02400016784668,,,,,,,,,,
,Kalibraator,26.277999877929688,,,,14.034999847412109,,,,,,,,,,
,,26.118999481201172,0.10229540064925566,26.161333084106445,,14.088000297546387,0.03422,14.049000104268393,,12.112332979838053,0,0.10786731913984875,,1,0.050849,
,,,,,,,,,,,,,,,,
,PH001,25.601999282836914,,,,17.246000289916992,,,,,,,,,,
,PH001,25.697999954223633,,,,17.49799919128418,,,,,,,,,,
,PH001,26.034000396728516,0.2268396602131714,25.777999877929688,,17.200000762939453,0.16042779583993227,17.314666748046875,,8.4633331298828125,-3.6489998499552403,0.27783683903270645,,12.544645960529655,0.13097354196230801,
,PT001,27.704000473022461,,,,19.156000137329102,,,,,,,,,,
,PT001,27.239999771118164,,,,19.131999969482422,,,,,,,,,,
,PT001,27.326000213623047,0.24683899056682185,27.423333485921223,,19.141000747680664,0.012124,19.14300028483073,,8.2803332010904924,-3.8319997787475604,0.24713657740169834,,14.24120954800069,0.11650129983998332,
,PH002,25.232000350952148,,,,17.496000289916992,,,,,,,,,,
,PH002,25.229000091552734,,,,17.554000854492187,,,,,,,,,,
,PH002,25.163000106811523,0.039,25.208000183105469,,17.531999588012695,0.02928,17.527333577473957,,7.6806666056315116,-4.4316663742065412,0.048768,,21.580649408804049,0.02299,
,PT002,32.230998992919922,,,,17.917999267578125,,,,,,,,,,
,PT002,32.258998870849609,,,,17.933000564575195,,,,,,,,,,
,PT002,32.229999542236328,0.016462,32.239999135335289,,17.934999465942383,0.009292,17.928666432698567,,14.311332702636722,2.1989997227986695,0.018903,,0.21778858988174729,0.008911,
,PH003,25.011999130249023,,,,16.947999954223633,,,,,,,,,,
,PH003,25.152000427246094,,,,16.936000823974609,,,,,,,,,,
,PH003,25.173999786376953,0.087872,25.112666447957356,,17.041999816894531,0.058046,16.97533353169759,,8.1373329162597656,-3.9750000635782872,0.10531246155910561,,15.725130269716502,0.049645,
,PT003,25.929000854492188,,,,17.853000640869141,,,,,,,,,,
,PT003,25.847999572753906,,,,17.919000625610352,,,,,,,,,,
,PT003,25.749000549316406,0.09015,25.842000325520832,,17.940999984741211,0.045796,17.904333750406902,,7.9376665751139299,-4.1746664047241229,0.10111542781900376,,18.059254141447621,0.047666,
,PH004,25.423000335693359,,,,17.454000473022461,,,,,,,,,,
,PH004,25.482999801635742,,,,,,,,,,,,,,
,PH004,25.395999908447266,0.044531,25.434000015258789,,17.577999114990234,0.08768,17.515999794006348,,7.9180002212524414,-4.1943327585856114,0.09834,,18.30711763337866,0.04917,
,PT004,25.37299919128418,,,,17.952999114990234,,,,,,,,,,
,PT004,25.440999984741211,,,,18,,,,,,,,,,
,PT004,25.461999893188477,0.046523,25.425333023071289,,18.125999450683594,0.089456,18.026332855224609,,7.3990001678466797,-4.7133328119913731,0.10083012935900368,,26.233398468610087,0.047532,
,PH005,24.827999114990234,,,,17.570999145507812,,,,,,,,,,
,PH005,24.819999694824219,,,,17.243999481201172,,,,,,,,,,
,PH005,24.879999160766602,0.032578,24.842665990193684,,17.141000747680664,0.22451285846524058,17.318666458129883,,7.5239995320638009,-4.5883334477742519,0.22686415652489297,,24.056143064040722,0.10694478899127878,
,PT005,25.865999221801758,,,,17.885000228881836,,,,,,,,,,
,PT005,25.844999313354492,,,,17.926000595092773,,,,,,,,,,
,PT005,25.541000366210938,0.1818793611870029,25.75066630045573,,17.893999099731445,0.021549,17.901666641235352,,7.8489996592203788,-4.263333320617674,0.18315144806330524,,19.203978497383808,0.086338,
,PH006,23.742000579833984,,,,16.433000564575195,,,,,,,,,,
,PH006,23.572000503540039,,,,16.763999938964844,,,,,,,,,,
,PH006,23.636999130249023,0.085781,23.650333404541016,,16.48699951171875,0.17757895372357421,16.561333338419598,,7.0890000661214181,-5.0233329137166347,0.19721217874085942,,32.521748370230739,0.092967,
,PT006,26.702999114990234,,,,19.090000152587891,,,,,,,,,,
,PT006,26.590999603271484,,,,19.093999862670898,,,,,,,,,,
,PT006,27.076000213623047,0.25393545841658827,26.78999964396159,,19.131999969482422,0.02318,19.10533332824707,,7.6846663157145194,-4.4276666641235334,0.25499127196339694,,21.5209023396676,0.12020403836580078,
,PH007,23.917999267578125,,,,16.878999710083008,,,,,,,,,,
,PH007,23.930999755859375,,,,16.915000915527344,,,,,,,,,,
,PH007,23.999000549316406,0.043502,23.949333190917969,,16.975000381469727,0.048498,16.923000335693359,,7.0263328552246094,-5.0860001246134434,0.065149,,33.965545620182823,0.030712,
,PT007,25.569000244140625,,,,18.819000244140625,,,,,,,,,,
,PT007,25.663000106811523,,,,18.934999465942383,,,,,,,,,,
,PT007,25.561000823974609,0.056721,25.597667058308918,,18.864999771118164,0.058412,18.872999827067058,,6.7246672312418596,-5.3876657485961932,0.08142,,41.864797699700766,0.038382,
,PH008,24.298000335693359,,,,17.916999816894531,,,,,,,,,,
,PH008,24.38800048828125,,,,18.061000823974609,,,,,,,,,,
,PH008,24.507999420166016,0.10535605234843894,24.398000081380207,,18.187999725341797,0.13558881552132904,18.055333455403645,,6.3426666259765625,-5.7696663538614903,0.17170971044447081,,54.55601466934894,0.080945,
,PT008,23.259000778198242,,,,17.055000305175781,,,,,,,,,,
,PT008,23.197000503540039,,,,17.048999786376953,,,,,,,,,,
,PT008,23.184000015258789,0.040079,23.213333765665691,,17.099000930786133,0.027301,17.067667007446289,,6.1456667582194022,-5.9666662216186506,0.048495,,62.538218687762786,0.022861,
,PT009,32.740001678466797,,,,29.250999450683594,,,,,,,,,,
,PT009,31.534000396728516,,,,29.259000778198242,,,,,,,,,,
,PT009,33.898998260498047,1.1825767814641388,32.724333445231117,,29.163999557495117,0.052691,29.224666595458984,,3.499666849772133,-8.6126661300659197,1.1837500650433193,,391.44508804004346,0.55802513214809857,
,PH010,23.49799919128418,,,,16.325000762939453,,,,,,,,,,
,PH010,23.420000076293945,,,,16.319000244140625,,,,,,,,,,
,PH010,23.433000564575195,0.041789,23.450333277384441,,16.389999389648437,0.039374,16.344666798909504,,7.1056664784749373,-5.0066665013631155,0.057416,,32.148209897333565,0.027066,
,PT010,25.330999374389648,,,,18.239999771118164,,,,,,,,,,
,PT010,25.207000732421875,,,,18.23900032043457,,,,,,,,,,
,PT010,24.948999404907227,0.19487787838112514,25.162333170572918,,18.23699951171875,0.001528,18.238666534423828,,6.9236666361490897,-5.1886663436889631,0.19488386652381021,,36.470709062967536,0.091869,
,PH011,23.104000091552734,,,,15.857000350952148,,,,,,,,,,
,PH011,22.47599983215332,,,,15.913999557495117,,,,,,,,,,
,PH011,23.044000625610352,0.34655667239456112,22.874666849772137,,15.883000373840332,0.028536,15.884666760762533,,6.9900000890096035,-5.1223328908284493,0.34772954605821754,,34.831794375991294,0.16392128002445702,
,PT011,25.840000152587891,,,,18.743999481201172,,,,,,,,,,
,PT011,25.936000823974609,,,,18.677000045776367,,,,,,,,,,
