,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,
,,CXCL10,,,,Bact,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,27.143999099731445,,,,14.02400016784668,,,,,,,,,,
,Kalibraator,27.27400016784668,,,,14.034999847412109,,,,,,,,,,
,,27.156000137329102,0.071843,27.191333134969074,,14.088000297546387,0.03422,14.049000104268393,,13.142333030700682,0,0.079576,,1,0.037513,
,,,,,,,,,,,,,,,,
,C001,30.733999252319336,,,,19.330999374389648,,,,,,,,,,
,C001,29.958999633789063,,,,19.381000518798828,,,,,,,,,,
,C001,30.149999618530273,0.40376580983669985,30.280999501546223,,19.308000564575195,0.037323,19.340000152587891,,10.940999348958332,-2.2013336817423497,0.40548716136072627,,4.5990429843568679,0.19114848098816892,
,C002,30.375999450683594,,,,17.597000122070313,,,,,,,,,,
,C002,30.846000671386719,,,,17.632999420166016,,,,,,,,,,
,C002,30.985000610351563,0.31914065419788756,30.735666910807293,,17.625999450683594,0.019087,17.618666330973308,,13.117000579833984,-0.025332,0.31971092491689351,,1.0177141844749464,0.15071317535210571,
,C003,30.12299919128418,,,,17.923000335693359,,,,,,,,,,
,C003,30.177999496459961,,,,17.88599967956543,,,,,,,,,,
,C003,30.280000686645508,0.079665,30.193666458129883,,17.900999069213867,0.01861,17.903333028157551,,12.290333429972332,-0.8519996007283499,0.08181,,1.8050009553835229,0.038565,
,C004,28.613000869750977,,,,16.253000259399414,,,,,,,,,,
,C004,,,,,16.302000045776367,,,,,,,,,,
,C004,28.152999877929687,0.3252698206693711,28.383000373840332,,16.329000473022461,0.038527,16.294666926066082,,12.08833344777425,-1.0539995829264317,0.32754357777170057,,2.0762779408478447,0.1750794067514069,
,C005,28.729999542236328,,,,16.190999984741211,,,,,,,,,,
,C005,28.388999938964844,,,,16.264999389648438,,,,,,,,,,
,C005,28.325000762939453,0.21771565369947671,28.481333414713543,,16.538999557495117,0.18332835139144005,16.331666310628254,,12.149667104085289,-0.99266592661539299,0.28462148599445858,,1.9898586145974273,0.13417185521204911,
,C006,30.947999954223633,,,,17.933000564575195,,,,,,,,,,
,C006,31.142000198364258,,,,17.965000152587891,,,,,,,,,,
,C006,,0.13717888818368171,31.045000076293945,,18.054000854492188,0.062698,17.98400052388509,,13.060999552408855,-0.081333,0.15082796652273642,,1.0579954905247819,0.080621,
,C007,30.188999176025391,,,,17.551000595092773,,,,,,,,,,
,C007,,,,,17.541000366210938,,,,,,,,,,
,C007,29.684000015258789,0.35708833107157945,29.93649959564209,,17.596000671386719,0.029297,17.562667210896809,,12.373832384745281,-0.76850064595540069,0.35828817594651718,,1.7034984632454031,0.19151308573200682,
,C008,31.854000091552734,,,,18.277000427246094,,,,,,,,,,
,C008,31.87700080871582,,,,18.302000045776367,,,,,,,,,,
,C008,,0.016264,31.865500450134277,,18.326999664306641,0.025,18.302000045776367,,13.56350040435791,0.42116737365722834,0.029824,,0.74682008151305579,0.015942,
,C009,28.656000137329102,,,,18.665000915527344,,,,,,,,,,
,C009,29.082000732421875,,,,18.716999053955078,,,,,,,,,,
,C009,28.534000396728516,0.28771073773440164,28.757333755493164,,18.617000579833984,0.050013,18.666333516438801,,10.091000239054363,-3.0513327916463187,0.29202521155407507,,8.2897741199141972,0.13766200491154842,
,C010,30.197000503540039,,,,18.503000259399414,,,,,,,,,,
,C010,,,,,18.485000610351562,,,,,,,,,,
,C010,30.665000915527344,0.33092626491432114,30.431000709533691,,18.561000823974609,0.039716,18.516333897908527,,11.914666811625164,-1.2276662190755179,0.33330097564326067,,2.341878484373181,0.17815686536208111,
,C011,31.316999435424805,,,,19.83799934387207,,,,,,,,,,
,C011,31.434000015258789,,,,19.743000030517578,,,,,,,,,,
,C011,,0.082732,31.375499725341797,,19.736000061035156,0.056976,19.772333145141602,,11.603166580200195,-1.5391664505004865,0.10045324771113698,,2.9062653892835808,0.053695,
,C012,31.943000793457031,,,,17.965999603271484,,,,,,,,,,
,C012,32.117000579833984,,,,18,,,,,,,,,,
,C012,,0.1230364288721542,32.030000686645508,,18.343999862670898,0.20911564926343351,18.103333155314129,,13.926667531331379,0.78433450063069721,0.2426258798984148,,0.58061972892784475,0.12968898796349013,
,C013,31.518999099731445,,,,19.829999923706055,,,,,,,,,,
,C013,30.687999725341797,,,,19.865999221801758,,,,,,,,,,
,C013,31.180999755859375,0.41790201139816963,31.129332860310871,,19.913000106811523,0.041621,19.869666417439777,,11.259666442871094,-1.8826665878295881,0.41996956434056848,,3.6875601643489735,0.19797555122478405,
,C014,30.642000198364258,,,,18.663000106811523,,,,,,,,,,
,C014,,,,,18.768999099731445,,,,,,,,,,
,C014,30.073999404907227,0.4016372127728064,30.357999801635742,,18.669000625610352,0.059542,18.700333277384441,,11.657666524251301,-1.4846665064493809,0.40602672154590419,,2.7985247491140406,0.21703041169997694,
,C015,,,,,19.392999649047852,,,,,,,,,,
,C015,29.107000350952148,,,,19.430999755859375,,,,,,,,,,
,C015,29.864999771118164,0.53598653013486075,29.486000061035156,,19.447999954223633,0.02816,19.423999786376953,,10.062000274658203,-3.0803327560424787,0.53672578525531212,,8.4580949499309384,0.28689199986751185,
,C016,27.781999588012695,,,,21.812000274658203,,,,,,,,,,
,C016,28.072999954223633,,,,21.707000732421875,,,,,,,,,,
,C016,28.094999313354492,0.1747064266136451,27.983332951863606,,21.760000228881836,0.052501,21.759667078653973,,6.223665873209633,-6.9186671574910488,0.182424353388944,,120.98355574746749,0.085996,
,C017,33.417999267578125,,,,19.535999298095703,,,,,,,,,,
,C017,31.551000595092773,,,,19.51300048828125,,,,,,,,,,
,C017,Undetermined,1.3201674217806743,32.484499931335449,,19.458999633789063,0.039526,19.502666473388672,,12.981833457946777,-0.16049957275390447,1.3207590062175296,,1.1176740964022811,0.7059753845374328,
,C018,29.882999420166016,,,,18.172000885009766,,,,,,,,,,
,C018,30.496000289916992,,,,18.125999450683594,,,,,,,,,,
,C018,30.006999969482422,0.32410582529241944,30.128666559855144,,18.14900016784668,0.023001,18.14900016784668,,11.979666392008465,-1.1626666386922171,0.32492094265912835,,2.2387084226520497,0.1531692012691967,
,C019,32.325000762939453,,,,18.361000061035156,,,,,,,,,,
,C019,,,,,18.319000244140625,,,,,,,,,,
,C019,31.733999252319336,0.41790117585097825,32.029500007629395,,18.378000259399414,0.03037,18.352666854858398,,13.676833152770996,0.53450012207031428,0.41900325174353104,,0.690397850505727,0.22396665885264061,
,C020,,,,,18.902999877929688,,,,,,,,,,
,C020,31.496999740600586,,,,18.930999755859375,,,,,,,,,,
,C020,30.778999328613281,0.50770296021095807,31.137999534606934,,18.900999069213867,0.016773,18.911666234334309,,12.226333300272625,-0.91599973042805694,0.50797995571357846,,1.8868761492221573,0.27152670766125864,
,C021,29.753000259399414,,,,18.620000839233398,,,,,,,,,,
,C021,29.266000747680664,,,,18.738000869750977,,,,,,,,,,
,C021,29.591999053955078,0.24811449247681405,29.537000020345051,,18.688999176025391,0.059282,18.68233362833659,,10.854666392008461,-2.2876666386922206,0.25509826601146884,,4.8826576921698157,0.1202544758437596,
,C022,30.517999649047852,,,,17.370000839233398,,,,,,,,,,
,C022,,,,,17.419000625610352,,,,,,,,,,
,C022,30.995000839233398,0.33729077621425424,30.756500244140625,,17.423999786376953,0.029838,17.404333750406902,,13.352166493733723,0.20983346303304096,0.33860799933483915,,0.86463703460277752,0.18099358884742098,
,C023,,,,,18.128000259399414,,,,,,,,,,
,C023,30.191999435424805,,,,18.10099983215332,,,,,,,,,,
,C023,31.936000823974609,1.2331952082423219,31.064000129699707,,18.117000579833984,0.013577,18.115333557128906,,12.948666572570801,-0.19366645812988104,1.2332699467769479,,1.1436665342455765,0.6592105151777532,
,C024,30.834999084472656,,,,19.239999771118164,,,,,,,,,,
,C024,31.364999771118164,,,,19.315999984741211,,,,,,,,,,
,C024,30.659999847412109,0.36709452761789346,30.953332901000977,,19.329999923706055,0.048429,19.295333226521809,,11.657999674479168,-1.484333356221514,0.37027521554235793,,2.7978785823968888,0.17454941054354123,
,C025,30.690999984741211,,,,20.565000534057617,,,,,,,,,,
,C025,31.027000427246094,,,,20.601999282836914,,,,,,,,,,
,C025,30.604999542236328,0.2230011660743367,30.774333318074543,,20.642999649047852,0.039017,20.603333155314129,,10.171000162760414,-2.9713328679402675,0.22638864805278544,,7.8426046105127192,0.10672063214785286,
