,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,
,,IL17A,,,,Bact,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,21.71463,,,,14.02400016784668,,,,,,,,,,
,Kalibraator,21.339352000000002,,,,14.034999847412109,,,,,,,,,,
,,21.693966,0.21095484002317147,21.582649333333336,,14.088000297546387,0.03422,14.049000104268393,,7.5336492290649435,0,0.21371231614866776,,1,0.1007449519812042,
,,,,,,,,,,,,,,,,
,VH001,Undetermined,,,,19.716999053955078,,,,,,,,,,
,VH001,30.049140000000001,,,,19.629999160766602,,,,,,,,,,
,VH001,Undetermined,#DIV/0!,30.049140000000001,,19.670000076293945,0.043547,19.672332763671875,,10.376807236328126,2.8431580072631828,#DIV/0!,,0.13935551397026535,#DIV/0!,
,VT001,Undetermined,,,,20.313999176025391,,,,,,,,,,
,VT001,Undetermined,,,,20.326999664306641,,,,,,,,,,
,VT001,Undetermined,#DIV/0!,#DIV/0!,,20.340999603271484,0.013503,20.327332814534504,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,VH003,Undetermined,,,,20.090000152587891,,,,,,,,,,
,VH003,Undetermined,,,,20.068000793457031,,,,,,,,,,
,VH003,Undetermined,#DIV/0!,#DIV/0!,,19.995000839233398,0.049729,20.051000595092773,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,VT003,Undetermined,,,,18.227616999999999,,,,,,,,,,
,VT003,Undetermined,,,,18.255737,,,,,,,,,,
,VT003,Undetermined,#DIV/0!,#DIV/0!,,18.354378000000001,0.06657,18.279244000000002,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,VH004,Undetermined,,,,18.934999465942383,,,,,,,,,,
,VH004,Undetermined,,,,18.86400032043457,,,,,,,,,,
,VH004,Undetermined,#DIV/0!,#DIV/0!,,18.943000793457031,0.043486,18.914000193277996,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,VT004,Undetermined,,,,19.344999313354492,,,,,,,,,,
,VT004,Undetermined,,,,19.326000213623047,,,,,,,,,,
,VT004,Undetermined,#DIV/0!,#DIV/0!,,19.305999755859375,0.019502,19.325666427612305,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,VH005,Undetermined,,,,19.795000076293945,,,,,,,,,,
,VH005,Undetermined,,,,19.812999725341797,,,,,,,,,,
,VH005,,#DIV/0!,#DIV/0!,,19.847000122070313,0.026407,19.818333307902019,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,VT005,Undetermined,,,,18.232000350952148,,,,,,,,,,
,VT005,Undetermined,,,,18.236000061035156,,,,,,,,,,
,VT005,Undetermined,#DIV/0!,#DIV/0!,,18.23900032043457,0.003512,18.235666910807293,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,VH006,Undetermined,,,,17.775999069213867,,,,,,,,,,
,VH006,Undetermined,,,,17.708000183105469,,,,,,,,,,
,VH006,Undetermined,#DIV/0!,#DIV/0!,,17.858999252319336,0.075624,17.780999501546223,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,VT006,Undetermined,,,,18.020999908447266,,,,,,,,,,
,VT006,Undetermined,,,,17.701000213623047,,,,,,,,,,
,VT006,Undetermined,#DIV/0!,#DIV/0!,,17.775999069213867,0.16735692608543543,17.832666397094727,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,VH007,Undetermined,,,,19.052999496459961,,,,,,,,,,
,VH007,Undetermined,,,,18.917999267578125,,,,,,,,,,
,VH007,Undetermined,#DIV/0!,#DIV/0!,,18.91200065612793,0.079731,18.960999806722004,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,VT007,Undetermined,,,,18.909999847412109,,,,,,,,,,
,VT007,Undetermined,,,,18.934000015258789,,,,,,,,,,
,VT007,Undetermined,#DIV/0!,#DIV/0!,,18.979999542236328,0.035571,18.941333134969074,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,VH009,Undetermined,,,,17.886999130249023,,,,,,,,,,
,VH009,31.836124000000002,,,,17.902999877929687,,,,,,,,,,
,VH009,30.561567,0.90124789770888325,31.198845500000001,,17.871999740600586,0.015503,17.887332916259766,,13.311512583740235,5.7778633546752918,0.90138122279816391,,0.018226,0.481808530083154,
,VT009,Undetermined,,,,18.121999740600586,,,,,,,,,,
,VT009,Undetermined,,,,18.188999176025391,,,,,,,,,,
,VT009,Undetermined,#DIV/0!,#DIV/0!,,18.468999862670898,0.18407353312643679,18.259999593098957,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,VH010,Undetermined,,,,18.409999847412109,,,,,,,,,,
,VH010,Undetermined,,,,18.531000137329102,,,,,,,,,,
,VH010,Undetermined,#DIV/0!,#DIV/0!,,18.521999359130859,0.067412,18.487666447957356,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,VT010,,,,,19.718000411987305,,,,,,,,,,
,VT010,Undetermined,,,,19.792999267578125,,,,,,,,,,
,VT010,Undetermined,#DIV/0!,#DIV/0!,,19.822999954223633,0.054083,19.777999877929688,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,VH011,30.306913000000002,,,,17.521999359130859,,,,,,,,,,
,VH011,Undetermined,,,,17.690000534057617,,,,,,,,,,
,VH011,Undetermined,#DIV/0!,30.306913000000002,,17.625,0.084714,17.612333297729492,,12.694579702270509,5.1609304732055659,#DIV/0!,,0.027952,#DIV/0!,
,VT011,Undetermined,,,,18.193000793457031,,,,,,,,,,
,VT011,Undetermined,,,,18.218000411987305,,,,,,,,,,
,VT011,31.267057000000001,#DIV/0!,31.267057000000001,,18.232000350952148,0.019757,18.21433385213216,,13.052723147867841,5.5190739188028974,#DIV/0!,,0.021807,#DIV/0!,
,VH012,Undetermined,,,,18.278999328613281,,,,,,,,,,
,VH012,Undetermined,,,,18.339000701904297,,,,,,,,,,
,VH012,Undetermined,#DIV/0!,#DIV/0!,,18.302000045776367,0.030272,18.306666692097981,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,VT012,Undetermined,,,,17.981000900268555,,,,,,,,,,
,VT012,Undetermined,,,,18.006999969482422,,,,,,,,,,
,VT012,Undetermined,#DIV/0!,#DIV/0!,,17.992000579833984,0.013051,17.99333381652832,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,VH013,Undetermined,,,,18.184999465942383,,,,,,,,,,
,VH013,Undetermined,,,,18.204000473022461,,,,,,,,,,
,VH013,Undetermined,#DIV/0!,#DIV/0!,,18.224000930786133,0.019503,18.204333623250324,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,VT013,Undetermined,,,,17.819999694824219,,,,,,,,,,
,VT013,Undetermined,,,,17.742000579833984,,,,,,,,,,
,VT013,Undetermined,#DIV/0!,#DIV/0!,,17.878999710083008,0.068719,17.813666661580402,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,VH014,Undetermined,,,,19.875999450683594,,,,,,,,,,
,VH014,Undetermined,,,,19.922000885009766,,,,,,,,,,
,VH014,Undetermined,#DIV/0!,#DIV/0!,,19.934999465942383,0.031,19.910999933878582,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,VT014,Undetermined,,,,18.382999420166016,,,,,,,,,,
,VT014,Undetermined,,,,18.409999847412109,,,,,,,,,,
