,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,
,,IL17F,,,,Bact,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,26.619886000000001,,,,14.02400016784668,,,,,,,,,,
,Kalibraator,Undetermined,,,,14.034999847412109,,,,,,,,,,
,,27.533280000000001,0.64586709129530495,27.076582999999999,,14.088000297546387,0.03422,14.049000104268393,,13.027582895731607,0,0.64677299662453747,,1,0.34571470862658832,
,,,,,,,,,,,,,,,,
,C001,32.387430000000002,,,,19.330999374389648,,,,,,,,,,
,C001,34.847250000000003,,,,19.381000518798828,,,,,,,,,,
,C001,Undetermined,1.7393554024983116,33.617339999999999,,19.308000564575195,0.037323,19.340000152587891,,14.277339847412108,1.2497569516805012,1.7397557946549156,,0.42051904577054511,0.92993858860761902,
,C002,Undetermined,,,,17.597000122070313,,,,,,,,,,
,C002,Undetermined,,,,17.632999420166016,,,,,,,,,,
,C002,Undetermined,#DIV/0!,#DIV/0!,,17.625999450683594,0.019087,17.618666330973308,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,C003,Undetermined,,,,17.923000335693359,,,,,,,,,,
,C003,Undetermined,,,,17.88599967956543,,,,,,,,,,
,C003,Undetermined,#DIV/0!,#DIV/0!,,17.900999069213867,0.01861,17.903333028157551,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,C004,32.51052,,,,16.253000259399414,,,,,,,,,,
,C004,Undetermined,,,,16.302000045776367,,,,,,,,,,
,C004,Undetermined,#DIV/0!,32.51052,,16.329000473022461,0.038527,16.294666926066082,,16.215853073933918,3.1882701782023108,#DIV/0!,,0.1097071775565881,#DIV/0!,
,C005,Undetermined,,,,16.190999984741211,,,,,,,,,,
,C005,,,,,16.264999389648438,,,,,,,,,,
,C005,Undetermined,#DIV/0!,#DIV/0!,,16.538999557495117,0.18332835139144005,16.331666310628254,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,C006,,,,,17.933000564575195,,,,,,,,,,
,C006,34.225403,,,,17.965000152587891,,,,,,,,,,
,C006,Undetermined,#DIV/0!,34.225403,,18.054000854492188,0.062698,17.98400052388509,,16.24140247611491,3.2138195803833032,#DIV/0!,,0.10778142114317935,#DIV/0!,
,C007,28.227792999999998,,,,17.551000595092773,,,,,,,,,,
,C007,,,,,17.541000366210938,,,,,,,,,,
,C007,Undetermined,#DIV/0!,28.227792999999998,,17.596000671386719,0.029297,17.562667210896809,,10.66512578910319,-2.3624571066284172,#DIV/0!,,5.1424544382088637,#DIV/0!,
,C008,Undetermined,,,,18.277000427246094,,,,,,,,,,
,C008,,,,,18.302000045776367,,,,,,,,,,
,C008,Undetermined,#DIV/0!,#DIV/0!,,18.326999664306641,0.025,18.302000045776367,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,C009,Undetermined,,,,18.665000915527344,,,,,,,,,,
,C009,Undetermined,,,,18.716999053955078,,,,,,,,,,
,C009,Undetermined,#DIV/0!,#DIV/0!,,18.617000579833984,0.050013,18.666333516438801,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,C010,Undetermined,,,,18.503000259399414,,,,,,,,,,
,C010,Undetermined,,,,18.485000610351562,,,,,,,,,,
,C010,33.712986000000001,#DIV/0!,33.712986000000001,,18.561000823974609,0.039716,18.516333897908527,,15.196652102091473,2.1690692063598664,#DIV/0!,,0.22235408176037158,#DIV/0!,
,C011,,,,,19.83799934387207,,,,,,,,,,
,C011,Undetermined,,,,19.743000030517578,,,,,,,,,,
,C011,Undetermined,#DIV/0!,#DIV/0!,,19.736000061035156,0.056976,19.772333145141602,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,C012,Undetermined,,,,17.965999603271484,,,,,,,,,,
,C012,Undetermined,,,,18,,,,,,,,,,
,C012,Undetermined,#DIV/0!,#DIV/0!,,18.343999862670898,0.20911564926343351,18.103333155314129,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,C013,Undetermined,,,,19.829999923706055,,,,,,,,,,
,C013,Undetermined,,,,19.865999221801758,,,,,,,,,,
,C013,Undetermined,#DIV/0!,#DIV/0!,,19.913000106811523,0.041621,19.869666417439777,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,C014,Undetermined,,,,18.663000106811523,,,,,,,,,,
,C014,Undetermined,,,,18.768999099731445,,,,,,,,,,
,C014,Undetermined,#DIV/0!,#DIV/0!,,18.669000625610352,0.059542,18.700333277384441,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,C015,Undetermined,,,,19.392999649047852,,,,,,,,,,
,C015,Undetermined,,,,19.430999755859375,,,,,,,,,,
,C015,Undetermined,#DIV/0!,#DIV/0!,,19.447999954223633,0.02816,19.423999786376953,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,C016,Undetermined,,,,21.812000274658203,,,,,,,,,,
,C016,Undetermined,,,,21.707000732421875,,,,,,,,,,
,C016,Undetermined,#DIV/0!,#DIV/0!,,21.760000228881836,0.052501,21.759667078653973,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,C017,Undetermined,,,,19.535999298095703,,,,,,,,,,
,C017,Undetermined,,,,19.51300048828125,,,,,,,,,,
