,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,
,,IL1F6,,,,Bact,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,29.16200065612793,,,,14.02400016784668,,,,,,,,,,
,Kalibraator,29.809000015258789,,,,14.034999847412109,,,,,,,,,,
,,29.482999801635742,0.3235029009181527,29.48466682434082,,14.088000297546387,0.03422,14.049000104268393,,15.435666720072428,0,0.32530775651202409,,1,0.15335154706815635,
,,,,,,,,,,,,,,,,
,VH001,29.034000396728516,,,,19.716999053955078,,,,,,,,,,
,VH001,29.195999145507813,,,,19.629999160766602,,,,,,,,,,
,VH001,28.929000854492187,0.13450934656568206,29.05300013224284,,19.670000076293945,0.043547,19.672332763671875,,9.3806673685709647,-6.0549993515014631,0.14138278091772954,,66.486952724830573,0.066648,
,VT001,32.265998840332031,,,,20.313999176025391,,,,,,,,,,
,VT001,32.340999603271484,,,,20.326999664306641,,,,,,,,,,
,VT001,,0.053034,32.303499221801758,,20.340999603271484,0.013503,20.327332814534504,,11.976166407267254,-3.459500312805174,0.054726,,11.00052377932645,0.029252,
,VH003,29.176000595092773,,,,20.090000152587891,,,,,,,,,,
,VH003,28.763999938964844,,,,20.068000793457031,,,,,,,,,,
,VH003,29.356000900268555,0.30348250600260768,29.098667144775391,,19.995000839233398,0.049729,20.051000595092773,,9.0476665496826172,-6.3880001703898106,0.30752984227940733,,83.749006464314633,0.14497095792866557,
,VT003,,,,,18.227616999999999,,,,,,,,,,
,VT003,28.923999786376953,,,,18.255737,,,,,,,,,,
,VT003,28.908000946044922,0.011313,28.916000366210938,,18.354378000000001,0.06657,18.279244000000002,,10.636756366210935,-4.7989103538614923,0.067524,,27.836585524070582,0.036093,
,VH004,29.365999221801758,,,,18.934999465942383,,,,,,,,,,
,VH004,29.059999465942383,,,,18.86400032043457,,,,,,,,,,
,VH004,28.714000701904297,0.32620368515441012,29.046666463216145,,18.943000793457031,0.043486,18.914000193277996,,10.132666269938149,-5.3030004501342791,0.32908941031592864,,39.478641751605601,0.15513423576738355,
,VT004,28.891000747680664,,,,19.344999313354492,,,,,,,,,,
,VT004,29.201000213623047,,,,19.326000213623047,,,,,,,,,,
,VT004,29.055999755859375,0.15510720719134624,29.049333572387695,,19.305999755859375,0.019502,19.325666427612305,,9.7236671447753906,-5.7119995752970372,0.15632840641971846,,52.418333232030683,0.073694,
,VH005,29.937000274658203,,,,19.795000076293945,,,,,,,,,,
,VH005,,,,,19.812999725341797,,,,,,,,,,
,VH005,29.913999557495117,0.016264,29.92549991607666,,19.847000122070313,0.026407,19.818333307902019,,10.107166608174641,-5.3285001118977871,0.031014,,40.182630662216063,0.016578,
,VT005,28.079000473022461,,,,18.232000350952148,,,,,,,,,,
,VT005,28.74799919128418,,,,18.236000061035156,,,,,,,,,,
,VT005,28.517999649047852,0.33989688412204766,28.448333104451496,,18.23900032043457,0.003512,18.235666910807293,,10.212666193644203,-5.2230005264282244,0.33991502610339419,,37.349072886575328,0.16023747998994159,
,VH006,27.931999206542969,,,,17.775999069213867,,,,,,,,,,
,VH006,27.847999572753906,,,,17.708000183105469,,,,,,,,,,
,VH006,27.812000274658203,0.061579,27.863999684651692,,17.858999252319336,0.075624,17.780999501546223,,10.083000183105469,-5.352666536966959,0.097524,,40.861394542367265,0.045973,
,VT006,27.368000030517578,,,,18.020999908447266,,,,,,,,,,
,VT006,27.454000473022461,,,,17.701000213623047,,,,,,,,,,
,VT006,27.743999481201172,0.19700722819631991,27.521999994913738,,17.775999069213867,0.16735692608543543,17.832666397094727,,9.6893335978190116,-5.7463331222534162,0.25849601287130669,,53.680757407853079,0.12185618907399071,
,VH007,27.784000396728516,,,,19.052999496459961,,,,,,,,,,
,VH007,27.464000701904297,,,,18.917999267578125,,,,,,,,,,
,VH007,27.398000717163086,0.20645885598894875,27.548667271931965,,18.91200065612793,0.079731,18.960999806722004,,8.5876674652099609,-6.8479992548624669,0.22131925409915915,,115.20018751381163,0.1043308969204427,
,VT007,28.902000427246094,,,,18.909999847412109,,,,,,,,,,
,VT007,28.715000152587891,,,,18.934000015258789,,,,,,,,,,
,VT007,28.434999465942383,0.23503878584281551,28.684000015258789,,18.979999542236328,0.035571,18.941333134969074,,9.7426668802897147,-5.6929998397827131,0.23771527328476366,,51.732529858443286,0.11206005448751316,
,VH009,27.840000152587891,,,,17.886999130249023,,,,,,,,,,
,VH009,27.797000885009766,,,,17.902999877929687,,,,,,,,,,
,VH009,28.155000686645508,0.19546446029888881,27.930667241414387,,17.871999740600586,0.015503,17.887332916259766,,10.043334325154621,-5.3923323949178066,0.19607827755355103,,42.000435873892322,0.092432,
,VT009,28.069000244140625,,,,18.121999740600586,,,,,,,,,,
,VT009,28.024999618530273,,,,18.188999176025391,,,,,,,,,,
,VT009,28.114999771118164,0.045004,28.069666544596355,,18.468999862670898,0.18407353312643679,18.259999593098957,,9.8096669514973982,-5.6259997685750296,0.18949513300170351,,49.384957679966895,0.089329,
,VH010,,,,,18.409999847412109,,,,,,,,,,
,VH010,27.715000152587891,,,,18.531000137329102,,,,,,,,,,
,VH010,27.780000686645508,0.045962,27.747500419616699,,18.521999359130859,0.067412,18.487666447957356,,9.2598339716593436,-6.1758327484130842,0.08159,,72.295440038753043,0.043611,
,VT010,30.591999053955078,,,,19.718000411987305,,,,,,,,,,
,VT010,,,,,19.792999267578125,,,,,,,,,,
,VT010,30.305999755859375,0.20223204309806453,30.448999404907227,,19.822999954223633,0.054083,19.777999877929688,,10.670999526977539,-4.7646671930948887,0.20933886760572268,,27.183648411774062,0.11189633147369206,
,VH011,27.038999557495117,,,,17.521999359130859,,,,,,,,,,
,VH011,27.054000854492188,,,,17.690000534057617,,,,,,,,,,
,VH011,27.051000595092773,0.007938,27.048000335693359,,17.625,0.084714,17.612333297729492,,9.4356670379638672,-5.9999996821085606,0.085085,,63.999985897885999,0.040109,
,VT011,27.606000900268555,,,,18.193000793457031,,,,,,,,,,
,VT011,27.478000640869141,,,,18.218000411987305,,,,,,,,,,
,VT011,27.788999557495117,0.15630786986775669,27.62433369954427,,18.232000350952148,0.019757,18.21433385213216,,9.4099998474121094,-6.0256668726603184,0.15755149729430631,,65.148807779401821,0.07427,
,VH012,27.198999404907227,,,,18.278999328613281,,,,,,,,,,
,VH012,27.386999130249023,,,,18.339000701904297,,,,,,,,,,
,VH012,27.183000564575195,0.11344255111254922,27.256333033243816,,18.302000045776367,0.030272,18.306666692097981,,8.9496663411458357,-6.4860003789265921,0.11741203853542265,,89.635628079745899,0.055349,
,VT012,27.034999847412109,,,,17.981000900268555,,,,,,,,,,
,VT012,26.642999649047852,,,,18.006999969482422,,,,,,,,,,
,VT012,27.507999420166016,0.4331314956948249,27.061999638875324,,17.992000579833984,0.013051,17.99333381652832,,9.068665822347004,-6.3670008977254238,0.43332806694569803,,82.538819402223652,0.20427280974384091,
,VH013,,,,,18.184999465942383,,,,,,,,,,
,VH013,27.892999649047852,,,,18.204000473022461,,,,,,,,,,
,VH013,27.915000915527344,0.015557,27.904000282287598,,18.224000930786133,0.019503,18.204333623250324,,9.6996666590372733,-5.7360000610351545,0.024948,,53.297651591183921,0.013335,
,VT013,27.620000839233398,,,,17.819999694824219,,,,,,,,,,
,VT013,27.830999374389648,,,,17.742000579833984,,,,,,,,,,
,VT013,27.729000091552734,0.10551861805980207,27.726666768391926,,17.878999710083008,0.068719,17.813666661580402,,9.9130001068115234,-5.5226666132609044,0.12592239539513242,,45.971461057212942,0.05936,
,VH014,30.131999969482422,,,,19.875999450683594,,,,,,,,,,
,VH014,30.698999404907227,,,,19.922000885009766,,,,,,,,,,
,VH014,30.5,0.28766680534558725,30.443666458129883,,19.934999465942383,0.031,19.910999933878582,,10.532666524251301,-4.9030001958211269,0.28933234703747412,,29.919210389066347,0.13639257640454497,
,VT014,28.312000274658203,,,,18.382999420166016,,,,,,,,,,
,VT014,28.141000747680664,,,,18.409999847412109,,,,,,,,,,
,VT014,28.507999420166016,0.18364119403170642,28.320333480834961,,18.464000701904297,0.041244,18.418999989827473,,9.9013334910074882,-5.5343332290649396,0.18821567941812017,,46.344724835618806,0.088726,
,VH015,28.927999496459961,,,,18.521999359130859,,,,,,,,,,
,VH015,28.638999938964844,,,,18.576999664306641,,,,,,,,,,
,VH015,28.458999633789063,0.23660153749890325,28.675333023071289,,18.819999694824219,0.15857608503730694,18.639666239420574,,10.035666783650715,-5.3999999364217128,0.28482742545724793,,42.224251283947375,0.13426893600581727,
,VT015,28.364999771118164,,,,19.312999725341797,,,,,,,,,,
,VT015,28.903999328613281,,,,19.330999374389648,,,,,,,,,,
,VT015,28.978000640869141,0.33460593327836657,28.748999913533527,,19.374000549316406,0.031343,19.339333216349285,,9.4096666971842424,-6.0260000228881854,0.33607067025826304,,65.163853818752514,0.15842523326501731,
,VH016,27.919000625610352,,,,17.930000305175781,,,,,,,,,,
,VH016,27.66200065612793,,,,18.02400016784668,,,,,,,,,,
,VH016,28.108999252319336,0.22433464863231259,27.896666844685871,,18.034999847412109,0.057709,17.996333440144856,,9.9003334045410156,-5.5353333155314122,0.23163839580418846,,46.376862466326983,0.1091953869708768,
,VT016,27.586999893188477,,,,17.951999664306641,,,,,,,,,,
,VT016,27.569000244140625,,,,18.006999969482422,,,,,,,,,,
,VT016,27.750999450683594,0.10028588585199004,27.635666529337566,,18.246000289916992,0.15630235368051926,18.068333307902019,,9.5673332214355469,-5.8683334986368809,0.18570860148950696,,58.417693752799849,0.087544,
,VH017,,,,,20.243000030517578,,,,,,,,,,
,VH017,30.202999114990234,,,,20.357999801635742,,,,,,,,,,
,VH017,30.358999252319336,0.11030875497144038,30.280999183654785,,20.327999114990234,0.059652,20.309666315714519,,9.9713328679402657,-5.4643338521321621,0.12540465266336642,,44.149764954577705,0.067032,
,VT017,29.187000274658203,,,,20.297000885009766,,,,,,,,,,
,VT017,29.406999588012695,,,,20.277000427246094,,,,,,,,,,
,VT017,29.669000625610352,0.241304986789276,29.421000162760418,,20.506000518798828,0.12683447688876462,20.360000610351563,,9.0609995524088554,-6.3746671676635724,0.27260792574138271,,82.97858598051539,0.12850860859795368,
,VH018,28.579000473022461,,,,20.106000900268555,,,,,,,,,,
,VH018,28.427999496459961,,,,20.059999465942383,,,,,,,,,,
,VH018,,0.10677381449313468,28.503499984741211,,20.076000213623047,0.023353,20.08066685994466,,8.4228331247965507,-7.0128335952758771,0.10929782084904023,,129.14371245427046,0.058422,
,VT018,29.089000701904297,,,,19.590999603271484,,,,,,,,,,
,VT018,29.281000137329102,,,,19.569999694824219,,,,,,,,,,
,VT018,28.756999969482422,0.26509886377081215,29.042333602905273,,19.694999694824219,0.066935,19.618666330973308,,9.423667271931965,-6.0119994481404628,0.27341862306520148,,64.534532427507571,0.12889077498139503,
