,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,
,,IL1RN,,,,Bact,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,24.927000045776367,,,,14.02400016784668,,,,,,,,,,
,Kalibraator,25.025999069213867,,,,14.034999847412109,,,,,,,,,,
,,24.867000579833984,0.080292,24.939999898274738,,14.088000297546387,0.03422,14.049000104268393,,10.890999794006346,0,0.087281,,1,0.041144,
,,,,,,,,,,,,,,,,
,PH001,21.111000061035156,,,,17.246000289916992,,,,,,,,,,
,PH001,21.101999282836914,,,,17.49799919128418,,,,,,,,,,
,PH001,21.075000762939453,0.018734,21.09600003560384,,17.200000762939453,0.16042779583993227,17.314666748046875,,3.781333287556965,-7.1096665064493809,0.16151798125728126,,138.10928522418283,0.07614,
,PT001,23.139999389648438,,,,19.156000137329102,,,,,,,,,,
,PT001,23.180000305175781,,,,19.131999969482422,,,,,,,,,,
,PT001,23.08799934387207,0.046131,23.13599967956543,,19.141000747680664,0.012124,19.14300028483073,,3.9929993947346993,-6.8980003992716465,0.047697,,119.26280795746747,0.022485,
,PH002,21.878999710083008,,,,17.496000289916992,,,,,,,,,,
,PH002,21.663000106811523,,,,17.554000854492187,,,,,,,,,,
,PH002,21.76300048828125,0.10809850782669086,21.768333435058594,,17.531999588012695,0.02928,17.527333577473957,,4.2409998575846366,-6.6499999364217093,0.11199389495806547,,100.4267601050657,0.052794,
,PT002,23.169000625610352,,,,17.917999267578125,,,,,,,,,,
,PT002,23.152999877929688,,,,17.933000564575195,,,,,,,,,,
,PT002,23.304000854492188,0.082948,23.208667119344074,,17.934999465942383,0.009292,17.928666432698567,,5.2800006866455078,-5.6109991073608381,0.083467,,48.874129694827239,0.039347,
,PH003,21.542999267578125,,,,16.947999954223633,,,,,,,,,,
,PH003,21.586000442504883,,,,16.936000823974609,,,,,,,,,,
,PH003,21.604000091552734,0.031343,21.577666600545246,,17.041999816894531,0.058046,16.97533353169759,,4.6023330688476562,-6.2886667251586896,0.065967,,78.176696938203364,0.031097,
,PT003,22.958999633789063,,,,17.853000640869141,,,,,,,,,,
,PT003,22.930999755859375,,,,17.919000625610352,,,,,,,,,,
,PT003,22.996000289916992,0.032604,22.961999893188477,,17.940999984741211,0.045796,17.904333750406902,,5.0576661427815743,-5.8333336512247715,0.056217,,57.017530524539659,0.026501,
,PH004,22.635000228881836,,,,17.454000473022461,,,,,,,,,,
,PH004,22.680000305175781,,,,,,,,,,,,,,
,PH004,22.705999374389648,0.035921,22.67366663614909,,17.577999114990234,0.08768,17.515999794006348,,5.1576668421427421,-5.7333329518636038,0.094753,,53.199211286484783,0.047377,
,PT004,22.968000411987305,,,,17.952999114990234,,,,,,,,,,
,PT004,23.035999298095703,,,,18,,,,,,,,,,
,PT004,23,0.034019,23.001333236694336,,18.125999450683594,0.089456,18.026332855224609,,4.9750003814697266,-5.9159994125366193,0.095706,,60.380023470637852,0.045116,
,PH005,20.754999160766602,,,,17.570999145507812,,,,,,,,,,
,PH005,20.72599983215332,,,,17.243999481201172,,,,,,,,,,
,PH005,20.774999618530273,0.024637,20.751999537150066,,17.141000747680664,0.22451285846524058,17.318666458129883,,3.4333330790201835,-7.4576667149861624,0.22586061340760716,,175.78482415703178,0.10647171422898152,
,PT005,22.416000366210937,,,,17.885000228881836,,,,,,,,,,
,PT005,22.444000244140625,,,,17.926000595092773,,,,,,,,,,
,PT005,22.444000244140625,0.016166,22.434666951497395,,17.893999099731445,0.021549,17.901666641235352,,4.5330003102620431,-6.3579994837443028,0.026938,,82.025437794167573,0.012699,
,PH006,21.302000045776367,,,,16.433000564575195,,,,,,,,,,
,PH006,21.312000274658203,,,,16.763999938964844,,,,,,,,,,
,PH006,21.312000274658203,0.005774,21.308666865030926,,16.48699951171875,0.17757895372357421,16.561333338419598,,4.7473335266113281,-6.1436662673950178,0.17767278819444754,,70.701370083375721,0.083756,
,PT006,24.396999359130859,,,,19.090000152587891,,,,,,,,,,
,PT006,24.155000686645508,,,,19.093999862670898,,,,,,,,,,
