,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,
,,IL1B,,,,Bact,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,22.295999526977539,,,,14.02400016784668,,,,,,,,,,
,Kalibraator,22.270000457763672,,,,14.034999847412109,,,,,,,,,,
,,22.37700080871582,0.055807,22.314333597819012,,14.088000297546387,0.03422,14.049000104268393,,8.2653334935506191,0,0.065463,,1,0.030859,
,,,,,,,,,,,,,,,,
,C001,31.562000274658203,,,,19.330999374389648,,,,,,,,,,
,C001,31.01099967956543,,,,19.381000518798828,,,,,,,,,,
,C001,31.118000030517578,0.29217202344207199,31.23033332824707,,19.308000564575195,0.037323,19.340000152587891,,11.89033317565918,3.6249996821085606,0.29454626142174722,,8.1052490025242035E-2,0.13885043921630871,
,C002,30.971000671386719,,,,17.597000122070313,,,,,,,,,,
,C002,31.139999389648437,,,,17.632999420166016,,,,,,,,,,
,C002,31.406999588012695,0.2198274808418646,31.172666549682617,,17.625999450683594,0.019087,17.618666330973308,,13.554000218709309,5.2886667251586896,0.22065457095342533,,2.5583071149462185E-2,0.10401756228065018,
,C003,26.73900032043457,,,,17.923000335693359,,,,,,,,,,
,C003,26.597000122070313,,,,17.88599967956543,,,,,,,,,,
,C003,26.652999877929688,0.071526,26.663000106811523,,17.900999069213867,0.01861,17.903333028157551,,8.7596670786539725,0.49433358510335346,0.073908,,0.70988951710216863,0.03484,
,C004,26.885000228881836,,,,16.253000259399414,,,,,,,,,,
,C004,27.113000869750977,,,,16.302000045776367,,,,,,,,,,
,C004,27.062999725341797,0.11983893873234339,27.020333607991535,,16.329000473022461,0.038527,16.294666926066082,,10.725666681925453,2.4603331883748343,0.12587974554190831,,0.18170459540009254,0.05934,
,C005,,,,,16.190999984741211,,,,,,,,,,
,C005,31.163000106811523,,,,16.264999389648438,,,,,,,,,,
,C005,30.811000823974609,0.24890107986678345,30.987000465393066,,16.538999557495117,0.18332835139144005,16.331666310628254,,14.655334154764812,6.3900006612141933,0.30912947446459099,,1.1923894605058598E-2,0.16523665451428335,
,C006,31.21299934387207,,,,17.933000564575195,,,,,,,,,,
,C006,30.96299934387207,,,,17.965000152587891,,,,,,,,,,
,C006,30.916000366210938,0.15964402934495114,31.030666351318359,,18.054000854492188,0.062698,17.98400052388509,,13.046665827433269,4.7813323338826503,0.17151455981217534,,3.6364326483699985E-2,0.080853,
,C007,28.78700065612793,,,,17.551000595092773,,,,,,,,,,
,C007,28.964000701904297,,,,17.541000366210938,,,,,,,,,,
,C007,29.181999206542969,0.19785357340700019,28.977666854858398,,17.596000671386719,0.029297,17.562667210896809,,11.41499964396159,3.1496661504109706,0.20001094306441267,,0.11268238029002497,0.094286,
,C008,31.339000701904297,,,,18.277000427246094,,,,,,,,,,
,C008,30.881999969482422,,,,18.302000045776367,,,,,,,,,,
,C008,,0.32314831690272672,31.110500335693359,,18.326999664306641,0.025,18.302000045776367,,12.808500289916992,4.5431667963663731,0.32411389301250926,,4.2891429321847328E-2,0.17324616313518776,
,C009,30.156999588012695,,,,18.665000915527344,,,,,,,,,,
,C009,,,,,18.716999053955078,,,,,,,,,,
,C009,30.922000885009766,0.54093760472313246,30.53950023651123,,18.617000579833984,0.050013,18.666333516438801,,11.87316672007243,3.6078332265218105,0.54324464818268436,,8.2022684568714907E-2,0.29037647867116456,
,C010,28.493000030517578,,,,18.503000259399414,,,,,,,,,,
,C010,28.547000885009766,,,,18.485000610351562,,,,,,,,,,
,C010,,0.038184,28.520000457763672,,18.561000823974609,0.039716,18.516333897908527,,10.003666559855144,1.7383330663045253,0.055094,,0.299715776885912,0.029449,
,C011,,,,,19.83799934387207,,,,,,,,,,
,C011,33.492000579833984,,,,19.743000030517578,,,,,,,,,,
,C011,33.481998443603516,0.007073,33.48699951171875,,19.736000061035156,0.056976,19.772333145141602,,13.714666366577148,5.4493328730265294,0.057413,,2.2886919857532773E-2,0.030689,
,C012,29.815000534057617,,,,17.965999603271484,,,,,,,,,,
,C012,29.354999542236328,,,,18,,,,,,,,,,
,C012,29.846000671386719,0.27496788594837052,29.672000249226887,,18.343999862670898,0.20911564926343351,18.103333155314129,,11.568667093912758,3.303333600362139,0.34545143373531312,,0.10129721390211313,0.16284736757657012,
,C013,30.457000732421875,,,,19.829999923706055,,,,,,,,,,
,C013,,,,,19.865999221801758,,,,,,,,,,
,C013,33.307998657226563,2.015959965778169,31.882499694824219,,19.913000106811523,0.041621,19.869666417439777,,12.012833277384441,3.7474997838338222,2.0163895773044671,,7.4454363682483926E-2,1.0778055652193206,
,C014,29.079000473022461,,,,18.663000106811523,,,,,,,,,,
,C014,28.952999114990234,,,,18.768999099731445,,,,,,,,,,
,C014,,0.089096,29.015999794006348,,18.669000625610352,0.059542,18.700333277384441,,10.315666516621906,2.0503330230712873,0.10716071592887622,,0.24142834592703208,0.05728,
,C015,30.731000900268555,,,,19.392999649047852,,,,,,,,,,
,C015,30.246999740600586,,,,19.430999755859375,,,,,,,,,,
,C015,30.915000915527344,0.3450455761873355,30.631000518798828,,19.447999954223633,0.02816,19.423999786376953,,11.207000732421875,2.9416672388712559,0.34619280425562537,,0.13015771744342663,0.16319685299142653,
,C016,32.867000579833984,,,,21.812000274658203,,,,,,,,,,
,C016,32.2239990234375,,,,21.707000732421875,,,,,,,,,,
,C016,32.347999572753906,0.34112294536055282,32.479666392008461,,21.760000228881836,0.052501,21.759667078653973,,10.719999313354489,2.4546658198038696,0.34513935310353128,,0.18241979313879356,0.16270025135589686,
,C017,,,,,19.535999298095703,,,,,,,,,,
,C017,31.416000366210937,,,,19.51300048828125,,,,,,,,,,
,C017,30.718999862670898,0.49285378254359985,31.067500114440918,,19.458999633789063,0.039526,19.502666473388672,,11.564833641052246,3.299500147501627,0.49443622636414686,,0.10156673341231108,0.26428727980914896,
,C018,30.520000457763672,,,,18.172000885009766,,,,,,,,,,
,C018,30.202999114990234,,,,18.125999450683594,,,,,,,,,,
,C018,,0.22415379912033881,30.361499786376953,,18.14900016784668,0.023001,18.14900016784668,,12.212499618530273,3.9471661249796544,0.22533077608284555,,6.483128034445286E-2,0.12044436611398343,
,C019,32.404998779296875,,,,18.361000061035156,,,,,,,,,,
,C019,33.423000335693359,,,,18.319000244140625,,,,,,,,,,
,C019,Undetermined,0.71983580378641365,32.913999557495117,,18.378000259399414,0.03037,18.352666854858398,,14.561332702636719,6.2959992090860997,0.72047617351780258,,1.2726687649991604E-2,0.38511071380535855,
,C020,32.514999389648438,,,,18.902999877929688,,,,,,,,,,
,C020,32.478000640869141,,,,18.930999755859375,,,,,,,,,,
,C020,,0.026162,32.496500015258789,,18.900999069213867,0.016773,18.911666234334309,,13.58483378092448,5.3195002873738613,0.031077,,2.5042106117061383E-2,0.016611,
,C021,,,,,18.620000839233398,,,,,,,,,,
,C021,29.930000305175781,,,,18.738000869750977,,,,,,,,,,
,C021,30.117000579833984,0.13222916229456233,30.023500442504883,,18.688999176025391,0.059282,18.68233362833659,,11.341166814168293,3.075833320617674,0.14490988684749159,,0.11859924076793056,0.077458,
,C022,26.531999588012695,,,,17.370000839233398,,,,,,,,,,
,C022,26.423999786376953,,,,17.419000625610352,,,,,,,,,,
,C022,26.878000259399414,0.23716971815473664,26.61133321126302,,17.423999786376953,0.029838,17.404333750406902,,9.2069994608561174,0.94166596730549834,0.23903929531339718,,0.52063132864870054,0.11268420445743792,
,C023,26.215999603271484,,,,18.128000259399414,,,,,,,,,,
,C023,26.381999969482422,,,,18.10099983215332,,,,,,,,,,
,C023,26.354000091552734,0.088867,26.317333221435547,,18.117000579833984,0.013577,18.115333557128906,,8.2019996643066406,-0.063334,0.089898,,1.0448775120260285,0.042378,
,C024,30.093000411987305,,,,19.239999771118164,,,,,,,,,,
,C024,30.179000854492188,,,,19.315999984741211,,,,,,,,,,
,C024,29.63800048828125,0.2907181919899593,29.970000584920246,,19.329999923706055,0.048429,19.295333226521809,,10.674667358398438,2.4093338648478184,0.29472429521816845,,0.18824274062797805,0.13893436515279525,
,C025,28.770000457763672,,,,20.565000534057617,,,,,,,,,,
,C025,28.697999954223633,,,,20.601999282836914,,,,,,,,,,
,C025,29.183000564575195,0.26171828135667086,28.8836669921875,,20.642999649047852,0.039017,20.603333155314129,,8.2803338368733712,0.015,0.2646105793292165,,0.98965642090347572,0.12473862334492659,
