,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,
,,IL20RA,,,,Bact,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,24.559000015258789,,,,14.02400016784668,,,,,,,,,,
,Kalibraator,24.517000198364258,,,,14.034999847412109,,,,,,,,,,
,,24.562000274658203,0.025159,24.546000162760418,,14.088000297546387,0.03422,14.049000104268393,,10.497000058492025,0,0.042474,,1,0.020022,
,,,,,,,,,,,,,,,,
,C001,26.648000717163086,,,,19.330999374389648,,,,,,,,,,
,C001,26.49799919128418,,,,19.381000518798828,,,,,,,,,,
,C001,26.673000335693359,0.094649,26.606333414713543,,19.308000564575195,0.037323,19.340000152587891,,7.2663332621256522,-3.2306667963663731,0.10174223332269924,,9.3870171582795034,0.047962,
,C002,25.649999618530273,,,,17.597000122070313,,,,,,,,,,
,C002,25.597999572753906,,,,17.632999420166016,,,,,,,,,,
,C002,25.711999893188477,0.057073,25.653333028157551,,17.625999450683594,0.019087,17.618666330973308,,8.0346666971842424,-2.4623333613077829,0.06018,,5.5110734736272109,0.028369,
,C003,25.187000274658203,,,,17.923000335693359,,,,,,,,,,
,C003,25.177999496459961,,,,17.88599967956543,,,,,,,,,,
,C003,25.254999160766602,0.042099,25.206666310628254,,17.900999069213867,0.01861,17.903333028157551,,7.3033332824707031,-3.1936667760213222,0.046029,,9.1493342899795422,0.021698,
,C004,24.764999389648438,,,,16.253000259399414,,,,,,,,,,
,C004,24.854000091552734,,,,16.302000045776367,,,,,,,,,,
,C004,24.729999542236328,0.06393,24.782999674479168,,16.329000473022461,0.038527,16.294666926066082,,8.4883327484130859,-2.0086673100789394,0.074642,,4.0241032163873705,0.035186,
,C005,25.649999618530273,,,,16.190999984741211,,,,,,,,,,
,C005,25.700000762939453,,,,16.264999389648438,,,,,,,,,,
,C005,25.805000305175781,0.07911,25.718333562215168,,16.538999557495117,0.18332835139144005,16.331666310628254,,9.3866672515869141,-1.1103328069051113,0.19966886659169181,,2.1589544521801312,0.094125,
,C006,26.665000915527344,,,,17.933000564575195,,,,,,,,,,
,C006,26.635000228881836,,,,17.965000152587891,,,,,,,,,,
,C006,27.274999618530273,0.36115501695136187,26.858333587646484,,18.054000854492188,0.062698,17.98400052388509,,8.8743330637613944,-1.6226669947306309,0.36655691835131299,,3.0794378139447538,0.17279658843803805,
,C007,Undetermined,,,,17.551000595092773,,,,,,,,,,
,C007,31.070999145507812,,,,17.541000366210938,,,,,,,,,,
,C007,31.443000793457031,0.26304488787746333,31.256999969482422,,17.596000671386719,0.029297,17.562667210896809,,13.694332758585613,3.1973327000935878,0.26467140736026579,,0.10902019416086978,0.14147281805962764,
,C008,26.221000671386719,,,,18.277000427246094,,,,,,,,,,
,C008,25.98699951171875,,,,18.302000045776367,,,,,,,,,,
,C008,26.180999755859375,0.12516170253955614,26.129666646321613,,18.326999664306641,0.025,18.302000045776367,,7.8276666005452462,-2.6693334579467791,0.12763397944614718,,6.3613521715872228,0.060167,
,C009,26.322999954223633,,,,18.665000915527344,,,,,,,,,,
,C009,26.465999603271484,,,,18.716999053955078,,,,,,,,,,
,C009,26.254999160766602,0.10769880398272064,26.347999572753906,,18.617000579833984,0.050013,18.666333516438801,,7.6816660563151054,-2.81533400217692,0.11874463337278515,,7.0388219952145361,0.055977,
,C010,25.431999206542969,,,,18.503000259399414,,,,,,,,,,
,C010,25.441999435424805,,,,18.485000610351562,,,,,,,,,,
,C010,25.599000930786133,0.093665,25.490999857584637,,18.561000823974609,0.039716,18.516333897908527,,6.9746659596761091,-3.5223340988159162,0.10173751794954836,,11.490216677288831,0.04796,
,C011,27.666999816894531,,,,19.83799934387207,,,,,,,,,,
