,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,
,,IL22,,,,Bact,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,27.496758,,,,14.02400016784668,,,,,,,,,,
,Kalibraator,27.488496999999999,,,,14.034999847412109,,,,,,,,,,
,,27.641145999999999,0.085847,27.542133666666661,,14.088000297546387,0.03422,14.049000104268393,,13.493133562398269,0,0.092416,,1,0.043565,
,,,,,,,,,,,,,,,,
,PH001,,,,,17.246000289916992,,,,,,,,,,
,PH001,29.005963999999999,,,,17.49799919128418,,,,,,,,,,
,PH001,29.092054000000001,0.060875,29.049008999999998,,17.200000762939453,0.16042779583993227,17.314666748046875,,11.734342251953123,-1.7587913104451456,0.17158910725351764,,3.3841448257254134,0.091718,
,PT001,Undetermined,,,,19.156000137329102,,,,,,,,,,
,PT001,Undetermined,,,,19.131999969482422,,,,,,,,,,
,PT001,Undetermined,#DIV/0!,#DIV/0!,,19.141000747680664,0.012124,19.14300028483073,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,PH002,28.890550000000001,,,,17.496000289916992,,,,,,,,,,
,PH002,Undetermined,,,,17.554000854492187,,,,,,,,,,
,PH002,28.795871999999999,0.066947,28.843211,,17.531999588012695,0.02928,17.527333577473957,,11.315877422526043,-2.1772561398722257,0.073071,,4.5229252092562815,0.039058,
,PT002,Undetermined,,,,17.917999267578125,,,,,,,,,,
,PT002,Undetermined,,,,17.933000564575195,,,,,,,,,,
,PT002,Undetermined,#DIV/0!,#DIV/0!,,17.934999465942383,0.009292,17.928666432698567,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,PH003,Undetermined,,,,16.947999954223633,,,,,,,,,,
,PH003,27.780308000000002,,,,16.936000823974609,,,,,,,,,,
,PH003,25.216284000000002,1.8130387575250484,26.498296000000003,,17.041999816894531,0.058046,16.97533353169759,,9.5229624683024134,-3.9701710940958552,1.8139677026496708,,15.672583315970398,0.96960652199835673,
,PT003,Undetermined,,,,17.853000640869141,,,,,,,,,,
