,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,
,,LCN2,,,,Bact,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,13.338355,,,,14.02400016784668,,,,,,,,,,
,Kalibraator,12.573245,,,,14.034999847412109,,,,,,,,,,
,,12.802815000000001,0.3926191514686711,12.904805000000001,,14.088000297546387,0.03422,14.049000104268393,,-1.1441951042683911,0,0.39410760921911359,,1,0.18578410866403544,
,,,,,,,,,,,,,,,,
,C001,26.498481999999999,,,,19.330999374389648,,,,,,,,,,
,C001,26.312777000000001,,,,19.381000518798828,,,,,,,,,,
,C001,27.040804000000001,0.37829063153396164,26.617354333333335,,19.308000564575195,0.037323,19.340000152587891,,7.2773541807454443,8.4215492850138354,0.38012736121155122,,2.9164937847019419E-3,0.17919375655149072,
,C002,25.364554999999999,,,,17.597000122070313,,,,,,,,,,
,C002,25.293210999999999,,,,17.632999420166016,,,,,,,,,,
,C002,24.874265999999999,0.26488619659645113,25.177343999999994,,17.625999450683594,0.019087,17.618666330973308,,7.5586776690266859,8.702872773295077,0.2655729946675558,,2.3997955672197422E-3,0.12519231028629837,
,C003,21.466830000000002,,,,17.923000335693359,,,,,,,,,,
,C003,21.863296999999999,,,,17.88599967956543,,,,,,,,,,
,C003,21.630531000000001,0.19923357742668396,21.65355266666667,,17.900999069213867,0.01861,17.903333028157551,,3.7502196385091189,4.89441474277751,0.20010088964312955,,3.36228366913255E-2,0.094328,
,C004,21.963152000000001,,,,16.253000259399414,,,,,,,,,,
,C004,21.81953,,,,16.302000045776367,,,,,,,,,,
,C004,21.905653000000001,0.072285,21.896111666666666,,16.329000473022461,0.038527,16.294666926066082,,5.6014447406005843,6.7456398448689754,0.081911,,9.3188016251557256E-3,0.038613,
,C005,22.032803999999999,,,,16.190999984741211,,,,,,,,,,
,C005,22.046462999999999,,,,16.264999389648438,,,,,,,,,,
,C005,22.51633,0.27530557526922861,22.198532333333333,,16.538999557495117,0.18332835139144005,16.331666310628254,,5.8668660227050786,7.0110611269734697,0.33076040300831688,,7.7528306829206493E-3,0.15592194927678416,
,C006,,,,,17.933000564575195,,,,,,,,,,
,C006,25.511848000000001,,,,17.965000152587891,,,,,,,,,,
,C006,25.984985000000002,0.33455838113031833,25.748416500000001,,18.054000854492188,0.062698,17.98400052388509,,7.7644159761149112,8.9086110803833023,0.3403826354363747,,2.0808503367361264E-3,0.181942171744299,
,C007,22.888331999999998,,,,17.551000595092773,,,,,,,,,,
,C007,23.341152000000001,,,,17.541000366210938,,,,,,,,,,
,C007,23.509641999999999,0.32131525241313713,23.246375333333333,,17.596000671386719,0.029297,17.562667210896809,,5.6837081224365242,6.8279032267049153,0.32264815553310472,,8.8023031449256765E-3,0.15209779914319349,
,C008,25.509053999999999,,,,18.277000427246094,,,,,,,,,,
,C008,25.617947000000001,,,,18.302000045776367,,,,,,,,,,
,C008,25.79129,0.14233917286654946,25.639430333333333,,18.326999664306641,0.025,18.302000045776367,,7.3374302875569661,8.4816253918253572,0.14451789183001751,,2.797540258745164E-3,0.068126,
,C009,25.064547999999998,,,,18.665000915527344,,,,,,,,,,
,C009,25.726186999999999,,,,18.716999053955078,,,,,,,,,,
,C009,25.794640999999999,0.40321373676305111,25.528458666666666,,18.617000579833984,0.050013,18.666333516438801,,6.8621251502278646,8.0063202544962557,0.40630354796623641,,3.8891746695856335E-3,0.19153332932471964,
,C010,24.795840999999999,,,,18.503000259399414,,,,,,,,,,
,C010,24.617296,,,,18.485000610351562,,,,,,,,,,
,C010,24.668576999999999,0.091928,24.693904666666668,,18.561000823974609,0.039716,18.516333897908527,,6.1775707687581409,7.321765873026532,0.10014012599821971,,6.2507028121717581E-3,0.047207,
,C011,28.00666,,,,19.83799934387207,,,,,,,,,,
,C011,28.342043,,,,19.743000030517578,,,,,,,,,,
,C011,27.664017000000001,0.33901947800810511,28.004239999999999,,19.736000061035156,0.056976,19.772333145141602,,8.2319068548583978,9.3761019591267889,0.34377389895665267,,1.5049153358523174E-3,0.16205657009812541,
,C012,24.134250000000002,,,,17.965999603271484,,,,,,,,,,
,C012,24.166785999999998,,,,18,,,,,,,,,,
,C012,24.358315999999999,0.12107016185666786,24.219784000000001,,18.343999862670898,0.20911564926343351,18.103333155314129,,6.1164508446858719,7.260645948954263,0.24163472196451216,,6.5212039279621357E-3,0.11390770031415505,
,C013,27.89912,,,,19.829999923706055,,,,,,,,,,
,C013,28.176268,,,,19.865999221801758,,,,,,,,,,
