,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,
,,MICB,,,,Bact,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,21.47599983215332,,,,14.02400016784668,,,,,,,,,,
,Kalibraator,21.499000549316406,,,,14.034999847412109,,,,,,,,,,
,,21.402999877929688,0.050123,21.459333419799805,,14.088000297546387,0.03422,14.049000104268393,,7.4103333155314122,0,0.060691,,1,0.02861,
,,,,,,,,,,,,,,,,
,PH001,27.478000640869141,,,,17.246000289916992,,,,,,,,,,
,PH001,28.084999084472656,,,,17.49799919128418,,,,,,,,,,
,PH001,27.882999420166016,0.30910488676946696,27.815333048502605,,17.200000762939453,0.16042779583993227,17.314666748046875,,10.50066630045573,3.0903329849243182,0.3482569578670669,,0.11741324066032417,0.16416990433546719,
,PT001,29.263999938964844,,,,19.156000137329102,,,,,,,,,,
,PT001,29.400999069213867,,,,19.131999969482422,,,,,,,,,,
,PT001,29.295000076293945,0.07184,29.319999694824219,,19.141000747680664,0.012124,19.14300028483073,,10.176999409993488,2.7666660944620762,0.072856,,0.14694354656648267,0.034344,
,PH002,27.485000610351562,,,,17.496000289916992,,,,,,,,,,
,PH002,27.33799934387207,,,,17.554000854492187,,,,,,,,,,
,PH002,27.603000640869141,0.13276487170862977,27.47533353169759,,17.531999588012695,0.02928,17.527333577473957,,9.9479999542236328,2.5376666386922206,0.13595534661546038,,0.17222104605084992,0.06409,
,PT002,28.309000015258789,,,,17.917999267578125,,,,,,,,,,
,PT002,27.850000381469727,,,,17.933000564575195,,,,,,,,,,
,PT002,28.374000549316406,0.28562268500860905,28.177666982014973,,17.934999465942383,0.009292,17.928666432698567,,10.249000549316406,2.8386672337849941,0.28577378886450749,,0.13978997104294233,0.13471505599431063,
,PH003,27.347999572753906,,,,16.947999954223633,,,,,,,,,,
,PH003,26.996999740600586,,,,16.936000823974609,,,,,,,,,,
,PH003,27.329999923706055,0.19765879333054637,27.224999745686848,,17.041999816894531,0.058046,16.97533353169759,,10.249666213989258,2.8393328984578456,0.20600555465579251,,0.1397254863261754,0.097112,
,PT003,27.325000762939453,,,,17.853000640869141,,,,,,,,,,
,PT003,27.191999435424805,,,,17.919000625610352,,,,,,,,,,
,PT003,27.534000396728516,0.17240207731580492,27.35033353169759,,17.940999984741211,0.045796,17.904333750406902,,9.4459997812906877,2.0356664657592756,0.1783810116420991,,0.24389524459605888,0.08409,
,PH004,27.955999374389648,,,,17.454000473022461,,,,,,,,,,
,PH004,27.943000793457031,,,,,,,,,,,,,,
,PH004,28.579000473022461,0.36350032654979086,28.159333546956379,,17.577999114990234,0.08768,17.515999794006348,,10.643333752950031,3.2330004374186192,0.37392555275981154,,0.10635793394106756,0.18696277637990577,
,PT004,27.934999465942383,,,,17.952999114990234,,,,,,,,,,
,PT004,28.221000671386719,,,,18,,,,,,,,,,
,PT004,27.917999267578125,0.17024274187639696,28.02466646830241,,18.125999450683594,0.089456,18.026332855224609,,9.9983336130778007,2.5880002975463885,0.19231467611003444,,0.16631609583347848,0.090658,
,PH005,26.96299934387207,,,,17.570999145507812,,,,,,,,,,
,PH005,26.979999542236328,,,,17.243999481201172,,,,,,,,,,
,PH005,27.047000885009766,0.044412,26.996666590372723,,17.141000747680664,0.22451285846524058,17.318666458129883,,9.6780001322428397,2.2676668167114276,0.22886334615834789,,0.20766545979663392,0.107887216022408,
,PT005,27.620000839233398,,,,17.885000228881836,,,,,,,,,,
,PT005,28.083000183105469,,,,17.926000595092773,,,,,,,,,,
,PT005,27.899999618530273,0.23318694770079978,27.867666880289715,,17.893999099731445,0.021549,17.901666641235352,,9.9660002390543632,2.555666923522951,0.2341804933804455,,0.17008561985890033,0.11039374326061628,
,PH006,26.868999481201172,,,,16.433000564575195,,,,,,,,,,
,PH006,27.156999588012695,,,,16.763999938964844,,,,,,,,,,
,PH006,27.190999984741211,0.17691071796282315,27.072333017985027,,16.48699951171875,0.17757895372357421,16.561333338419598,,10.51099967956543,3.1006663640340175,0.2506624960692781,,0.11657526674728037,0.11816343383982192,
,PT006,30.320999145507813,,,,19.090000152587891,,,,,,,,,,
,PT006,,,,,19.093999862670898,,,,,,,,,,
,PT006,29.746000289916992,0.40658558996277344,30.033499717712402,,19.131999969482422,0.02318,19.10533332824707,,10.928166389465332,3.5178330739339199,0.40724583939144765,,8.7302508973342449E-2,0.21768205759885204,
,PH007,26.618999481201172,,,,16.878999710083008,,,,,,,,,,
,PH007,26.481000900268555,,,,16.915000915527344,,,,,,,,,,
,PH007,26.599000930786133,0.074574,26.566333770751953,,16.975000381469727,0.048498,16.923000335693359,,9.6433334350585938,2.2330001195271816,0.088957,,0.21271591475313603,0.041935,
,PT007,29.334999084472656,,,,18.819000244140625,,,,,,,,,,
,PT007,29.170000076293945,,,,18.934999465942383,,,,,,,,,,
,PT007,29.812999725341797,0.33395554445837244,29.439332962036133,,18.864999771118164,0.058412,18.872999827067058,,10.566333134969074,3.1559998194376622,0.33902545805666334,,0.11218877037453544,0.1598181335911614,
,PH008,,,,,17.916999816894531,,,,,,,,,,
,PH008,29.443000793457031,,,,18.061000823974609,,,,,,,,,,
,PH008,29.833999633789063,0.27647793143485544,29.638500213623047,,18.187999725341797,0.13558881552132904,18.055333455403645,,11.583166758219402,4.1728334426879901,0.30793566449012305,,5.5443669603845655E-2,0.16459853624151585,
,PT008,28.847999572753906,,,,17.055000305175781,,,,,,,,,,
,PT008,,,,,17.048999786376953,,,,,,,,,,
