,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,
,,NLRP1,,,,Bact,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,23.597000122070313,,,,14.02400016784668,,,,,,,,,,
,Kalibraator,23.510000228881836,,,,14.034999847412109,,,,,,,,,,
,,23.24799919128418,0.1816659823260211,23.451666514078777,,14.088000297546387,0.03422,14.049000104268393,,9.4026664098103847,0,0.18486086302650559,,1,0.087144,
,,,,,,,,,,,,,,,,
,C001,24.729000091552734,,,,19.330999374389648,,,,,,,,,,
,C001,24.763999938964844,,,,19.381000518798828,,,,,,,,,,
,C001,24.738000869750977,0.018175,24.743666966756184,,19.308000564575195,0.037323,19.340000152587891,,5.4036668141682931,-3.9989995956420916,0.041513,,15.98890900648248,0.019569,
,C002,24.534999847412109,,,,17.597000122070313,,,,,,,,,,
,C002,24.472999572753906,,,,17.632999420166016,,,,,,,,,,
,C002,24.610000610351563,0.068603,24.539333343505859,,17.625999450683594,0.019087,17.618666330973308,,6.9206670125325509,-2.4819993972778338,0.071209,,5.5867117958796317,0.033568,
,C003,24.548999786376953,,,,17.923000335693359,,,,,,,,,,
,C003,24.698999404907227,,,,17.88599967956543,,,,,,,,,,
,C003,24.51099967956543,0.099405,24.586332956949871,,17.900999069213867,0.01861,17.903333028157551,,6.6829999287923201,-2.7196664810180646,0.10113182517217348,,6.5872051468946333,0.047674,
,C004,24.150999069213867,,,,16.253000259399414,,,,,,,,,,
,C004,24.065000534057617,,,,16.302000045776367,,,,,,,,,,
,C004,23.978000640869141,0.0865,24.064666748046875,,16.329000473022461,0.038527,16.294666926066082,,7.7699998219807931,-1.6326665878295916,0.094692,,3.1008561232334579,0.044638,
,C005,23.822000503540039,,,,16.190999984741211,,,,,,,,,,
,C005,23.919000625610352,,,,16.264999389648438,,,,,,,,,,
,C005,23.753000259399414,0.083393,23.831333796183269,,16.538999557495117,0.18332835139144005,16.331666310628254,,7.4996674855550154,-1.9029989242553693,0.2014041895868052,,3.7398980023522381,0.094943,
,C006,24.544000625610352,,,,17.933000564575195,,,,,,,,,,
,C006,24.594999313354492,,,,17.965000152587891,,,,,,,,,,
,C006,24.63800048828125,0.047057,24.592333475748699,,18.054000854492188,0.062698,17.98400052388509,,6.6083329518636091,-2.7943334579467756,0.078392,,6.937103733322779,0.036954,
,C007,24.728000640869141,,,,17.551000595092773,,,,,,,,,,
,C007,24.479000091552734,,,,17.541000366210938,,,,,,,,,,
,C007,24.409000396728516,0.16766155721043188,24.538667043050129,,17.596000671386719,0.029297,17.562667210896809,,6.9759998321533203,-2.4266665776570644,0.1702020522844053,,5.3764972666612243,0.080234,
,C008,24.059000015258789,,,,18.277000427246094,,,,,,,,,,
,C008,24.094999313354492,,,,18.302000045776367,,,,,,,,,,
,C008,24.076000213623047,0.018009,24.076666514078777,,18.326999664306641,0.025,18.302000045776367,,5.77466646830241,-3.6279999415079747,0.030811,,12.363368293112543,0.014524,
,C009,24.219999313354492,,,,18.665000915527344,,,,,,,,,,
,C009,24.187999725341797,,,,18.716999053955078,,,,,,,,,,
,C009,24.259000778198242,0.035558,24.222333272298176,,18.617000579833984,0.050013,18.666333516438801,,5.555999755859375,-3.8466666539510097,0.061365,,14.386728443408909,0.028928,
,C010,24.892999649047852,,,,18.503000259399414,,,,,,,,,,
,C010,24.809999465942383,,,,18.485000610351562,,,,,,,,,,
,C010,25.041000366210938,0.11701471317830922,24.914666493733723,,18.561000823974609,0.039716,18.516333897908527,,6.3983325958251953,-3.0043338139851894,0.12357099439111094,,8.0240678990952965,0.058252,
,C011,25.399999618530273,,,,19.83799934387207,,,,,,,,,,
,C011,25.625,,,,19.743000030517578,,,,,,,,,,
,C011,25.427999496459961,0.12262297447911139,25.484333038330078,,19.736000061035156,0.056976,19.772333145141602,,5.7119998931884766,-3.6906665166219081,0.13521346458498715,,12.912232145073927,0.06374,
,C012,23.677000045776367,,,,17.965999603271484,,,,,,,,,,
,C012,23.659000396728516,,,,18,,,,,,,,,,
,C012,23.604999542236328,0.03747,23.646999994913738,,18.343999862670898,0.20911564926343351,18.103333155314129,,5.5436668395996094,-3.8589995702107753,0.21244618171941629,,14.51024094022455,0.10014809048732588,
,C013,25.364999771118164,,,,19.829999923706055,,,,,,,,,,
,C013,25.503000259399414,,,,19.865999221801758,,,,,,,,,,
,C013,25.714000701904297,0.17576829975516736,25.527333577473957,,19.913000106811523,0.041621,19.869666417439777,,5.6576671600341797,-3.744999249776205,0.18062900941043036,,13.407787182428098,0.085149,
,C014,24.086999893188477,,,,18.663000106811523,,,,,,,,,,
,C014,23.944999694824219,,,,18.768999099731445,,,,,,,,,,
,C014,24.068000793457031,0.077087,24.03333346048991,,18.669000625610352,0.059542,18.700333277384441,,5.3330001831054687,-4.069666226704916,0.097404,,16.791581688652851,0.045917,
,C015,25.177000045776367,,,,19.392999649047852,,,,,,,,,,
,C015,25.003000259399414,,,,19.430999755859375,,,,,,,,,,
,C015,25.284000396728516,0.14182505534523993,25.154666900634766,,19.447999954223633,0.02816,19.423999786376953,,5.7306671142578125,-3.6719992955525722,0.14459375641985295,,12.74623531676275,0.068162,
,C016,27.867000579833984,,,,21.812000274658203,,,,,,,,,,
,C016,27.861000061035156,,,,21.707000732421875,,,,,,,,,,
,C016,27.527000427246094,0.19459010995631812,27.751667022705078,,21.760000228881836,0.052501,21.759667078653973,,5.9919999440511056,-3.4106664657592791,0.20154805903822873,,10.634398032637728,0.095011,
,C017,24.270999908447266,,,,19.535999298095703,,,,,,,,,,
,C017,24.305000305175781,,,,19.51300048828125,,,,,,,,,,
,C017,24.381999969482422,0.056871,24.319333394368488,,19.458999633789063,0.039526,19.502666473388672,,4.8166669209798165,-4.5859994888305682,0.069258,,24.017257050538369,0.032649,
,C018,23.534999847412109,,,,18.172000885009766,,,,,,,,,,
,C018,23.479000091552734,,,,18.125999450683594,,,,,,,,,,
,C018,23.666999816894531,0.096526,23.560333251953125,,18.14900016784668,0.023001,18.14900016784668,,5.4113330841064453,-3.9913333257039394,0.099229,,15.904171628503381,0.046777,
,C019,24.580999374389648,,,,18.361000061035156,,,,,,,,,,
,C019,24.395000457763672,,,,18.319000244140625,,,,,,,,,,
,C019,24.065000534057617,0.26132685467821071,24.347000122070312,,18.378000259399414,0.03037,18.352666854858398,,5.9943332672119141,-3.4083331425984706,0.26308564607372492,,10.617212535035105,0.12401976291438327,
,C020,24.438999176025391,,,,18.902999877929688,,,,,,,,,,
,C020,24.451999664306641,,,,18.930999755859375,,,,,,,,,,
,C020,24.62700080871582,0.10499129101528748,24.505999883015949,,18.900999069213867,0.016773,18.911666234334309,,5.5943336486816406,-3.8083327611287441,0.10632267297644575,,14.009492226020269,0.050121,
,C021,23.138999938964844,,,,18.620000839233398,,,,,,,,,,
,C021,23.134000778198242,,,,18.738000869750977,,,,,,,,,,
,C021,23.211999893188477,0.043661,23.161666870117188,,18.688999176025391,0.059282,18.68233362833659,,4.4793332417805978,-4.9233331680297869,0.073625,,30.343869520792641,0.034707,
,C022,22.926000595092773,,,,17.370000839233398,,,,,,,,,,
,C022,22.972999572753906,,,,17.419000625610352,,,,,,,,,,
,C022,22.847999572753906,0.063137,22.915666580200195,,17.423999786376953,0.029838,17.404333750406902,,5.5113328297932931,-3.8913335800170916,0.069833,,14.839119448244313,0.03292,
,C023,23.686000823974609,,,,18.128000259399414,,,,,,,,,,
,C023,23.690999984741211,,,,18.10099983215332,,,,,,,,,,
,C023,23.63800048828125,0.029263,23.671667098999023,,18.117000579833984,0.013577,18.115333557128906,,5.5563335418701172,-3.8463328679402675,0.032259,,14.383400274191517,0.015207,
,C024,24.851999282836914,,,,19.239999771118164,,,,,,,,,,
,C024,24.892000198364258,,,,19.315999984741211,,,,,,,,,,
,C024,25.063999176025391,0.11264078322365161,24.935999552408855,,19.329999923706055,0.048429,19.295333226521809,,5.6406663258870466,-3.7620000839233381,0.12261031393472964,,13.566720223323077,0.057799,
,C025,26.413000106811523,,,,20.565000534057617,,,,,,,,,,
,C025,25.829000473022461,,,,20.601999282836914,,,,,,,,,,
,C025,25.711999893188477,0.37553206863657795,25.98466682434082,,20.642999649047852,0.039017,20.603333155314129,,5.3813336690266915,-4.0213327407836932,0.37755348557670815,,16.238345498422024,0.17798041994127181,
