,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,
,,TNF,,,,Bact,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,27.475000381469727,,,,14.02400016784668,,,,,,,,,,
,Kalibraator,27.742000579833984,,,,14.034999847412109,,,,,,,,,,
,,27.746999740600586,0.15561584586331045,27.654666900634766,,14.088000297546387,0.03422,14.049000104268393,,13.605666796366373,0,0.15933392930628379,,1,0.075111,
,,,,,,,,,,,,,,,,
,C001,28.415000915527344,,,,19.330999374389648,,,,,,,,,,
,C001,28.386999130249023,,,,19.381000518798828,,,,,,,,,,
,C001,28.096000671386719,0.17664718074964567,28.299333572387695,,19.308000564575195,0.037323,19.340000152587891,,8.9593334197998047,-4.6463333765665684,0.18054704456759066,,25.042963250589526,0.085111,
,C002,30.191999435424805,,,,17.597000122070313,,,,,,,,,,
,C002,30.121000289916992,,,,17.632999420166016,,,,,,,,,,
,C002,30.316999435424805,0.099232,30.209999720255535,,17.625999450683594,0.019087,17.618666330973308,,12.591333389282227,-1.0143334070841465,0.10105069173339966,,2.019969356539586,0.047636,
,C003,29.375999450683594,,,,17.923000335693359,,,,,,,,,,
,C003,29.506000518798828,,,,17.88599967956543,,,,,,,,,,
,C003,29.822999954223633,0.22992693402301395,29.568333307902019,,17.900999069213867,0.01861,17.903333028157551,,11.665000279744469,-1.9406665166219046,0.23067887343872834,,3.8388295843721822,0.10874306378999879,
,C004,28.084999084472656,,,,16.253000259399414,,,,,,,,,,
,C004,28.333999633789062,,,,16.302000045776367,,,,,,,,,,
,C004,28.684000015258789,0.30091628284056005,28.367666244506836,,16.329000473022461,0.038527,16.294666926066082,,12.072999318440754,-1.5326674779256191,0.30337262298991508,,2.8932028499974694,0.14301122596167926,
,C005,28.63599967956543,,,,16.190999984741211,,,,,,,,,,
,C005,28.572000503540039,,,,16.264999389648438,,,,,,,,,,
,C005,28.284000396728516,0.18750264494715788,28.497333526611328,,16.538999557495117,0.18332835139144005,16.331666310628254,,12.165667215983074,-1.439999580383299,0.26223372453992883,,2.7132078657420804,0.12361816325199257,
,C006,30.41200065612793,,,,17.933000564575195,,,,,,,,,,
,C006,30.575000762939453,,,,17.965000152587891,,,,,,,,,,
,C006,29.96299934387207,0.31694293654854427,30.316666920979817,,18.054000854492188,0.062698,17.98400052388509,,12.332666397094727,-1.2730003992716465,0.32308490083890828,,2.4166363555936092,0.15230368285478357,
,C007,30.040000915527344,,,,17.551000595092773,,,,,,,,,,
,C007,29.701000213623047,,,,17.541000366210938,,,,,,,,,,
,C007,29.635000228881836,0.2172951257546305,29.79200045267741,,17.596000671386719,0.029297,17.562667210896809,,12.229333241780601,-1.3763335545857718,0.21926128822096524,,2.5960776839424473,0.10336076250182841,
,C008,28.259000778198242,,,,18.277000427246094,,,,,,,,,,
,C008,28.041000366210937,,,,18.302000045776367,,,,,,,,,,
,C008,28.21299934387207,0.11490863029901521,28.171000162760418,,18.326999664306641,0.025,18.302000045776367,,9.8690001169840507,-3.7366666793823224,0.11759665915260921,,13.33057106030788,0.055436,
,C009,28.027999877929688,,,,18.665000915527344,,,,,,,,,,
,C009,28.132999420166016,,,,18.716999053955078,,,,,,,,,,
,C009,27.995000839233398,0.072062,28.052000045776367,,18.617000579833984,0.050013,18.666333516438801,,9.3856665293375663,-4.2200002670288068,0.087716,,18.635740832789175,0.04135,
,C010,27.919000625610352,,,,18.503000259399414,,,,,,,,,,
,C010,27.655000686645508,,,,18.485000610351562,,,,,,,,,,
,C010,27.846000671386719,0.13632434073514807,27.806667327880859,,18.561000823974609,0.039716,18.516333897908527,,9.2903334299723319,-4.3153333663940412,0.14199180762099886,,19.908786283897832,0.066936,
,C011,29.642999649047852,,,,19.83799934387207,,,,,,,,,,
,C011,29.41200065612793,,,,19.743000030517578,,,,,,,,,,
,C011,,0.16334095434094004,29.527500152587891,,19.736000061035156,0.056976,19.772333145141602,,9.7551670074462891,-3.850499788920084,0.17299293193648066,,14.425003751112939,0.092469,
,C012,27.635000228881836,,,,17.965999603271484,,,,,,,,,,
,C012,27.437999725341797,,,,18,,,,,,,,,,
,C012,27.805999755859375,0.1841530428215028,27.626333236694336,,18.343999862670898,0.20911564926343351,18.103333155314129,,9.5230000813802071,-4.082666714986166,0.27864259894582805,,16.943578672337907,0.13135338082802572,
,C013,29.465000152587891,,,,19.829999923706055,,,,,,,,,,
,C013,30.291999816894531,,,,19.865999221801758,,,,,,,,,,
,C013,29.826000213623047,0.4146092777302231,29.861000061035156,,19.913000106811523,0.041621,19.869666417439777,,9.9913336435953788,-3.6143331527709943,0.41669316891658814,,12.246801911378711,0.19643104361002067,
,C014,27.691999435424805,,,,18.663000106811523,,,,,,,,,,
,C014,27.834999084472656,,,,18.768999099731445,,,,,,,,,,
,C014,27.545000076293945,0.14500410106690553,27.690666198730469,,18.669000625610352,0.059542,18.700333277384441,,8.9903329213460275,-4.6153338750203456,0.15675279025149116,,24.510599651179902,0.073894,
,C015,29.134000778198242,,,,19.392999649047852,,,,,,,,,,
,C015,28.805999755859375,,,,19.430999755859375,,,,,,,,,,
,C015,29.528999328613281,0.3620167831485166,29.156333287556965,,19.447999954223633,0.02816,19.423999786376953,,9.7323335011800118,-3.8733332951863613,0.3631103955453816,,14.655124256821003,0.17117188200631259,
,C016,30.325000762939453,,,,21.812000274658203,,,,,,,,,,
