Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
S100A8	578.473629867837	408.474084431081	-5.91490794563989	1.01536649526779e-07	4.26453928012472e-06	7.47111192187005
S100A9	951.03190578663	641.950373520877	-5.74231853570482	2.05080164665921e-07	4.30668345798433e-06	6.79062660551853
PI3	51.8496269663347	34.5288875897297	-5.62866231646451	3.246293324984e-07	4.5448106549776e-06	6.34647924643729
IL1F6	1451.14467241074	1004.4173186536	-5.51018920282947	5.22233947399072e-07	5.48345644769026e-06	5.88711783995734
CTLA4	38.7870464653075	33.4687089113523	-4.42675377255476	3.32420748694536e-05	0.00027923342890341	1.89829433934145
IL1RN	60.0234029014401	79.8793614855482	-4.32222420510937	4.85348468367527e-05	0.000339743927857269	1.53780969196448
IFIH1	12.2072384957143	15.9532524363514	-3.98511553369651	0.000159285615255333	0.000833899788981479	0.410575233191255
IL26	5.72264589352726	5.03917657094643	-3.97515321687209	0.000164849746105248	0.000833899788981479	0.378127409129339
IL22RA1	10.2211220884898	16.9641564378378	-3.82074341321306	0.000278979363132487	0.00106519393196041	-0.118086115936474
CCL2	10.52434437846	19.6984095889803	-3.78623311009199	0.000313289620461903	0.00109651367161666	-0.227228637591804
EOMES	2.38824585766856	2.80856758582304	-3.615285181561	0.000555827844079637	0.00179575149625729	-0.752521307959945
FOXP3	34.7010525959183	44.4826082162162	-3.57840380786658	0.000621944672020338	0.00186583401606102	-0.870337241046025
TNF	8.29211753877548	19.2226768783784	-3.42131590962695	0.00102867618058379	0.00288029330563462	-1.33963731966613
CCL5	8.82613821387703	12.8242974032429	-3.39316252714884	0.00112414896934057	0.00295089104451901	-1.42215836644885
PYCARD	24.4160252571428	57.1362856756757	-3.26228488272497	0.00168837885084982	0.00417128892562896	-1.79925226116655
CXCL10	16.4236715697143	18.4154371932432	-2.89935734690875	0.00494868105653714	0.010392230218728	-2.78607321923773
IFNG	16.4236715697143	18.4154371932432	-2.89935734690875	0.00494868105653714	0.010392230218728	-2.78607321923773
IL22	7.72583753588233	7.37889170216999	-2.46363449258554	0.0179018050904696	0.0289183005307586	-3.41828600860503
TRGC1	26.1741221210891	64.6296516686614	-2.3467687666224	0.021719405022822	0.032579107534233	-4.10510874786057
AIM2	10.3264497157798	11.0307615672596	-2.15779613393889	0.0342665787362094	0.0496274588593377	-4.50498062166141
