Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
S100A8	868.044413282061	519.318073515517	-14.2550497614869	2.46261322568726e-20	1.03429755478865e-18	36.0208257260762
S100A9	1415.23658697257	817.433847225774	-12.0515045744475	3.16192614954469e-17	6.64004491404386e-16	28.8943435346373
PI3	76.9876133362667	43.9993237334483	-11.2240931330679	5.45453325382947e-16	7.63634655536126e-15	26.0554990662795
IL1F6	2145.5598422511	1264.27379017873	-10.3752475506639	1.10570110508394e-14	1.16098616033814e-13	23.0551355322785
IL1RN	86.9072074548657	89.5813394815615	-6.25616991859259	5.69017119420916e-08	4.7797438031357e-07	7.69206857827037
IL26	8.33055557265455	5.98965585310345	-5.67028926707076	5.11551968936391e-07	3.06931181361835e-06	5.52784692183082
CCL2	14.9637419668044	21.2434401480094	-5.404451653071	1.36499950691301e-06	7.16624741129332e-06	4.56396355807773
PYCARD	36.8916699757576	61.9590056896552	-5.00816290604151	5.75669589895983e-06	2.41781227756313e-05	3.15525887845292
FOXP3	50.2720390727273	50.1079409137931	-4.86146521209505	9.72294079495311e-06	3.71239557625482e-05	2.64389224812781
CTLA4	46.8529795927293	34.443124128277	-4.80980472011501	1.16792241825051e-05	4.08772846387678e-05	2.46526647488195
IL22RA1	13.4009321973333	17.8207844551724	-4.52328410662536	3.18686495096798e-05	0.000102960252262043	1.48958490145976
IFIH1	15.1031572815152	16.4632566946552	-4.33340705080869	6.11659916578086e-05	0.000183497974973426	0.858345187928055
TNF	10.1768803272727	19.5222443793103	-3.73259702956984	0.000443092874210884	0.00109470004216807	-1.04348365956354
CCL5	10.446114567272	12.9234416179306	-3.68291130221136	0.000518625793772336	0.00121012685213545	-1.19343016352998
EOMES	2.60749334550005	2.71509985903653	-3.55286807363468	0.000787914279922485	0.00174170525035497	-1.57703307595396
IL22	9.10718431617813	8.37578531183789	-2.93612151672506	0.00573593002306493	0.0102740158451247	-2.91190852216232
CCL20	1.05084704068848	0.687034086206897	-3.07231868055378	0.0032695826744224	0.00653916534884481	-2.9284812492553
AIM2	10.0056628427034	9.88585443064157	-3.04057241137845	0.00357976922575895	0.00683410488553981	-3.01278481083469
CXCL10	13.2773593506667	15.0946629465517	-2.72229082748852	0.00861318244315908	0.0139136024081801	-3.82221075223636
IFNG	13.2773593506667	15.0946629465517	-2.72229082748852	0.00861318244315908	0.0139136024081801	-3.82221075223636
