Gene	logFC	P.Value	adj.P.Val
S100A8	840.628490978788	4.45037141379562e-22	1.86915599379416e-20
S100A9	1341.0447421677	2.85960727252952e-18	6.005175272312e-17
PI3	73.3101249130303	3.73932301205931e-17	5.23505221688304e-16
IL1F6	1979.80382503189	1.84575159572337e-15	1.93803917550954e-14
FOXP3	52.7967681212121	4.44364497289075e-08	3.11055148102353e-07
IL26	7.74212827878788	1.81765508028331e-07	1.09059304816998e-06
CCL2	12.3389403418758	6.92142861772503e-06	3.23000002160501e-05
IL1RN	58.5272638200042	3.08603480087091e-05	0.000129613461636578
CTLA4	38.7484628234841	5.22120632016884e-05	0.000199355150406447
CXCL10	11.9571986212121	0.000120811016213154	0.00039031251391942
IFNG	11.9571986212121	0.000120811016213154	0.00039031251391942
IL22RA1	9.56836793939394	0.00025120643641459	0.000703378021960852
IL22	8.00717387239716	0.00159840522072259	0.00372961218168604
PYCARD	28.4347190909091	0.00205448850291037	0.00454150090117029
IL17F	1.57040587596217	0.00333487436550406	0.00666974873100812
AIM2	9.01420233546835	0.00318921331807634	0.00666974873100812
IFIH1	10.0720688875758	0.00459548759472049	0.00877320358992094
CASP1	5.28577263636363	0.0129524166709905	0.0217600600072641
