Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
S100A8	886.810524206061	603.904364791837	-11.7493669549697	1.22194238711121e-15	5.13215802586709e-14	25.432202134356
S100A9	1421.62683613195	963.244936286631	-9.66743791751042	8.70391903692164e-13	1.82782299775354e-11	18.9663044177208
PI3	76.9850832579167	52.0456534567347	-8.95862127723144	9.18704887674773e-12	1.28618684274468e-10	16.6410951464104
IL1F6	2126.6464576361	1494.66889717074	-8.2089081150718	1.17615383072802e-10	9.87969217811538e-10	14.1244378052907
IL1RN	82.3316514448657	100.15753814144	-4.82340592995729	1.50305880456738e-05	0.000105214116319716	2.57481338399861
IL26	7.98672339232732	6.97250288632726	-4.36390465119236	6.88095342691081e-05	0.000412857205614649	1.1023244628893
PYCARD	38.2066619507576	65.3849428571429	-4.17937554621284	0.000124938132457444	0.000655925195401583	0.528017011924412
CCL2	13.5956551143043	23.2539313384601	-4.02804898360734	0.000202299316914151	0.000849657131039433	0.0655236908947439
FOXP3	47.6861460852273	56.2059367959184	-3.88840222022999	0.000313620509536298	0.00119746012732041	-0.353891497812411
IL22	8.7485296085401	8.43241500251758	-2.81991176728981	0.00773026537052709	0.0190983026801258	-2.99225457023882
IL22RA1	9.73816845833333	20.4172382244898	-2.75125478118244	0.00838511314830457	0.0195652640127107	-3.43608734298559
CCL20	1.07092625847348	0.79029519	-2.50647584726959	0.0156837161089375	0.0346692671881775	-4.00389894061617
