groups	r	p	adj.pval	gene
PL-PP	PL-PP	-0.0506988691898952	0.79779129462126	0.988061925872144	CXCL10
PNL-PP	PNL-PP	0.00441016745392971	0.988061925872144	0.988061925872144	CXCL10
PL-PP1	PL-PP	-0.207197920635304	0.309809471101046	0.816628040676086	INFG
PNL-PP1	PNL-PP	0.110650083658995	0.706489941966381	0.816628040676086	INFG
PL-PP2	PL-PP	0.236097873088808	0.302848054063015	0.495883889118164	IL10
PNL-PP2	PNL-PP	0.102332609856929	0.667699132391324	0.667699132391324	IL10
PL-PP3	PL-PP	-0.297354162967456	0.246418552282089	0.487922274838701	IL17A
PNL-PP3	PNL-PP	0.245201816628648	0.360018103754332	0.487922274838701	IL17A
PL-PP4	PL-PP	-0.29277002188456	0.481617814312155	0.481617814312155	IL17F
PNL-PP4	PNL-PP	0.402888439393121	0.0872123365022444	0.130818504753367	IL17F
PL-PP5	PL-PP	-0.392792202424786	0.441112809121304	0.627402945390269	IL22
PNL-PP5	PNL-PP	0.115614662603216	0.627402945390269	0.627402945390269	IL22
PL-PP6	PL-PP	0.261036949166098	0.17969260978499	0.269538914677485	CXCL8
PNL-PP6	PNL-PP	0.642857142857143	0.119392373427411	0.269538914677485	CXCL8
PL-PP7	PL-PP	0.0705882352941176	0.795039302337628	0.795039302337628	LCN2
PNL-PP7	PNL-PP	0.142857142857143	0.735764859879812	0.795039302337628	LCN2
