Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
IL17A	50.0080963664296	-29.7396417404721	16.05526583235	3.94626121025983e-23	1.22334097518055e-21	42.3859706296251
PI3	7.78667337692962	2.47314298151115	14.1151095855193	7.20017089845707e-20	1.11602648926085e-18	34.9707682466499
S100A8	6.76459078877483	6.71936926977824	13.3064595256045	8.85449812195303e-19	9.14964805935147e-18	32.4721098555504
S100A9	7.07173577138191	7.18012964575068	11.5959021092917	4.0967969503307e-16	3.1750176365063e-15	26.3871449656154
FOXP3	1.89890274899246	5.03816955547557	7.93678001807192	1.30514102456447e-10	6.35981604562978e-10	13.7341825123869
IL1F6	3.56809511407697	9.02802623990401	7.87866691292925	1.43608749417447e-10	6.35981604562978e-10	13.624496081266
IL1b	3.28372350812244	-1.69748894957023	7.70261752509441	9.87507994806062e-10	3.82659347987349e-09	11.8855986122497
CXCL2	2.0270754277601	-5.71499219015393	6.64146747812197	5.52339805446123e-08	1.90250377431442e-07	7.99696630821895
IL8b	5.93766405771649	-4.60111856352909	6.00374836875351	6.43861720841207e-07	1.81451939509795e-06	5.78592151292435
CCL20	2.7468396113485	-1.45970073283543	5.79035519943041	5.35649907379577e-07	1.66051471287669e-06	5.59619368902824
AIM2	1.69025666846169	2.82284119449394	5.33345562707161	4.1701288562412e-06	1.07728328786231e-05	3.71649191418721
CCL2	0.943276376279878	4.23976547946534	4.88228474135103	9.51450098382972e-06	2.26884254229786e-05	2.65894349228459
CXCL10	1.68537769997077	3.50755192982045	4.86148880793993	1.213168818213e-05	2.50721555764019e-05	2.50093392178252
IFNG	1.68537769997077	3.50755192982045	4.86148880793993	1.213168818213e-05	2.50721555764019e-05	2.50093392178252
PYCARD	0.78493473293306	5.79856056413853	4.38024736996409	5.53991129475348e-05	0.000107335781335849	0.961621996322277
IL1RN	0.758157208828942	6.41049983403874	3.80145867905851	0.000364265348519464	0.000664248576711964	-0.86581883582038
IL22RA1	0.619119254630554	4.06868309095424	3.65884565901062	0.000571488602577576	0.000984230371105826	-1.2992057049105
TNF	0.501301350829257	4.25341682721142	2.98001086423896	0.00435485026297077	0.00710528200800494	-3.18758921880316
IFNGR	0.513671519465185	0.0221447611463115	2.65185326387469	0.0104559409933875	0.0162067085397507	-4.01491835137042
IL22RA2	0.848830460330963	4.19566336896499	2.244509985838	0.031702815820167	0.042729882192399	-4.66513841183124
IFIH1	0.760638918084579	3.71808729704209	2.32435507425745	0.0240757969747908	0.0351870900414158	-4.73113451801271
