Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
IL10	-56.6459683816449	-30.1258155751108	307.394691692155	4.33316502446672e-76	1.77659766003135e-74	107.526142167436
IL17F	-57.3487535855079	-30.5292938482125	227.252425512983	6.74927342562016e-69	1.38360105225213e-67	103.28003449693
IL17A	-53.1270581498432	-25.626851606224	26.3166357398383	2.15244384518066e-32	2.94167325508024e-31	63.0577923373704
PI3	-9.01865436711109	1.90455463436826	22.7157103597951	3.09300388466644e-29	3.17032898178311e-28	56.0955272266156
S100A9	-8.2572912763895	6.54951643503959	17.669436733343	8.09862640609844e-24	6.64087365300072e-23	43.9556582088263
S100A8	-7.0294036580399	6.74173696597729	15.9150211376696	1.38021727632497e-21	9.43148472155393e-21	38.9082425225631
IL1F6	-5.44275595995879	8.17252831781477	11.9371244195735	9.60257387556747e-17	5.62436469854666e-16	27.8598235054608
LCN2	-4.9617849742927	-5.0450449997625	10.963577265928	2.14574545181298e-14	1.09969454405415e-13	22.6102510193511
CCL20	-4.30895416717147	-1.96781349844664	10.2167988314828	3.63836034381815e-13	1.65747526773938e-12	19.847697767798
CXCL10	-3.09693794722711	3.02594409449905	9.89480057535789	4.73584849970046e-13	1.7651798953429e-12	19.5324272143565
IFNG	-3.09693794722711	3.02594409449905	9.89480057535789	4.73584849970046e-13	1.7651798953429e-12	19.5324272143565
CXCL1	-4.33579176948182	-7.2951863985213	9.1203760592634	1.10625955782459e-11	3.7797201559007e-11	16.4701430625583
CXCL8	-6.11746216608688	-4.85701364140703	8.02146077860557	9.22679843017191e-10	2.52199157091365e-09	12.2228393181636
CTLA4	-3.18803665531448	4.0119845184596	7.7754426599143	8.77806715772101e-10	2.52199157091365e-09	12.1128413001706
IL1RN	-1.61307275763799	5.94532996606744	6.63350022835635	1.64846872137652e-08	4.22420109852734e-08	9.03287139205385
CXCL2	-2.05140735330716	-5.84221830975042	6.53007303285778	5.72458640827981e-08	1.38063554552631e-07	7.97549945119016
CCL2	-1.25215822427409	4.08063840077367	5.81868820617932	3.36510861110754e-07	7.66496961418941e-07	6.05896719974404
IL1b	-2.84689256167049	-1.54005414832582	5.89036500027627	4.6140260151771e-07	9.95658245380321e-07	5.88934076349262
FOXP3	-1.93774207163807	4.96776513390098	5.70548427311678	5.98505319587549e-07	1.22693590515448e-06	5.53922712313968
AIM2	-1.94093599200173	2.57806412055791	5.75143772415835	6.91802765315956e-07	1.35066254180734e-06	5.46878788790218
IL22RA1	-1.54417319148913	3.52995751539157	4.40467152162866	5.20777642027659e-05	9.28342753179739e-05	1.1471553218011
TNF	-1.11364485951633	3.92772347001238	3.98678505363656	0.000210879666290563	0.000360252763246379	-0.189034349932568
CCL5	-1.09460835736955	3.14740361460594	3.73126180176485	0.000460588160808604	0.000726312099736645	-0.957521430807905
IFIH1	-1.13926583814835	3.46557571778697	3.70197304469141	0.000527431633103118	0.00080091470211955	-1.05093082439343
IL26	-2.43101593932687	2.66852466017331	2.52026034727449	0.0191960642430874	0.027139263240227	-3.45595842177542
EOMES	-1.20503614702795	1.04169334445083	2.57529926817123	0.0138405752531375	0.0202665566206657	-3.88822931397298
