C001	C002	C003	C004	C005	C006	C007	C008	C009	C010	C011	C012	C013	C014	C015	C016	C017	C018	C019	C020	C021	C022	C023	C024	C025	PH001	PH002	PH003	PH004	PH005	PH006	PH007	PH008	PH010	PH011	PH012	PH013	PH014	PH015	PH016	PH017	PH018	PH019	PH020	PH021	PH022	PH023	PH024	PH025	PH026	PH027	PH028	PH029	PH030	PH031	PH032	PH033	PH034	PH035	PT001	PT002	PT003	PT004	PT005	PT006	PT007	PT008	PT009	PT010	PT011	PT012	PT013	PT014	PT015	PT016	PT017	PT018	PT019	PT020	PT021	PT022	PT023	PT024	PT025	PT026	PT027	PT028	PT029	PT030	PT031	PT032	PT033	PT034	PT035
AIM2	-0.442545366484682	-0.399048379812496	-0.353169251466592	-0.357934657083951	-0.41092824652008	-0.377719677757106	-0.375960691575219	-0.358507638909676	-0.646473852032211	-0.699146784905074	-0.529704442454617	-0.471183810750476	NA	-0.49756574175086	-0.739440503638515	NA	-0.512146633136356	NA	-0.470286750098361	-0.596722475361397	-0.318252337384984	-0.470182755319602	-0.880440411292695	NA	-0.37728640142336	NA	-0.32798594065622	-0.305934718848175	NA	-0.300294719132446	-0.309776958197627	-0.356382350896508	-0.287300009008688	-0.274126986215725	-0.307831433577798	NA	-0.319741054232863	-0.342871586744487	NA	NA	NA	-0.299294706185493	-0.256462768856541	NA	-0.302770402514605	-0.318026117600149	-0.260484689524581	-0.212328997593799	-0.30633980688252	-0.286551020208731	-0.158219943478627	-0.315346340444821	-0.254926042119168	-0.316928379609725	-0.279153594235683	-0.293840343092484	-0.300801145306735	-0.298758333044595	NA	NA	-0.405567597875882	-0.622941822531289	-0.477508211323573	NA	-0.364972970302466	-0.46359389650882	NA	NA	NA	NA	-0.405448655316059	-0.401776504476258	NA	-0.500858869777297	NA	-0.359321700404747	NA	NA	-0.250746535298238	-0.612062870489328	-0.496007834972548	-0.502760497211635	-0.452274865416483	-0.531660084593099	NA	-0.544057165771223	NA	-0.422829321332154	-0.352688245144193	-0.472254925661144	-0.620006612306764	-0.608852411208494	NA	NA
CASP1	0.11171182755446	-0.192217180945468	-0.25651271281953	0.0263052764055679	-0.0876323022786773	0.0712079489811743	-0.114290847369981	0.257975076188123	0.0127921187924924	0.638234507429783	0.531593196163444	0.347742921004923	1.22526188287217	0.6495256561529	0.36260880769027	NA	0.189449003781437	0.140910352459615	0.242406332514279	-0.0557620155442693	0.101742676567403	0.0152136151494963	0.756137215788514	0.129395950264662	0.188077106781766	-0.228421773070599	-0.276039556623543	-0.253442929773964	-0.269201821608108	-0.25591738565509	-0.280708646813185	-0.271014958180496	-0.263084704073443	-0.253938721781824	-0.286734440990039	-0.39132907270652	-0.283829399686891	-0.292053900214023	NA	-0.232021528989027	-0.273503256670776	-0.255051473951442	-0.214504200813577	-0.261238577148283	-0.260926126427129	-0.301638179313789	NA	-0.254138340047732	-0.244773066839241	-0.25505498667822	-0.251388886461166	-0.271825845248279	-0.269315868005861	-0.285786496432926	NA	-0.241277696850649	-0.257498623838653	-0.265410117366967	NA	-0.301419275667022	0.211275016411483	0.0992016290423027	-0.0248068486512943	-0.120076298190681	NA	-0.0849937797811521	-0.305129239657642	NA	-0.0805691909277728	-0.136574896081027	0.0708465336232522	-0.0455461710376254	NA	-0.0974102790625751	0.0135155503698602	-0.230817563228335	-0.651605792067741	-0.315304714371446	-0.0033990691713956	-0.202784355816966	NA	NA	-0.266377537588587	0.277510372535069	NA	-0.0574777396516243	-0.154279999973385	-0.301030046113217	NA	-0.224323380927654	-0.0173367080849667	-0.00952252037071573	-0.264670703228406	-0.111212417488311
CCL2	-0.190399784244162	-0.309297145329722	-0.256639720839054	-0.290464455322783	-0.379773080088709	-0.343163265653975	-0.268699870972447	-0.23328201316852	-0.420040958444783	0.0884091331134799	-0.0811880472468176	-0.126643268972246	-0.380288480676321	-0.176266032783536	-0.494130671714347	NA	-0.130948682718554	0.0878537981340231	-0.00822394205410557	-0.515189225630195	-0.171818368255698	-0.319996108563047	-0.39242918440498	0.206524960535043	0.403737992893462	-0.222130404730127	-0.310982106556907	-0.216882691206684	-0.255409036414188	-0.251663029149966	-0.268353914647849	-0.3208203781961	-0.260283989911806	-0.221791776839393	-0.282672458830294	NA	-0.294542316220606	-0.27969838196067	NA	-0.14669032206557	-0.27990930206042	-0.280170720945605	-0.201000040683934	-0.291846319573615	-0.211360807574463	-0.247170435271117	-0.257553496470036	-0.254301296562341	-0.241881879193653	-0.250639341791683	-0.263971839708977	-0.244037491492655	-0.245254318813128	-0.232504304721839	-0.261838398073142	-0.232664257120567	-0.287933333652632	-0.276754381240417	-0.285921252341625	-0.346369053791559	-0.211893620807078	0.4610636882275	-0.181711446818741	-0.0141895293050829	-0.296523963025908	-0.273858682799813	-0.312341717024338	NA	-0.262372786954235	-0.219210555248921	-0.286191228131018	-0.284131209897832	NA	-0.207086537174236	-0.27449403048723	-0.284180611751205	NA	0.231375544128786	-0.193872609860776	-0.180180427113498	-0.195512921504248	-0.336126622424397	-0.365268966743428	0.0435289707582304	NA	-0.20062931275408	-0.295896481101175	-0.221524624962272	0.0616194530542194	-0.243957793180498	-0.0052855361040944	-0.251347264685812	-0.348478694640057	-0.131036151118837
CCL20	-0.627622990253421	-0.41560428774325	-0.366304980683635	-0.367090547957861	-0.441552314229963	NA	-0.413829984428239	NA	NA	-0.879229023699202	-0.652422616011297	-0.538929245717071	NA	-0.725929828991721	NA	NA	NA	-0.581273693016909	-0.652374535475754	NA	-0.510117314151993	NA	-0.908301450736357	-0.685289778355164	-0.764816831239902	-0.278228520153537	-0.34146504926519	-0.312446518000042	-0.330340887639024	-0.318623090387225	-0.3176142500365	-0.36926997282707	-0.274958941728251	-0.286801988548678	NA	-0.439149090370375	-0.331213398562199	-0.358417989543381	NA	-0.354222104470054	-0.306301694616289	-0.311240019082545	NA	-0.343207081149185	-0.331192615502071	-0.347945899748378	-0.286355041319248	-0.295989908393019	-0.34633379832719	-0.31125250582686	-0.29794201536372	-0.361854007565088	-0.318856542556133	-0.349057733903068	-0.31959983900343	-0.304203114808924	-0.361002867008975	-0.309759112061831	-0.329340114929332	-0.384332483283226	-0.498428249839232	-0.719148358553073	-0.529130077232596	-0.629206428599829	NA	-0.528817028563638	-0.325285679004653	NA	NA	-0.473252737699726	-0.50219175528351	-0.513085846961172	NA	-0.603009331392063	-0.528303272682342	-0.423157927022309	NA	NA	-0.27188680948214	-0.673864904635689	-0.642199585465181	-0.563937033538393	-0.651143448161634	-0.671366992277675	NA	NA	NA	-0.454081664112323	-0.502493134678818	-0.730285632037344	-0.675705842847001	-0.716446951241292	-0.499643211222278	-0.546367449459046
CCL27	3.53199006271331	2.47870739824286	4.37741672321901	4.49429926157535	4.17295995485655	3.78347204168982	2.87175921567452	4.9808162731173	NA	NA	4.24194132085097	4.89065219845347	0.905574550911782	3.51724419762287	1.93938300444036	NA	3.9645281913058	5.06007408377651	3.88098007661444	3.74496389291072	4.85619583960658	4.64064693489449	1.70015214774553	3.92417807971798	3.88599267709492	-0.200521365551874	-0.233283528705041	-0.267070634777513	-0.265642148941584	-0.269203952418271	-0.29226260093549	-0.0847814466240184	-0.0505783960622289	-0.261221487553401	-0.199284794567264	NA	-0.278376163056612	-0.132308086806042	NA	0.338562445274228	-0.258546644422579	-0.256523969972718	-0.118645041184485	-0.211024690996346	-0.215212038617248	-0.278395207722659	-0.256932440135156	-0.205923799236644	-0.19761695293403	-0.248259559685391	-0.277820263976227	-0.204090060806649	-0.277315630768699	-0.318849184150028	-0.264074745803875	-0.272501155982766	-0.238482567814574	-0.279598977777396	-0.194534129166897	-0.151972113358971	4.1671738634952	2.91212218275983	3.80080393074709	3.22125227706925	1.33917068520657	4.38814374231133	-0.0912815732295259	NA	5.00263207640936	4.78329411092591	4.77069217393604	5.05142198276004	NA	2.85565992557676	4.57180548037245	1.0281826775235	NA	4.07322132119323	0.687813321355816	3.4974437836091	3.46494380924908	3.83329774812552	2.50232168328189	4.38816545662947	NA	1.83855809898199	3.83469461148356	1.0590468301715	4.94713228434104	1.98524262707619	3.47461454530746	3.0301518646607	3.27549437216455	4.76105978348473
CCL5	-0.46531527488377	-0.334102721863372	-0.294479139310785	-0.327085764433826	-0.397871370332932	-0.393368444849043	-0.332895766666062	-0.123916718855929	-0.178498053463385	-0.545363248316114	-0.282370636415186	-0.321088283102937	-0.519081094596014	-0.349750581380985	-0.435205016575997	NA	-0.463195580771968	-0.441388654866136	-0.305931260274302	-0.535465519838453	-0.217912558473576	-0.456272737011719	-0.817163634784803	-0.390499808471251	-0.607246151930923	-0.270482308863358	-0.329898834003414	-0.307842826039547	-0.31357106774218	-0.306109362528722	-0.304393357058517	-0.328626359986282	-0.290426103675845	-0.276808105076648	-0.265322460822549	NA	-0.30635732181329	-0.297983383882276	NA	-0.30653132649657	-0.295433533720508	-0.303973349973671	-0.19847897745947	-0.301463495713391	-0.0934196343868518	-0.311923274555572	-0.263274357498433	-0.272878634189175	-0.263205072341668	-0.252788355966241	-0.250179318956662	-0.232795674308788	-0.294077947981841	-0.285740436001527	-0.282061780473195	-0.255256656720914	-0.296865928642139	-0.296975214963772	-0.299077777320887	-0.337765545541738	-0.437096883927473	-0.59082300741591	-0.316216831650217	-0.471139673317609	-0.35627493190394	-0.30221114450391	-0.336393856647917	NA	-0.28534229924765	-0.297546195293079	-0.273208879747182	-0.212354245649514	NA	-0.454230794942326	-0.24624984582263	-0.215521172750773	NA	-0.00619457428667794	-0.221180442049331	0.131619660010019	-0.240332893928314	-0.390158898314079	-0.314344096428738	-0.147991574587223	NA	-0.36712576509364	-0.213423804991253	-0.360264374512901	-0.190325073115246	0.350574924771281	-0.301162568434032	0.0341326369073252	-0.225121082679474	-0.39321835659189
CTLA4	NA	NA	-0.33400000756213	-0.358096944721868	-0.417520910701968	-0.393612809223045	-0.391861939370629	-0.261062905945297	-0.485855766182074	-0.481199496975816	-0.468085991719086	NA	-0.47464395325789	-0.400567496789408	-0.722672694284962	NA	-0.305429422590957	-0.289614485603475	NA	NA	-0.404768520367969	-0.333911815711951	-0.591893394462164	NA	NA	-0.227489618131843	-0.322894327663887	-0.28645863292909	-0.247549237463477	-0.2757295032444	NA	-0.324714822729814	-0.274079280501526	-0.253278619296036	-0.272361974489955	NA	-0.22596675830539	-0.161859039372996	NA	-0.330448905054155	NA	NA	-0.200515576321682	-0.277951955514703	-0.245209354284899	-0.150880426140231	-0.136625420553834	-0.145273442063632	-0.0258591398184037	0.0581553381631361	-0.139650329010269	-0.188686292589789	-0.0427304754406727	-0.00495914017176694	-0.0995490264323619	-0.0979882035166551	-0.25446202421069	-0.259581879199436	-0.173197967408386	-0.241558414560885	-0.386022549978915	-0.474706370354602	-0.445654425440265	-0.288375294587874	NA	-0.451657366712021	NA	NA	-0.346538657695862	NA	-0.405515922802383	NA	NA	-0.293548040022723	-0.339116568818263	-0.28431024945159	NA	NA	-0.232194912511703	-0.406314165932387	-0.146988842928064	-0.290550722519831	-0.341453575969789	-0.250146260407457	NA	-0.0148655931684202	NA	0.234779907027042	-0.158742760874878	0.976805809481087	-0.19045916274721	-0.0382386218981879	-0.298175679592485	0.0634223579522377
CXCL1	-0.628564951145533	NA	-0.366520560147311	NA	-0.441905929547712	-0.434954745038974	-0.414355240526258	NA	-0.761549107149481	NA	NA	-0.539671886450603	-0.766988287122712	NA	-0.868262195697394	NA	NA	-0.581729916381263	-0.653112992334931	NA	-0.51056030023024	-0.591097103739314	-0.918386439504182	-0.690725903686951	NA	-0.27992232497293	-0.341862450782649	-0.314861792762389	-0.33080938853055	-0.319770585117616	-0.317999846301709	-0.369936639197766	-0.298754980606281	-0.288171611766483	-0.320630694844407	NA	-0.334038996849923	-0.359651778126477	NA	-0.360280886648475	-0.307165772953451	-0.312637872794581	-0.286330851656202	-0.346231697789635	-0.333017342390551	-0.34905875244055	-0.287022434504431	-0.29821915392921	-0.350276143006056	-0.317170704423811	-0.298339784204172	-0.364094276100525	-0.322019846031193	-0.352208817036352	-0.321481386381561	-0.307349682408852	-0.362365574043949	-0.311186472132888	-0.333152878483044	-0.385646885600165	-0.499232346480251	-0.737142463412632	-0.530926629708473	-0.638039308766636	NA	-0.529380617461357	-0.34411471292267	NA	-0.418013009290987	-0.474664159832748	NA	-0.515593672462353	NA	-0.609100541034054	-0.531650428122411	-0.424421067001897	NA	-0.772149494588871	-0.272231889795643	-0.675839485642996	-0.648404494482972	-0.564812081444508	-0.65444214129737	-0.673002003206436	NA	-0.713177332935916	-0.682421981823515	-0.466176385867838	NA	-0.733956531322867	-0.679970490382809	NA	NA	NA
CXCL10	-0.502813239647246	-0.397959669441611	-0.347109963154827	-0.34908873764252	-0.414486541748139	-0.416831410352413	-0.383253640263258	-0.454126524677807	-0.439953774783949	-0.732524856840352	-0.503645892763137	-0.523142961336973	-0.587230962062384	NA	NA	NA	NA	-0.487656211403809	NA	NA	-0.434014430439539	-0.561790950701674	NA	-0.566945950941873	-0.54461560674175	-0.240505809637042	-0.308233037048754	-0.237955131682503	-0.300487133160077	-0.286729891564713	-0.280587785000476	-0.28082522725659	-0.285582022393013	-0.252225116821899	-0.248185934337377	NA	-0.306634463781565	-0.315687064060608	NA	-0.336883500771224	-0.27922572723992	-0.269630398044226	-0.251499833879616	-0.293321673226165	-0.089509744629949	-0.303854912241274	-0.272102069769601	-0.278053726966233	-0.320702634604646	-0.225551064681611	-0.229629807641693	-0.289683470516005	-0.277191256426082	-0.28718442386234	-0.259730102725864	-0.271858354586568	-0.3213087092592	-0.284324889069568	-0.30044446136323	-0.370356138814841	-0.343980477503559	0.140785611027013	-0.500131514088507	-0.265908168667498	-0.356708261947747	-0.37052371360599	NA	NA	-0.343691709650423	-0.331976157368271	NA	-0.400825768588989	NA	NA	-0.364949776221351	-0.337318677429173	NA	-0.612044580523771	-0.179108191274914	0.306849445115397	-0.465928669883166	NA	-0.547011951420992	-0.643558134213499	NA	0.0822393186859877	-0.611215804909036	-0.318377988780533	-0.436905340622666	-0.576685655754624	-0.0635691040020834	-0.139885605073658	-0.435973449855001	-0.50744785343159
CXCL2	-0.627968040056492	-0.415886603412651	NA	-0.367366804141492	NA	NA	-0.414269386663632	NA	-0.761290971205384	-0.880712978555922	-0.654223240757508	-0.539518758123931	-0.766284828826442	NA	NA	NA	-0.762311427201723	-0.581463699653732	-0.652712028122153	-0.651025737573708	-0.510329567617096	-0.590632208398799	-0.918239332160847	-0.690630425449598	-0.772905508540261	-0.279907669651087	-0.341846412666087	-0.314789726380437	NA	-0.319752501036	-0.317972727970504	-0.369913703283548	-0.298724763149155	-0.288166304609791	-0.32063118710144	NA	-0.334020302641939	-0.359651164117392	NA	NA	-0.307133835077808	-0.312594253369665	-0.286316849854113	-0.346188547868596	-0.332986281364985	-0.349019563355047	-0.287077174496222	-0.298200908508589	-0.350237526161004	-0.317146082211038	-0.298342339939351	-0.364030272660384	-0.322028880939863	-0.352178279850505	NA	-0.307244033201788	-0.362340153512617	-0.311149122779631	-0.333128999597189	-0.385581532366379	-0.498955509935828	NA	NA	-0.637980796875072	-0.376624142605494	NA	-0.344086534597113	NA	NA	-0.474603844386768	-0.502595790701484	-0.515514379697398	NA	NA	NA	-0.424131352721484	NA	-0.771881608577163	-0.272197761576821	NA	-0.648119097341962	-0.564710702455134	NA	-0.672469197257275	NA	NA	NA	-0.466003309810311	-0.502904791725675	-0.733916311284528	-0.679262435196913	-0.71978719320666	-0.49944131080416	-0.552132451848034
