Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
PI3	9.1481596534174	2.18736026813133	-27.5977885433283	9.78135229203507e-36	3.42347330221227e-34	70.7186571133656
S100A9	8.39713565918074	6.72480616777683	-20.137897922607	4.44786186370841e-28	7.78375826148972e-27	53.6039824606948
S100A8	7.10184420074211	6.84168237626704	-17.5529867746136	7.66550435007919e-25	8.94308840842573e-24	46.2751151830036
IL1F6	5.66162197778836	8.35074056536191	-14.1502298380122	9.42931481819633e-21	8.25065046592179e-20	36.9423885671305
LCN2	5.15794586789978	-4.89173392378082	-13.2122573683433	4.56375706821238e-18	3.19462994774866e-17	30.916778143219
CXCL10	3.0537701469425	3.07478298151245	-10.6743822747618	6.69846243452911e-15	3.34923121726456e-14	23.6432414480034
IFNG	3.0537701469425	3.07478298151245	-10.6743822747618	6.69846243452911e-15	3.34923121726456e-14	23.6432414480034
CCL20	4.27106166072238	-1.84468119977602	-10.8132994924331	1.13032535217303e-14	4.945173415757e-14	23.1872922176509
CXCL1	4.30801432728767	-7.24819489742847	-10.0866490364659	9.95155573932099e-14	3.87004945418038e-13	21.0202696204914
IL1RN	1.8146909365754	6.09430635586945	-8.27552826577243	1.69445392778817e-11	5.39144431568965e-11	15.7455757605244
CTLA4	3.24560491164881	4.16048587911001	-8.47641014956577	3.15419863800506e-11	9.19974602751476e-11	15.3001407833911
IL8b	6.13740785569698	-4.69627248486289	-8.65970249722158	3.97147820228994e-11	1.06924413138575e-10	15.2282565969422
CCL2	1.29692187233517	4.16339044206022	-6.99908513952361	2.54190500849264e-09	6.3547625212316e-09	10.7757311489703
CXCL2	2.09128163370584	-5.84463483990941	-7.1670376880533	3.01379366004543e-09	7.03218520677268e-09	10.7547605561928
FOXP3	1.96727466543282	5.0739134391495	-6.21354575388925	6.10008602653674e-08	1.33439381830491e-07	7.6689352947382
IL1b	2.7235512311208	-1.50429504196173	-6.18480386514774	9.92812455828396e-08	2.04402564435258e-07	7.27266005253006
AIM2	1.91371442554312	2.62213447619981	-5.86130298275534	3.41281845746928e-07	6.6360358895236e-07	6.06452031663864
IL22RA1	1.75049945652033	3.67092986452365	-5.27570331717812	1.99134358177074e-06	3.66826449273557e-06	4.22366293333519
IFIH1	1.39318474544684	3.6442790029947	-5.2445430976467	2.40169396709969e-06	4.20296444242446e-06	4.06646020359026
TNF	1.17937649539141	3.98752438558506	-4.56851132527672	2.56475187625382e-05	4.08028707585835e-05	1.73415425036558
CCL5	1.19105051723932	3.22694023690984	-4.35995131141761	5.20092407540689e-05	7.91444967996701e-05	1.04046954317213
MICB	1.0465505294861	-2.917533913674	-3.71542204001908	0.000459048211690201	0.000669445308714877	-1.01918149778968
EOMES	1.26997760136922	1.12432178618416	-2.91530305316379	0.00548146764371036	0.00710560620480973	-3.12218727268922
