Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
PI3	-7.88988174331689	2.22567735701143	-15.8327404969387	7.22079014586001e-24	2.527276551051e-22	43.9963224136489
S100A8	-6.68604273352304	6.49984434206898	-13.6248302247772	1.73524633677003e-20	3.03668108934756e-19	36.2406376757377
S100A9	-7.11279416374836	6.89091532868766	-12.8805952071021	3.20612795184872e-19	3.74048261049017e-18	33.3420844096792
IL1F6	-3.74391329623086	8.93490693388777	-9.77538867900476	2.44081981910643e-14	1.7085738733745e-13	22.0823914362442
CXCL1	-3.58227651397387	-7.44447061750624	-9.66386727735263	1.02934467090082e-13	6.0045105802548e-13	20.7431191295225
FOXP3	-1.82449582745129	4.99257514858178	-8.19562026183281	1.57171864265671e-11	7.85859321328354e-11	15.6482910214939
IL1b	-3.17803943547443	-1.80271549989497	-8.10200508403694	8.44078580346623e-11	3.69284378901648e-10	14.1490049910267
LCN2	-4.00315250750299	-4.11213029164031	-7.03582515827002	1.10135724993292e-08	4.28305597196137e-08	9.48804447328425
IL8b	-5.501948334954	-4.75651176955349	-6.93470847538946	1.37745811153681e-08	4.82110339037882e-08	9.32555324129299
CXCL2	-1.75798807159824	-5.78207345962525	-6.35796072481443	5.49249731016907e-08	1.74761278050834e-07	7.73476736595418
CCL20	-2.79795679279668	-1.6581459032611	-6.19500828237842	6.7586723241127e-08	1.9712794278662e-07	7.43065374068599
AIM2	-1.61026996512407	2.75771604362109	-5.51206830798034	1.359445100283e-06	2.97378615686905e-06	4.60837381703686
CXCL10	-1.59034423775153	3.44635558323732	-5.1758685543991	2.7419614388903e-06	5.33159168673113e-06	3.74968147881792
IFNG	-1.59034423775153	3.44635558323732	-5.1758685543991	2.7419614388903e-06	5.33159168673113e-06	3.74968147881792
CTLA4	-1.8153150418161	4.51952493337937	-5.07486139655211	4.69114472349744e-06	8.64158238539003e-06	3.28673863717723
