Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
IL1F6	5.21663510391559	9.0987782788	-15.9704768584303	1.73880444625387e-21	6.08581556188855e-20	38.6296483774461
PI3	8.59752742478566	3.08089287080591	-14.7113279981555	8.5015223390052e-20	1.48776640932591e-18	34.8316580371867
S100A8	8.25443576981543	6.94730447139085	-12.3357062728679	8.73786630239742e-17	1.0194177352797e-15	28.0076097672167
S100A9	8.5627126328548	7.30882979481075	-10.8014181864291	1.91433891551721e-14	1.67504655107756e-13	22.7164733441241
LCN2	5.24742565319817	-4.20074762547542	-8.39521482520913	2.83669670303468e-10	1.98568769212428e-09	13.3612892110306
CCL20	4.12181400632417	-1.76987608587457	-7.34276041014449	2.79799777515133e-09	1.39899888757566e-08	10.9542581693156
CXCL1	3.8246108961078	-7.17675740583364	-6.30004246994271	1.02696947964174e-07	4.49299147343262e-07	7.45849676248402
IL1RN	1.4324026775018	6.4085546216111	-5.78269076332663	4.48432095257977e-07	1.74390259266991e-06	5.90109265038827
FOXP3	1.76097307172668	5.27849812683508	-5.08126763821526	5.38876792428162e-06	1.88606877349857e-05	3.46829420032158
PYCARD	1.21282253059833	5.76650488511455	-4.86166633102046	1.19659829464915e-05	3.80735821024729e-05	2.73476189010125
CXCL2	1.82611707789246	-5.71127467693538	-4.37825530938754	7.78614255119867e-05	0.000227095824409961	1.06798427560944
IL1b	2.2702333187886	-1.36159081210657	-4.21632752581384	0.000115025213117484	0.000309683266085534	0.577173159119642
IL8b	4.83064004426361	-4.09099346028759	-3.38348757268948	0.00170464446978495	0.00397750376283155	-1.46888663446185
CTLA4	1.28527903851301	4.86999472982809	-2.65524696830137	0.0107853212597069	0.0222050731817494	-3.75167152305217
AIM2	1.08472250451726	3.02361826541231	-2.40105805898597	0.0209680738075497	0.0386253991191705	-4.2388306852331
