SAMPLE	AIM2	CASP1	CCL2	CCL20	CCL27	CCL5	CTLA4	CXCL1	CXCL10	CXCL2	DEFB1	EOMES	FOXP3	IFIH1	IFNAR1	IFNG	IFNGR	IL10	IL17A	IL17F	IL1b	IL1F6	IL1RN	IL20RA	IL22	IL22RA1	IL22RA2	IL26	IL8b	KLRK1	LCN2	MICB	NLRP1	NLRP3	PI3	PYCARD	REG3A	S100A8	S100A9	TNF	TRGC1	WIPI1
1	PH001	NA	15.681594	17.593867165948289	 0.542740133	24.16197501248406	2.8972155326812756	15.964924235876191	2.7904992345074726E-2	  12.0086285	3.235950481063659E-2	12.544645960529655	NA	  20.158732	 3.15204685	0.2959995	  12.0086285	0.8208976	1.5363417882661621	0.45357702706947589	0.85311027439860998	0.512752101	3	138.10928522418283	3.419219e+00	3.3841448257254134	 11.743626	NA	NA	9.1336358465378922E-2	5.7597253654360863	1.560202e-01	 0.117413241	5.2816891202594531	NA	 75.60099092	   97.25276	NA	 940.5322748	1603.8610706751233	 8.974510	2.9707603999208678	 22.486712
2	PH002	5.884148207682955	27.896258	13.089467115905215	 0.172420161	46.013984543456807	5.0735659282130143	8.0417025070683064	4.0225718926146506E-3	  14.2543763	1.0818671163324948E-2	21.580649408804049	0.90312671233575259	  21.043954	11.25786077	0.4897102	  14.2543763	0.6151356	0.34005320572828368	0.22977899178784217	NA	0.130007580	1292.84527427186	100.4267601050657	4.394402e+00	4.5229252092562815	 26.768588	 16.666337	NA	9.2126550162408231E-3	6.9131026292919273	1.447626e-01	 0.172221046	6.9869694734819427	NA	124.84553231	  170.58342	NA	1438.4844148	1799.4419286874222	NA	NA	 30.724851
3	PH003	3.7089216561674365	25.298856	40.336124955465138	 1.030611036	19.693764966280888	2.924114932881746	11.719458612212264	3.7205696592264102E-2	  31.6690055	6.6846683919535299E-2	15.725130269716502	0.56330971156089804	  14.041905	12.08812652	0.3598999	  31.6690055	0.7307098	1.0556754176675431	0.34887781393561906	1.2171171981131368	1.155220070	1924.5880374908102	78.176696938203364	1.623754e+00	NA	  8.396327	  9.809968	5.709694e+00	0.12524578890977708	6.0390963690356534	4.205998e-01	 0.139725486	4.2056632460549439	NA	103.51292393	   84.27310	53.755185409801257	1199.3194941	1446.8173427383294	10.748029	7.037192111182982	 21.471235
4	PH004	NA	18.349466	22.455552604189666	 0.148479289	19.409173959329376	5.1408236099614726	24.795400193302278	9.0074413856446375E-3	   9.0358867	NA	18.30711763337866	1.8285086576388025	  34.671205	 7.51822638	0.2210329	   9.0358867	0.3977637	1.1331440153883121	0.33374644076825816	NA	0.639936324	1278.5859947353797	53.199211286484783	1.531203e+00	10.301580960135331	 10.423936	  1.817023	3.196866e+00	4.3970088438122321E-2	5.6353290097763038	1.290810e-01	 0.106357934	4.6278183418475685	2.9457929323901264	 51.66084546	   79.30459	NA	1078.1437464	857.90005960306496	11.870697	NA	 19.288477
5	PH005	13.395408280736328	43.854929	46.775015674001907	 0.815260709	34.735353218875154	9.404378691399069	30.256374086555404	2.7648277680172903E-2	  22.7059755	4.0060750794581067E-2	24.056143064040722	1.4067182601534141	  55.381537	NA	1.3296073	  22.7059755	2.1889475	NA	0.33990669588633776	NA	4.094442219	2468.9233873414005	175.78482415703178	2.077821e+01	2.845979994287986	 38.981882	 42.430904	NA	1.018184767212934	28.946820966290424	2.676347e-01	 0.207665460	10.238978931727402	1.8747090197952581	102.25301989	  115.76050	NA	1454.1901377	3233.7657115448128	16.059257	49.544960495226967	 44.497931
6	PH006	3.7029262986732219	16.764446	22.315906332453917	 0.181327111	11.572806299955928	6.121987090082289	NA	8.0637539312830471E-3	  16.8187539	2.0249071909494352E-2	32.521748370230739	0.80440865312047616	  25.054543	 4.96674232	0.3496539	  16.8187539	0.6249514	0.64193468876901139	0.67798216815613288	1.7264729543233333	NA	1975.0404508209704	70.701370083375721	2.661673e+00	NA	 12.928421	  6.564565	NA	3.9774838712485258E-2	6.6452961777536057	1.117892e-01	 0.116575267	2.7734210434536948	NA	 75.04409813	   71.48984	NA	1043.1037609	1671.1976210674188	15.101986	6.1924036744415174	 22.911509
7	PH007	3.8008798676209814	27.729198	13.768833311169526	 0.188503904	79.930097777481819	11.580831432836597	12.67722790087425	1.6385857719960826E-3	  24.9793982	8.0674789900623597E-3	33.965545620182823	3.133264610300655	  37.159695	16.42088789	1.1532190	  24.9793982	1.4928055	0.49959560918204493	1.0880378571441199E-2	NA	0.167802320	1159.0015260458392	108.2832792971856	1.069106e+01	NA	 28.236135	 40.076147	7.060926e-01	1.4527480888886567E-3	34.423780620073259	NA	 0.212715915	12.42350123352689	NA	 10.29829183	  136.30236	NA	 731.6454961	1099.7808251481038	16.656348	50.603565846222587	NA
8	PH008	4.7910186366322938	14.904409	16.0741120323835	 9.945198245	103.65651240496116	3.4854222063436757	10.312583970563812	6.912069420043224E-3	   5.5085264	1.9532225991335746E-2	54.55601466934894	0.23092564008463337	  30.099478	27.40251399	0.5460105	   5.5085264	0.9227200	0.91362017689287944	0.10462312583845604	NA	2.374021842	2386.4778044606869	286.35610519192363	6.075488e+00	1.0865928943413137	 13.997320	  9.853871	4.302781e+00	9.0642621841392254E-2	NA	2.476597e-03	 0.055443670	4.7535331827493552	NA	 78.15868074	   61.15224	NA	 692.1782428	873.09821381903748	 7.998155	9.164139775297059	 15.487153
9	PH010	11.080872912606551	26.933558	52.176708364049567	 1.127921230	21.214820130280593	8.9755441894142312	27.451898586773439	5.2434744703874644E-2	  28.2791536	5.6602150179763416E-2	32.148209897333565	1.1572230576857503	  67.368411	21.83574266	0.7894939	  28.2791536	1.9494931	0.7213807114852856	1.0137479717445297	2.0254580352449003	0.588725584	4210.1836415688676	104.9821143123642	6.507788e+00	1.6987733264847282	NA	NA	5.820771e+00	8.0604244779304515E-2	21.14140677619557	NA	 0.180449441	7.2735825598450825	NA	147.85099919	   76.78041	90.019494951720574	1134.1010392	2384.8240543298202	18.189077	30.502026286974647	 25.445420
10	PH011	6.4546239622651926	17.041730	19.080154939939636	NA	60.926595380175684	27.786906288426792	24.254266394807043	3.1569317363190227E-2	  36.3865312	3.1322287963982294E-2	34.831794375991294	8.1888862423215443	  84.292545	16.88262877	0.7149925	  36.3865312	1.0312911	0.88709871366153248	0.51301633067353614	NA	0.500346724	2704.8517510748043	99.055647502089414	3.892418e+00	NA	 21.882186	 22.554728	4.068011e+00	7.6928718546814587E-2	45.1191335386033	1.255110e-01	 0.345478190	NA	NA	 77.74440711	  111.81735	NA	 771.7556478	1325.2054959221136	33.590942	167.84667083806454	 27.458245
