Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
S100A8	612.362734220697	434.226756457971	-5.96689792488252	9.95053555920592e-08	3.98021422368237e-06	7.50338096902317
S100A9	974.144378623953	652.813344796931	-5.77201672483912	2.08536850822781e-07	4.17073701645562e-06	6.76814263452036
PI3	52.9312134110417	35.4829619831944	-5.65237489767133	3.13577228930314e-07	4.18102971907085e-06	6.36175372334989
IL1F6	1479.84267927526	1030.41821360017	-5.51850988804004	5.34579941196182e-07	5.34579941196182e-06	5.84539513064855
IL1RN	62.7924683776709	81.0056786267806	-4.46567197844762	2.96909515801113e-05	0.000237527612640891	1.97994166401137
CTLA4	45.4253648061694	37.9899376152504	-4.2416190463038	7.87555019408467e-05	0.000450031439661981	1.1760880905061
IFIH1	13.4870754315942	16.7067630279412	-4.23677017876011	7.14535769872893e-05	0.000450031439661981	1.17088054777042
TNF	9.73168977127659	19.4131937464789	-4.12513952047423	0.000101301774409579	0.000476298806069946	0.815714274868097
CCL2	11.3775084811318	19.8578208624212	-4.08219440623284	0.000116209692158073	0.000476298806069946	0.680536271790458
CXCL10	21.9906122971631	18.7580594430769	-4.07371157245066	0.000130982171669235	0.000476298806069946	0.661680420415543
IFNG	21.9906122971631	18.7580594430769	-4.07371157245066	0.000130982171669235	0.000476298806069946	0.661680420415543
IL22RA1	11.341790053779	17.3052513507463	-4.03131436197134	0.000147275548230805	0.000490918494102684	0.48168764840426
CCL5	9.37490840411659	12.9205932694111	-3.53925380888732	0.000715537566345917	0.00204439304670262	-1.03259328310638
FOXP3	35.2594180719696	46.0652563142857	-3.42387437733759	0.00104695744520767	0.00261739361301917	-1.35999427914692
PYCARD	23.2782681249999	56.4875158333333	-3.0888438058171	0.00287521181580158	0.00638935959067018	-2.3232529556254
AIM2	8.66540396502911	9.59424124631105	-2.58047619434342	0.0123560074669225	0.0235352523179476	-3.56667457533984
EOMES	2.30644377591571	3.35220354968839	-2.39103072961908	0.0203554191079674	0.0354007288834215	-3.83247807993419
TRGC1	30.4545633128762	68.5009917085842	-2.40042271716468	0.0195816417395605	0.0354007288834215	-3.95989517149612
