Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
S100A8	876.36503679697	542.929133487273	-13.6269926288727	5.01447083569224e-19	2.0057883342769e-17	33.0482125911162
S100A9	1448.62766959312	829.160556510822	-12.7503470802644	7.70552752323911e-18	1.54110550464782e-16	30.367487214003
PI3	76.9881534508333	44.7675752157895	-11.0063851661184	1.4461962560293e-15	1.47869370178248e-14	25.1877048054287
IL1F6	2210.47342793372	1306.98410052165	-11.0711053006749	1.47869370178248e-15	1.47869370178248e-14	25.1759831115282
IL1RN	91.4058734623397	91.3759607344322	-6.65128721231893	1.46575229598166e-08	1.17260183678533e-07	9.26005369683665
CCL2	16.1538334196144	21.5035771623987	-5.97964221697746	1.7922265780143e-07	1.02412947315103e-06	6.79891107253395
CXCL10	18.4958757927083	14.694515674	-5.99861573707872	2.44410625872346e-07	1.08626944832154e-06	6.59668442649323
IFNG	18.4958757927083	14.694515674	-5.99861573707872	2.44410625872346e-07	1.08626944832154e-06	6.59668442649323
PYCARD	36.891917159091	62.3271487719298	-4.91102401542462	8.37739958698661e-06	3.35095983479464e-05	3.03291282350734
FOXP3	51.7874233323864	52.5762130925926	-4.76178832219572	1.55364894826566e-05	5.64963253914785e-05	2.47334873888657
IFIH1	16.9015820749276	17.3484257716981	-4.72431500956367	1.8243613713416e-05	6.08120457113868e-05	2.32293151313555
CTLA4	55.4305399330927	40.1694410984843	-4.70111828958666	2.52569211755853e-05	7.21626319302437e-05	2.12401663054017
TNF	12.0883526532258	19.7845243818182	-4.63526976553339	2.33326619543895e-05	7.17928060135061e-05	2.05947862546704
IL22RA1	13.78896165625	17.9055987232143	-4.51477370800961	3.43719644547525e-05	9.165857187934e-05	1.67483608279562
CCL5	11.1652399603416	13.0507914535285	-3.87123689451326	0.000292236355601743	0.000687614954357041	-0.38071068623228
AIM2	12.0939078667115	10.6022560430846	-3.09061500633556	0.00340575306265309	0.0064871486907678	-2.59543652154789
CCL20	1.12989726420766	0.809347798468085	-2.58201526286269	0.0131148550287033	0.0238451909612787	-3.78965148660371
EOMES	2.49783355929149	3.33315069840146	-2.36142255025628	0.0231076256352066	0.0401871750177506	-4.1900142151779
TRGC1	31.161885554109	66.3757160732303	-2.32280573287265	0.0246234246232546	0.0410390410387577	-4.40269714064051
